Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001105	0.000648	-2521744.175
200	2	11	0.001135	0.000601	-2521677.308
300	2	11	0.001135	0.000600	-2521402.327
400	2	11	0.001114	0.000609	-2521640.813
500	2	11	0.001113	0.000593	-2521775.677
600	2	11	0.001118	0.000628	-2521815.150
700	2	11	0.001127	0.000610	-2521629.047
800	2	11	0.001114	0.000613	-2521764.805
900	2	11	0.001103	0.000615	-2521800.886
1000	2	11	0.001100	0.000605	-2521596.155
1100	2	11	0.001094	0.000624	-2521648.730
1200	2	11	0.001107	0.000595	-2521630.365
1300	2	11	0.001129	0.000647	-2521993.480
1400	2	11	0.001166	0.000615	-2521651.251
1500	2	11	0.001135	0.000590	-2521582.823
1600	2	11	0.001121	0.000626	-2521660.884
1700	2	11	0.001112	0.000637	-2521752.546
1800	2	11	0.001115	0.000616	-2521568.707
1900	2	11	0.001134	0.000577	-2521701.130
2000	2	11	0.001115	0.000601	-2521748.518
2100	2	11	0.001143	0.000623	-2521596.642
2200	2	11	0.001128	0.000598	-2521665.986
2300	2	11	0.001116	0.000613	-2521660.212
2400	2	11	0.001139	0.000587	-2521625.985
2500	2	11	0.001109	0.000626	-2521737.529
2600	2	11	0.001128	0.000622	-2521728.794
2700	2	11	0.001143	0.000601	-2521587.849
2800	2	11	0.001119	0.000601	-2521600.022
2900	2	11	0.001128	0.000619	-2521702.224
3000	2	11	0.001107	0.000589	-2521740.091
3100	2	11	0.001117	0.000618	-2521567.183
3200	2	11	0.001162	0.000614	-2521686.964
3300	2	11	0.001162	0.000601	-2521709.549
3400	2	11	0.001152	0.000627	-2521825.566
3500	2	11	0.001145	0.000583	-2521675.959
3600	2	11	0.001138	0.000613	-2521629.267
3700	2	11	0.001156	0.000612	-2521600.349
3800	2	11	0.001123	0.000615	-2521637.373
3900	2	11	0.001124	0.000588	-2521545.114
4000	2	11	0.001130	0.000641	-2521563.291
4100	2	11	0.001128	0.000601	-2521560.394
4200	2	11	0.001111	0.000605	-2521518.362
4300	2	11	0.001120	0.000609	-2521630.392
4400	2	11	0.001128	0.000603	-2521577.677
4500	2	11	0.001106	0.000600	-2521642.030
4600	2	11	0.001115	0.000608	-2521713.415
4700	2	11	0.001095	0.000591	-2521644.745
4800	2	11	0.001112	0.000620	-2521703.678
4900	2	11	0.001119	0.000603	-2521581.289
5000	2	11	0.001154	0.000613	-2521658.194
5100	2	11	0.001133	0.000614	-2521720.601
5200	2	11	0.001125	0.000622	-2521736.770
5300	2	11	0.001116	0.000594	-2521693.258
5400	2	11	0.001117	0.000617	-2521691.204
5500	2	11	0.001160	0.000603	-2521662.176
5600	2	11	0.001114	0.000609	-2521742.654
5700	2	11	0.001146	0.000630	-2521568.441
5800	2	11	0.001115	0.000632	-2521598.655
5900	2	11	0.001092	0.000617	-2521660.893
6000	2	11	0.001112	0.000609	-2521684.897
6100	2	11	0.001099	0.000597	-2521455.082
6200	2	11	0.001107	0.000616	-2521468.043
6300	2	11	0.001106	0.000627	-2521748.582
6400	2	11	0.001125	0.000612	-2521514.568
6500	2	11	0.001105	0.000587	-2521462.192
6600	2	11	0.001108	0.000589	-2521526.171
6700	2	11	0.001152	0.000606	-2521793.067
6800	2	11	0.001167	0.000640	-2521669.070
6900	2	11	0.001134	0.000650	-2521747.274
7000	2	11	0.001118	0.000587	-2521639.946
7100	2	11	0.001136	0.000622	-2521643.865
7200	2	11	0.001107	0.000606	-2521509.757
7300	2	11	0.001114	0.000617	-2521521.038
7400	2	11	0.001106	0.000622	-2521657.084
7500	2	11	0.001102	0.000600	-2521585.506
7600	2	11	0.001125	0.000603	-2521591.293
7700	2	11	0.001111	0.000599	-2521669.734
7800	2	11	0.001068	0.000602	-2521496.279
7900	2	11	0.001124	0.000641	-2521547.952
8000	2	11	0.001079	0.000630	-2521472.895
8100	2	11	0.001102	0.000606	-2521574.153
8200	2	11	0.001124	0.000631	-2521569.258
8300	2	11	0.001146	0.000640	-2521448.674
8400	2	11	0.001109	0.000569	-2521605.965
8500	2	11	0.001106	0.000586	-2521542.000
8600	2	11	0.001116	0.000596	-2521667.580
8700	2	11	0.001123	0.000630	-2521427.165
8800	2	11	0.001152	0.000588	-2521601.855
8900	2	11	0.001165	0.000639	-2521657.184
9000	2	11	0.001141	0.000602	-2521603.961
9100	2	11	0.001105	0.000591	-2521417.418
9200	2	11	0.001114	0.000616	-2521472.463
9300	2	11	0.001096	0.000634	-2521478.480
9400	2	11	0.001104	0.000608	-2521404.926
9500	2	11	0.001102	0.000588	-2521554.659
9600	2	11	0.001107	0.000611	-2521689.927
9700	2	11	0.001141	0.000613	-2521754.470
9800	2	11	0.001101	0.000604	-2521496.288
9900	2	11	0.001106	0.000616	-2521623.153
10000	2	11	0.001093	0.000601	-2521582.413
10100	2	11	0.001089	0.000595	-2521529.632
10200	2	11	0.001108	0.000579	-2521573.533
10300	2	11	0.001118	0.000578	-2521337.086
10400	2	11	0.001103	0.000613	-2521498.208
10500	2	11	0.001163	0.000628	-2521840.662
10600	2	11	0.001156	0.000607	-2521705.063
10700	2	11	0.001117	0.000613	-2521718.162
10800	2	11	0.001131	0.000603	-2521659.155
10900	2	11	0.001115	0.000629	-2521551.171
11000	2	11	0.001156	0.000617	-2521616.889
11100	2	11	0.001175	0.000613	-2521512.544
11200	2	11	0.001142	0.000597	-2521442.761
11300	2	11	0.001132	0.000626	-2521452.125
