Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001131	0.000572	-2521802.785
200	2	11	0.001154	0.000596	-2521737.893
300	2	11	0.001124	0.000629	-2521683.488
400	2	11	0.001142	0.000622	-2521843.428
500	2	11	0.001106	0.000607	-2521723.646
600	2	11	0.001121	0.000646	-2521688.961
700	2	11	0.001149	0.000629	-2521684.856
800	2	11	0.001151	0.000634	-2521781.269
900	2	11	0.001142	0.000634	-2521603.484
1000	2	11	0.001144	0.000648	-2521764.670
1100	2	11	0.001133	0.000621	-2521636.547
1200	2	11	0.001108	0.000610	-2521704.287
1300	2	11	0.001151	0.000621	-2521853.977
1400	2	11	0.001151	0.000621	-2522047.466
1500	2	11	0.001166	0.000641	-2521908.401
1600	2	11	0.001162	0.000634	-2521922.619
1700	2	11	0.001125	0.000612	-2521808.829
1800	2	11	0.001103	0.000640	-2521488.645
1900	2	11	0.001112	0.000619	-2521756.865
2000	2	11	0.001139	0.000628	-2521763.421
2100	2	11	0.001114	0.000610	-2521683.525
2200	2	11	0.001108	0.000630	-2521719.669
2300	2	11	0.001129	0.000614	-2521873.446
2400	2	11	0.001111	0.000623	-2521691.098
2500	2	11	0.001124	0.000617	-2521764.906
2600	2	11	0.001110	0.000620	-2521657.473
2700	2	11	0.001118	0.000623	-2521810.130
2800	2	11	0.001155	0.000604	-2521932.683
2900	2	11	0.001124	0.000623	-2521715.018
3000	2	11	0.001120	0.000634	-2521756.363
3100	2	11	0.001123	0.000625	-2521912.366
3200	2	11	0.001151	0.000627	-2521709.654
3300	2	11	0.001118	0.000625	-2521763.344
3400	2	11	0.001137	0.000600	-2521802.493
3500	2	11	0.001142	0.000607	-2521582.922
3600	2	11	0.001136	0.000623	-2521718.892
3700	2	11	0.001120	0.000596	-2521667.680
3800	2	11	0.001132	0.000624	-2521733.360
3900	2	11	0.001154	0.000616	-2521667.607
4000	2	11	0.001144	0.000609	-2521592.526
4100	2	11	0.001150	0.000607	-2521717.383
4200	2	11	0.001124	0.000613	-2521792.701
4300	2	11	0.001109	0.000629	-2521629.058
4400	2	11	0.001083	0.000612	-2521678.518
4500	2	11	0.001128	0.000577	-2521618.790
4600	2	11	0.001143	0.000606	-2521585.010
4700	2	11	0.001116	0.000622	-2521659.567
4800	2	11	0.001153	0.000618	-2521888.129
4900	2	11	0.001136	0.000599	-2521877.111
5000	2	11	0.001153	0.000632	-2521696.205
5100	2	11	0.001147	0.000629	-2521744.769
5200	2	11	0.001135	0.000608	-2521613.552
5300	2	11	0.001114	0.000622	-2521695.631
5400	2	11	0.001157	0.000609	-2521758.487
5500	2	11	0.001131	0.000617	-2521835.071
5600	2	11	0.001116	0.000600	-2521638.377
5700	2	11	0.001141	0.000631	-2521760.431
5800	2	11	0.001115	0.000613	-2521709.880
5900	2	11	0.001138	0.000670	-2521634.048
6000	2	11	0.001120	0.000630	-2521773.924
6100	2	11	0.001108	0.000593	-2521437.424
6200	2	11	0.001151	0.000618	-2521714.967
6300	2	11	0.001125	0.000644	-2521581.027
6400	2	11	0.001134	0.000609	-2521829.383
6500	2	11	0.001127	0.000637	-2521589.846
6600	2	11	0.001164	0.000599	-2521691.030
6700	2	11	0.001133	0.000630	-2521629.041
6800	2	11	0.001157	0.000606	-2521553.439
6900	2	11	0.001128	0.000644	-2521698.329
7000	2	11	0.001143	0.000621	-2521651.401
7100	2	11	0.001149	0.000618	-2521606.286
7200	2	11	0.001137	0.000603	-2521704.359
7300	2	11	0.001141	0.000650	-2521640.159
7400	2	11	0.001129	0.000607	-2521718.471
7500	2	11	0.001142	0.000579	-2521596.566
7600	2	11	0.001107	0.000617	-2521695.439
7700	2	11	0.001139	0.000611	-2521487.016
7800	2	11	0.001113	0.000641	-2521580.835
7900	2	11	0.001127	0.000582	-2521610.505
8000	2	11	0.001131	0.000600	-2521607.064
8100	2	11	0.001142	0.000594	-2521613.111
8200	2	11	0.001126	0.000623	-2521455.402
8300	2	11	0.001135	0.000603	-2521800.080
8400	2	11	0.001136	0.000577	-2521686.548
8500	2	11	0.001139	0.000587	-2521477.913
8600	2	11	0.001155	0.000598	-2521641.868
8700	2	11	0.001139	0.000635	-2521620.891
8800	2	11	0.001120	0.000631	-2521776.097
8900	2	11	0.001147	0.000621	-2521797.767
9000	2	11	0.001136	0.000613	-2521507.659
9100	2	11	0.001103	0.000608	-2521557.368
9200	2	11	0.001095	0.000625	-2521607.250
9300	2	11	0.001090	0.000594	-2521566.888
9400	2	11	0.001118	0.000600	-2521406.124
9500	2	11	0.001139	0.000585	-2521514.174
9600	2	11	0.001114	0.000595	-2521591.354
9700	2	11	0.001136	0.000622	-2521633.299
9800	2	11	0.001120	0.000618	-2521648.955
9900	2	11	0.001197	0.000627	-2521752.450
10000	2	11	0.001154	0.000604	-2521625.886
