Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001161	0.000732	-2521859.830
200	2	11	0.001186	0.000745	-2521965.813
300	2	11	0.001161	0.000723	-2522000.326
400	2	11	0.001162	0.000705	-2521904.730
500	2	11	0.001172	0.000713	-2521946.654
600	2	11	0.001174	0.000698	-2521843.047
700	2	11	0.001207	0.000720	-2522014.935
800	2	11	0.001187	0.000731	-2521892.759
900	2	11	0.001154	0.000739	-2521999.937
1000	2	11	0.001154	0.000733	-2521853.912
1100	2	11	0.001163	0.000729	-2521887.114
1200	2	11	0.001181	0.000711	-2521971.047
1300	2	11	0.001136	0.000742	-2521956.264
1400	2	11	0.001113	0.000696	-2521954.775
1500	2	11	0.001152	0.000739	-2521892.864
1600	2	11	0.001123	0.000717	-2521881.634
1700	2	11	0.001114	0.000719	-2521724.061
1800	2	11	0.001138	0.000705	-2521655.808
1900	2	11	0.001156	0.000715	-2521897.525
2000	2	11	0.001148	0.000738	-2521962.134
2100	2	11	0.001131	0.000736	-2521805.077
2200	2	11	0.001161	0.000690	-2521889.248
2300	2	11	0.001139	0.000720	-2521814.395
2400	2	11	0.001157	0.000760	-2521879.038
2500	2	11	0.001163	0.000755	-2521755.703
2600	2	11	0.001137	0.000728	-2521906.591
2700	2	11	0.001148	0.000685	-2521723.971
2800	2	11	0.001108	0.000736	-2521873.421
2900	2	11	0.001133	0.000732	-2521735.250
3000	2	11	0.001168	0.000747	-2522078.776
3100	2	11	0.001196	0.000743	-2521848.408
3200	2	11	0.001186	0.000720	-2521780.530
3300	2	11	0.001142	0.000715	-2521744.283
3400	2	11	0.001162	0.000678	-2521694.409
3500	2	11	0.001163	0.000709	-2521802.776
3600	2	11	0.001186	0.000746	-2521948.907
3700	2	11	0.001150	0.000725	-2521807.510
3800	2	11	0.001185	0.000716	-2521986.438
3900	2	11	0.001167	0.000704	-2521927.939
4000	2	11	0.001176	0.000696	-2521836.411
4100	2	11	0.001106	0.000725	-2521625.270
4200	2	11	0.001162	0.000724	-2521922.819
4300	2	11	0.001122	0.000724	-2521795.820
4400	2	11	0.001173	0.000681	-2521903.682
4500	2	11	0.001162	0.000710	-2521961.644
4600	2	11	0.001153	0.000708	-2521854.354
4700	2	11	0.001140	0.000718	-2521867.113
4800	2	11	0.001157	0.000703	-2521754.162
4900	2	11	0.001167	0.000720	-2521751.059
5000	2	11	0.001158	0.000715	-2521899.358
5100	2	11	0.001162	0.000726	-2521879.445
5200	2	11	0.001128	0.000723	-2521720.802
5300	2	11	0.001174	0.000699	-2521744.902
5400	2	11	0.001138	0.000714	-2521884.656
5500	2	11	0.001165	0.000736	-2521989.240
5600	2	11	0.001179	0.000751	-2521875.745
5700	2	11	0.001134	0.000750	-2521794.480
5800	2	11	0.001177	0.000763	-2521873.727
5900	2	11	0.001144	0.000727	-2521653.512
6000	2	11	0.001142	0.000723	-2521832.145
6100	2	11	0.001137	0.000713	-2521809.626
6200	2	11	0.001120	0.000733	-2521757.908
6300	2	11	0.001142	0.000748	-2521678.662
6400	2	11	0.001166	0.000715	-2521818.783
6500	2	11	0.001159	0.000720	-2521720.754
6600	2	11	0.001164	0.000729	-2521631.644
6700	2	11	0.001202	0.000714	-2521864.315
6800	2	11	0.001182	0.000716	-2521915.122
6900	2	11	0.001175	0.000697	-2521906.596
7000	2	11	0.001180	0.000730	-2521756.026
7100	2	11	0.001167	0.000725	-2521887.949
7200	2	11	0.001157	0.000732	-2521948.655
7300	2	11	0.001151	0.000735	-2521850.837
7400	2	11	0.001150	0.000726	-2521814.823
7500	2	11	0.001142	0.000715	-2521866.015
7600	2	11	0.001211	0.000731	-2521830.203
7700	2	11	0.001151	0.000715	-2521717.052
7800	2	11	0.001150	0.000708	-2521813.492
7900	2	11	0.001149	0.000721	-2521826.031
8000	2	11	0.001145	0.000704	-2521702.230
8100	2	11	0.001124	0.000745	-2521748.100
8200	2	11	0.001159	0.000713	-2521843.552
8300	2	11	0.001113	0.000766	-2521689.711
8400	2	11	0.001165	0.000709	-2521710.253
8500	2	11	0.001149	0.000723	-2521680.569
8600	2	11	0.001135	0.000748	-2521772.529
8700	2	11	0.001141	0.000711	-2521552.333
8800	2	11	0.001138	0.000710	-2521799.340
8900	2	11	0.001143	0.000720	-2521570.322
9000	2	11	0.001186	0.000707	-2521882.135
9100	2	11	0.001153	0.000720	-2521922.758
9200	2	11	0.001152	0.000713	-2521724.022
9300	2	11	0.001161	0.000730	-2521783.139
9400	2	11	0.001169	0.000708	-2521798.115
9500	2	11	0.001155	0.000734	-2522013.131
9600	2	11	0.001142	0.000698	-2521661.538
9700	2	11	0.001112	0.000706	-2521798.288
9800	2	11	0.001171	0.000712	-2521858.417
9900	2	11	0.001183	0.000705	-2521678.454
10000	2	11	0.001144	0.000711	-2521598.262
10100	2	11	0.001147	0.000712	-2521977.848
10200	2	11	0.001139	0.000715	-2521883.860
10300	2	11	0.001181	0.000706	-2521948.598
10400	2	11	0.001135	0.000696	-2521711.772
10500	2	11	0.001168	0.000703	-2521706.792
10600	2	11	0.001199	0.000744	-2521881.842
10700	2	11	0.001149	0.000720	-2521848.788
10800	2	11	0.001147	0.000732	-2521853.368
10900	2	11	0.001175	0.000721	-2521822.869
11000	2	11	0.001191	0.000723	-2521630.002
11100	2	11	0.001181	0.000716	-2521890.650
11200	2	11	0.001136	0.000705	-2521606.821
11300	2	11	0.001166	0.000724	-2521760.611
11400	2	11	0.001147	0.000714	-2521684.941
11500	2	11	0.001156	0.000717	-2521811.215
11600	2	11	0.001149	0.000710	-2521770.995
11700	2	11	0.001133	0.000721	-2521762.816
11800	2	11	0.001182	0.000714	-2521671.909
11900	2	11	0.001153	0.000719	-2521844.725
12000	2	11	0.001166	0.000707	-2521806.150
12100	2	11	0.001156	0.000733	-2521705.056
12200	2	11	0.001175	0.000708	-2521775.059
12300	2	11	0.001186	0.000739	-2521868.740
12400	2	11	0.001163	0.000701	-2521746.870
12500	2	11	0.001165	0.000720	-2521891.993
12600	2	11	0.001146	0.000724	-2521748.216
12700	2	11	0.001151	0.000723	-2521682.212
12800	2	11	0.001138	0.000747	-2521808.253
12900	2	11	0.001176	0.000694	-2521864.320
13000	2	11	0.001184	0.000712	-2521949.808
13100	2	11	0.001154	0.000745	-2521772.974
13200	2	11	0.001180	0.000740	-2521859.505
13300	2	11	0.001141	0.000731	-2521672.681
13400	2	11	0.001122	0.000728	-2521757.974
13500	2	11	0.001131	0.000725	-2521667.580
13600	2	11	0.001127	0.000722	-2521704.293
13700	2	11	0.001148	0.000747	-2521906.600
13800	2	11	0.001157	0.000712	-2521779.218
13900	2	11	0.001211	0.000753	-2521899.119
14000	2	11	0.001160	0.000726	-2521723.005
14100	2	11	0.001161	0.000708	-2521691.783
14200	2	11	0.001149	0.000699	-2521767.111
14300	2	11	0.001134	0.000708	-2521581.198
14400	2	11	0.001116	0.000703	-2521571.126
14500	2	11	0.001146	0.000717	-2521813.111
14600	2	11	0.001158	0.000726	-2521724.535
14700	2	11	0.001155	0.000716	-2521822.296
14800	2	11	0.001144	0.000721	-2521666.750
14900	2	11	0.001129	0.000715	-2521652.824
15000	2	11	0.001154	0.000704	-2521755.326
15100	2	11	0.001177	0.000734	-2521728.667
15200	2	11	0.001157	0.000721	-2521765.560
15300	2	11	0.001129	0.000712	-2521685.675
15400	2	11	0.001133	0.000718	-2521689.115
15500	2	11	0.001112	0.000737	-2521653.124
15600	2	11	0.001128	0.000729	-2521863.496
15700	2	11	0.001132	0.000735	-2521803.144
15800	2	11	0.001201	0.000729	-2521735.290
15900	2	11	0.001186	0.000718	-2521753.042
16000	2	11	0.001153	0.000724	-2521704.340
16100	2	11	0.001146	0.000734	-2521595.979
16200	2	11	0.001174	0.000732	-2521884.742
16300	2	11	0.001160	0.000732	-2521862.946
16400	2	11	0.001170	0.000717	-2521739.663
16500	2	11	0.001132	0.000764	-2521919.837
16600	2	11	0.001121	0.000694	-2521652.477
16700	2	11	0.001141	0.000683	-2521824.978
16800	2	11	0.001146	0.000754	-2521929.307
16900	2	11	0.001168	0.000712	-2521923.280
17000	2	11	0.001138	0.000729	-2521828.448
17100	2	11	0.001154	0.000727	-2521607.458
17200	2	11	0.001167	0.000736	-2521827.101
17300	2	11	0.001177	0.000702	-2521673.850
17400	2	11	0.001165	0.000697	-2521792.129
17500	2	11	0.001135	0.000700	-2521689.437
17600	2	11	0.001116	0.000728	-2521551.557
17700	2	11	0.001173	0.000734	-2521780.216
17800	2	11	0.001147	0.000719	-2521620.773
17900	2	11	0.001163	0.000707	-2521776.101
18000	2	11	0.001157	0.000715	-2521679.701
18100	2	11	0.001137	0.000730	-2521641.265
18200	2	11	0.001175	0.000739	-2521870.743
18300	2	11	0.001143	0.000713	-2521707.207
18400	2	11	0.001119	0.000693	-2521747.555
18500	2	11	0.001131	0.000740	-2521697.066
18600	2	11	0.001152	0.000743	-2521799.406
18700	2	11	0.001162	0.000715	-2521819.343
18800	2	11	0.001134	0.000736	-2521685.319
