Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001157	0.000608	-2521708.507
200	2	11	0.001157	0.000623	-2521666.922
300	2	11	0.001159	0.000625	-2521841.767
400	2	11	0.001105	0.000597	-2521547.007
500	2	11	0.001121	0.000580	-2521687.704
600	2	11	0.001140	0.000596	-2521483.827
700	2	11	0.001160	0.000619	-2521585.474
800	2	11	0.001129	0.000615	-2521527.165
900	2	11	0.001116	0.000605	-2521472.922
1000	2	11	0.001182	0.000605	-2521629.829
1100	2	11	0.001154	0.000622	-2521642.134
1200	2	11	0.001136	0.000652	-2521686.405
1300	2	11	0.001109	0.000623	-2521495.636
1400	2	11	0.001162	0.000600	-2521482.511
1500	2	11	0.001121	0.000638	-2521613.625
1600	2	11	0.001088	0.000623	-2521512.320
1700	2	11	0.001078	0.000594	-2521593.701
1800	2	11	0.001120	0.000620	-2521414.951
1900	2	11	0.001136	0.000606	-2521443.868
2000	2	11	0.001168	0.000604	-2521736.011
2100	2	11	0.001153	0.000599	-2521547.235
2200	2	11	0.001142	0.000607	-2521484.085
2300	2	11	0.001140	0.000626	-2521677.258
2400	2	11	0.001179	0.000642	-2521614.608
2500	2	11	0.001172	0.000641	-2521755.556
2600	2	11	0.001169	0.000586	-2521463.372
2700	2	11	0.001141	0.000585	-2521480.128
2800	2	11	0.001154	0.000627	-2521695.849
2900	2	11	0.001153	0.000620	-2521775.712
3000	2	11	0.001162	0.000623	-2521681.000
3100	2	11	0.001141	0.000625	-2521584.988
3200	2	11	0.001136	0.000595	-2521392.439
3300	2	11	0.001116	0.000642	-2521335.494
3400	2	11	0.001097	0.000624	-2521627.590
3500	2	11	0.001122	0.000599	-2521589.136
3600	2	11	0.001155	0.000587	-2521559.895
3700	2	11	0.001113	0.000635	-2521574.285
3800	2	11	0.001108	0.000603	-2521529.192
3900	2	11	0.001134	0.000628	-2521621.310
4000	2	11	0.001138	0.000611	-2521521.851
4100	2	11	0.001130	0.000622	-2521429.827
4200	2	11	0.001113	0.000618	-2521556.200
4300	2	11	0.001126	0.000602	-2521619.629
4400	2	11	0.001127	0.000636	-2521474.172
4500	2	11	0.001132	0.000590	-2521345.767
4600	2	11	0.001131	0.000607	-2521366.787
4700	2	11	0.001156	0.000598	-2521534.957
4800	2	11	0.001153	0.000625	-2521558.350
4900	2	11	0.001145	0.000578	-2521400.422
5000	2	11	0.001138	0.000596	-2521691.402
5100	2	11	0.001100	0.000634	-2521422.341
5200	2	11	0.001123	0.000619	-2521487.398
5300	2	11	0.001142	0.000598	-2521568.766
5400	2	11	0.001141	0.000629	-2521697.236
5500	2	11	0.001155	0.000581	-2521583.171
5600	2	11	0.001158	0.000607	-2521530.694
5700	2	11	0.001140	0.000618	-2521352.737
5800	2	11	0.001129	0.000624	-2521559.157
5900	2	11	0.001129	0.000617	-2521463.199
6000	2	11	0.001146	0.000629	-2521587.088
6100	2	11	0.001149	0.000583	-2521672.627
6200	2	11	0.001096	0.000606	-2521490.397
6300	2	11	0.001108	0.000601	-2521532.042
6400	2	11	0.001125	0.000604	-2521474.490
6500	2	11	0.001111	0.000619	-2521378.290
6600	2	11	0.001136	0.000615	-2521589.799
6700	2	11	0.001158	0.000615	-2521553.905
6800	2	11	0.001153	0.000623	-2521645.534
6900	2	11	0.001176	0.000621	-2521551.753
7000	2	11	0.001184	0.000585	-2521618.968
7100	2	11	0.001135	0.000628	-2521441.691
7200	2	11	0.001142	0.000609	-2521746.469
7300	2	11	0.001152	0.000621	-2521771.267
7400	2	11	0.001149	0.000610	-2521611.345
7500	2	11	0.001147	0.000587	-2521438.686
