ID,CODE,SPECIES,COLOUR,POP,orig,FINAL
PL1_Pool1_38_F81_2012,62,E. carletoni,#1787ff,ANDRAF,F81_2012,ANDRAF.F81
PL1_Pool1_B80_D_2,63,E. carletoni,#1787ff,ANDF,B80_2012,ANDF.B80
PL1_Pool3_27_F57_2011,64,E. carletoni,#1787ff,AMBO,F57_2011,AMBO.F57
PL1_Pool1_E64_E_1,65,E. carletoni,#1787ff,BEK,E64_2011,BEK.E64
PL1_PoolX_H11_2012,66,E. carletoni,#1787ff,MAROV,H11_2012,MAROV.H11
PL1_PoolX_A42_2012,67,E. carletoni,#1787ff,SERA,A42_2012,SERA.A42
PL1_Pool2_12_C28_2012,68,E. carletoni,#1787ff,ANALM,C28_2012,ANALM.C28
PL1_Pool1_P36_A_17,69,E. carletoni,#1787ff,ANALM_2,P36_2012,ANALM_2.P36
PL1_Pool1_H07_A_24,70,E. carletoni,#1787ff,SOL,H07_2011,SOL.H07
PL1_PoolX_A11_2012,71,E. carletoni,#1787ff,ANDF,A11_2012,ANDF.A11
PL1_Pool2_B62_2013_C_16,72,E. carletoni,#1787ff,SAL,B62_2013,SAL.B62
PL1_PoolX_K35_2011,73,E. carletoni,#1787ff,SOL,K35_2011,SOL.K35
PL1_Pool1_F126_B_14,74,E. carletoni,#1787ff,ANDRAF,F126_2012,ANDRAF.F126
PL1_PoolX_H7_2012,75,E. carletoni,#1787ff,MAROV,H7_2012,MAROV.H7
PL1_Pool3_46_B45_2012,76,E. carletoni,#1787ff,ANDF,B45_2012,ANDF.B45
PL1_Pool1_8_F26_2012,77,E. carletoni,#1787ff,MAHAR,F26_2012,MAHAR.F26
PL1_Pool1_I47_E_13,78,E. carletoni,#1787ff,SOL,I47_2011,SOL.I47
PL1_Pool1_H37_D_6,79,E. carletoni,#1787ff,ANTSB,H37_2011,ANTSB.H37
PL1_Pool1_B72_A_52,80,E. minor,chartreuse3,AMBALA,B72_2014,AMBALA.B72
PL1_Pool1_F55_C_21,81,E. minor,chartreuse3,ANTSA,F55_2015,ANTSA.F55
PL1_Pool2_F10_E_11,82,E. minor,chartreuse3,AMBA,F10_2015,AMBA.F10
PL1_Pool1_30_E32_2014,83,E. minor,chartreuse3,ANDR,E32_2014,ANDR.E32
PL1_Pool2_9_BK78_2018,84,E. minor,chartreuse3,BEAMA,BK78_2018,BEAMA.BK78
PL1_Pool3_35_BK111_2018,85,E. minor,chartreuse3,LOHANA,BK111_2018,LOHANA.BK111
PL1_Pool3_36_A69_2014,86,E. minor,chartreuse3,MAL,A69_2014,MAL.A69
PL1_Pool3_48_BK166_2018,87,E. minor,chartreuse3,ANDOHA,BK166_2018,ANDOHA.BK166
PL1_Pool2_F23_D_4,88,E. minor,chartreuse3,AMBA,F23_2015,AMBA.F23
PL1_PoolX_E24_2014,89,E. minor,chartreuse3,ANDR,E24_2014,ANDR.E24
PL1_PoolX_B91_2014,90,E. minor,chartreuse3,AMBALA,B91_2014,AMBALA.B91
PL1_Pool2_10_BK159_2018,91,E. minor,chartreuse3,ANDOHA,BK159_2018,ANDOHA.BK159
PL1_Pool1_A90_D_24,92,E. minor,chartreuse3,MAL,A90_2014,MAL.A90
PL1_Pool1_F54_C_24,93,E. minor,chartreuse3,ANTSA,F54_2015,ANTSA.F54
PL1_Pool3_6_BK143_2018,94,E. minor,chartreuse3,ANDOHA,BK143_2018,ANDOHA.BK143
PL1_Pool3_12_E25_2014,95,E. minor,chartreuse3,ANDR,E25_2014,ANDR.E25
PL1_PoolX_A46_2014,96,E. minor,chartreuse3,ANDR,A46_2014,ANDR.A46
PL1_Pool2_41_E17_2014,97,E. minor,chartreuse3,ANDR,E17_2014,ANDR.E17
PL1_Pool2_F37_D_20,98,E. minor,chartreuse3,ANTSA,F37_2015,ANTSA.F37
PL1_Pool2_B92_E_27,99,E. minor,chartreuse3,AMBALA,B92_2014,AMBALA.B92
PL1_Pool2_G52_2015_E_12,100,E. ellermani,red3,ANKI,G52_2015,ANKI.G52
PL1_Pool3_24_B25_2014,101,E. ellermani,red3,AMBALA,B25_2014,AMBALA.B25
PL1_Pool1_12_G30_2015,102,E. ellermani,red3,KABE,G30_2015,KABE.G30
PL1_Pool1_35_C84_2013,103,E. ellermani,red3,BEZ,C84_2013,BEZ.C84
PL1_Pool2_29_BD44_2017,104,E. ellermani,red3,M_AMBRE_NORTH,BD44_2017,M_AMBRE_NORTH.BD44
PL1_Pool2_6_BF73_2017,105,E. ellermani,red3,BIN,BF73_2017,BIN.BF73
PL1_PoolX_H21_2011,106,E. ellermani,red3,ANTSB,H21_2011,ANTSB.H21
PL1_PoolX_F9_2015,107,E. ellermani,red3,AMBA,F9_2015,AMBA.F9
PL1_Pool1_24_BF61_2017,108,E. ellermani,red3,BIN,BF61_2017,BIN.BF61
PL1_Pool1_H22_D_37,109,E. ellermani,red3,ANTSB,H22_2011,ANTSB.H22
PL1_Pool1_48_K71_2011,110,E. ellermani,red3,BIN,K71_2011,BIN.K71
PL1_Pool1_H38_D_17,111,E. ellermani,red3,ANTSB,H38_2011,ANTSB.H38
PL1_Pool1_33_H79_2011,112,E. ellermani,red3,ANTSB,H79_2011,ANTSB.H79
PL1_PoolX_G9_2015,113,E. ellermani,red3,KABE,G09_2015,KABE.G09
PL1_Pool1_10_G45_2015,114,E. ellermani,red3,ANKI,G45_2015,ANKI.G45
PL1_Pool3_33_BC74_2017,115,E. ellermani,red3,M_AMBRE_NORTH,BC74_2017,M_AMBRE_NORTH.BC74
PL1_Pool2_K55_2011_B_6,116,E. ellermani,red3,BIN,K55_2011,BIN.K55
PL1_Pool1_H41_D_10,117,E. ellermani,red3,ANTSB,H41_2011,ANTSB.H41
PL1_Pool1_27_BD29_2017,118,Eliurus sp. nova,orange,M_AMBRE_NORTH,BD29_2017,M_AMBRE_NORTH.BD29
PL1_Pool1_36_BE35_2017,119,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BE35_2017,M_AMBRE_SOUTH.BE35
PL1_Pool2_11_BG72_2017,120,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG72_2017,M_AMBRE_SOUTH.BG72
PL1_Pool2_46_BD68_2017,121,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BD68_2017,M_AMBRE_SOUTH.BD68
PL1_Pool3_32_BC51_2017,122,Eliurus sp. nova,orange,M_AMBRE_NORTH,BC51_2017,M_AMBRE_NORTH.BC51
PL1_Pool3_34_BG77_2017,123,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG77_2017,M_AMBRE_SOUTH.BG77
PL1_Pool3_45_BH10_2017,124,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BH10_2017,M_AMBRE_SOUTH.BH10
PL1_Pool3_8_BG61_2017,125,Eliurus sp. nova,orange,M_AMBRE_SOUTH,BG61_2017,M_AMBRE_SOUTH.BG61
