Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001101	0.000611	-2521529.542
200	2	11	0.001123	0.000603	-2521586.885
300	2	11	0.001129	0.000611	-2521587.757
400	2	11	0.001132	0.000595	-2521562.863
500	2	11	0.001180	0.000580	-2521570.514
600	2	11	0.001164	0.000557	-2521492.525
700	2	11	0.001090	0.000607	-2521442.213
800	2	11	0.001115	0.000623	-2521636.225
900	2	11	0.001112	0.000600	-2521544.303
1000	2	11	0.001138	0.000589	-2521425.615
1100	2	11	0.001152	0.000628	-2521673.245
1200	2	11	0.001145	0.000605	-2521451.921
1300	2	11	0.001164	0.000605	-2521653.461
1400	2	11	0.001191	0.000600	-2521597.589
1500	2	11	0.001198	0.000599	-2521620.609
1600	2	11	0.001177	0.000584	-2521506.387
1700	2	11	0.001132	0.000614	-2521565.095
1800	2	11	0.001102	0.000626	-2521554.236
1900	2	11	0.001129	0.000625	-2521452.589
2000	2	11	0.001147	0.000603	-2521438.937
2100	2	11	0.001112	0.000593	-2521612.650
2200	2	11	0.001143	0.000599	-2521579.761
2300	2	11	0.001132	0.000600	-2521509.713
2400	2	11	0.001105	0.000588	-2521661.184
2500	2	11	0.001113	0.000596	-2521486.039
2600	2	11	0.001093	0.000579	-2521498.789
2700	2	11	0.001121	0.000601	-2521436.115
2800	2	11	0.001141	0.000624	-2521744.890
2900	2	11	0.001134	0.000607	-2521591.969
3000	2	11	0.001140	0.000589	-2521553.897
3100	2	11	0.001116	0.000605	-2521387.896
3200	2	11	0.001139	0.000573	-2521605.998
3300	2	11	0.001161	0.000603	-2521539.003
3400	2	11	0.001137	0.000573	-2521592.677
3500	2	11	0.001131	0.000616	-2521628.879
3600	2	11	0.001164	0.000608	-2521550.856
3700	2	11	0.001128	0.000603	-2521549.023
3800	2	11	0.001087	0.000588	-2521666.314
3900	2	11	0.001088	0.000595	-2521563.008
4000	2	11	0.001125	0.000617	-2521606.693
4100	2	11	0.001132	0.000605	-2521574.116
4200	2	11	0.001088	0.000578	-2521557.417
4300	2	11	0.001081	0.000620	-2521427.534
