Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001124	0.000598	-2521612.764
200	2	11	0.001120	0.000623	-2521523.727
300	2	11	0.001136	0.000620	-2521498.928
400	2	11	0.001092	0.000623	-2521511.059
500	2	11	0.001115	0.000583	-2521759.725
600	2	11	0.001073	0.000629	-2521468.145
700	2	11	0.001124	0.000604	-2521522.155
800	2	11	0.001143	0.000579	-2521597.895
900	2	11	0.001114	0.000657	-2521568.737
1000	2	11	0.001111	0.000590	-2521713.424
1100	2	11	0.001083	0.000633	-2521750.244
1200	2	11	0.001141	0.000618	-2521614.786
1300	2	11	0.001104	0.000597	-2521644.067
1400	2	11	0.001092	0.000633	-2521432.277
1500	2	11	0.001129	0.000617	-2521642.921
1600	2	11	0.001126	0.000605	-2521527.221
1700	2	11	0.001141	0.000601	-2521438.819
1800	2	11	0.001130	0.000605	-2521701.665
1900	2	11	0.001118	0.000632	-2521694.784
2000	2	11	0.001127	0.000647	-2521624.303
2100	2	11	0.001129	0.000632	-2521675.280
2200	2	11	0.001139	0.000622	-2521589.250
2300	2	11	0.001107	0.000590	-2521611.854
2400	2	11	0.001152	0.000622	-2521771.346
2500	2	11	0.001162	0.000608	-2521563.081
2600	2	11	0.001126	0.000617	-2521802.086
2700	2	11	0.001157	0.000593	-2521719.952
2800	2	11	0.001149	0.000629	-2521669.404
2900	2	11	0.001110	0.000610	-2521572.994
3000	2	11	0.001172	0.000602	-2521514.465
3100	2	11	0.001154	0.000612	-2521576.340
3200	2	11	0.001140	0.000632	-2521650.252
3300	2	11	0.001118	0.000565	-2521493.869
3400	2	11	0.001121	0.000625	-2521706.569
3500	2	11	0.001159	0.000615	-2521856.487
3600	2	11	0.001161	0.000622	-2521693.859
3700	2	11	0.001133	0.000612	-2521696.475
3800	2	11	0.001164	0.000608	-2521755.773
3900	2	11	0.001149	0.000606	-2521666.659
4000	2	11	0.001151	0.000651	-2521713.449
4100	2	11	0.001169	0.000606	-2521656.014
4200	2	11	0.001146	0.000599	-2521604.767
4300	2	11	0.001138	0.000590	-2521578.623
4400	2	11	0.001118	0.000604	-2521521.405
4500	2	11	0.001148	0.000595	-2521561.504
4600	2	11	0.001131	0.000636	-2521598.602
4700	2	11	0.001142	0.000589	-2521673.860
4800	2	11	0.001143	0.000619	-2521667.314
4900	2	11	0.001157	0.000619	-2521699.013
5000	2	11	0.001120	0.000607	-2521518.237
5100	2	11	0.001138	0.000576	-2521427.464
5200	2	11	0.001156	0.000594	-2521493.186
5300	2	11	0.001185	0.000606	-2521832.852
5400	2	11	0.001167	0.000599	-2521582.195
5500	2	11	0.001168	0.000616	-2521722.917
5600	2	11	0.001140	0.000633	-2521730.626
5700	2	11	0.001155	0.000645	-2521805.816
5800	2	11	0.001163	0.000602	-2521558.397
5900	2	11	0.001114	0.000594	-2521547.592
6000	2	11	0.001121	0.000597	-2521732.584
6100	2	11	0.001104	0.000582	-2521608.035
6200	2	11	0.001094	0.000632	-2521462.361
6300	2	11	0.001134	0.000583	-2521466.481
6400	2	11	0.001101	0.000600	-2521397.355
6500	2	11	0.001123	0.000631	-2521572.632
6600	2	11	0.001113	0.000618	-2521756.093
6700	2	11	0.001071	0.000586	-2521575.265
6800	2	11	0.001122	0.000628	-2521553.088
6900	2	11	0.001162	0.000601	-2521590.646
7000	2	11	0.001118	0.000597	-2521443.739
7100	2	11	0.001093	0.000619	-2521573.883
7200	2	11	0.001096	0.000594	-2521730.973
7300	2	11	0.001115	0.000607	-2521554.306
7400	2	11	0.001119	0.000594	-2521466.967
7500	2	11	0.001134	0.000578	-2521562.931
7600	2	11	0.001102	0.000637	-2521453.288
7700	2	11	0.001120	0.000615	-2521649.573
7800	2	11	0.001150	0.000606	-2521628.868
7900	2	11	0.001173	0.000623	-2521541.802
8000	2	11	0.001179	0.000596	-2521592.433
8100	2	11	0.001131	0.000621	-2521616.259
8200	2	11	0.001135	0.000637	-2521634.969
8300	2	11	0.001128	0.000607	-2521597.081
8400	2	11	0.001120	0.000589	-2521607.098
8500	2	11	0.001088	0.000605	-2521577.435
8600	2	11	0.001094	0.000624	-2521693.015
8700	2	11	0.001103	0.000603	-2521541.602
8800	2	11	0.001120	0.000616	-2521641.972
8900	2	11	0.001103	0.000585	-2521663.973
9000	2	11	0.001152	0.000599	-2521629.148
9100	2	11	0.001133	0.000622	-2521458.370
9200	2	11	0.001122	0.000602	-2521498.156
9300	2	11	0.001097	0.000622	-2521622.906
