Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001160	0.000728	-2521890.636
200	2	11	0.001131	0.000706	-2521811.418
300	2	11	0.001138	0.000764	-2521898.323
400	2	11	0.001139	0.000697	-2521896.337
500	2	11	0.001144	0.000691	-2521811.974
600	2	11	0.001105	0.000728	-2521883.605
700	2	11	0.001156	0.000700	-2521856.216
800	2	11	0.001152	0.000736	-2521870.415
900	2	11	0.001143	0.000727	-2521825.528
1000	2	11	0.001169	0.000727	-2521787.971
1100	2	11	0.001156	0.000720	-2521722.096
1200	2	11	0.001156	0.000715	-2521791.400
1300	2	11	0.001138	0.000686	-2521689.232
1400	2	11	0.001148	0.000725	-2521858.040
1500	2	11	0.001143	0.000698	-2521824.740
1600	2	11	0.001167	0.000705	-2521879.861
1700	2	11	0.001157	0.000698	-2521715.684
1800	2	11	0.001126	0.000719	-2521584.758
1900	2	11	0.001154	0.000728	-2521543.886
2000	2	11	0.001164	0.000732	-2521831.424
2100	2	11	0.001194	0.000720	-2522061.068
2200	2	11	0.001199	0.000730	-2521940.653
2300	2	11	0.001163	0.000721	-2521759.297
2400	2	11	0.001130	0.000715	-2521684.574
2500	2	11	0.001158	0.000711	-2521845.763
2600	2	11	0.001175	0.000737	-2521809.096
2700	2	11	0.001155	0.000730	-2521960.726
2800	2	11	0.001170	0.000718	-2521974.957
2900	2	11	0.001149	0.000760	-2521893.483
3000	2	11	0.001141	0.000726	-2521909.567
3100	2	11	0.001130	0.000738	-2521931.543
3200	2	11	0.001137	0.000711	-2521837.210
3300	2	11	0.001183	0.000723	-2521975.949
3400	2	11	0.001144	0.000686	-2521660.283
3500	2	11	0.001127	0.000725	-2521854.356
3600	2	11	0.001139	0.000746	-2521646.284
3700	2	11	0.001140	0.000721	-2521731.432
3800	2	11	0.001129	0.000721	-2521688.647
3900	2	11	0.001171	0.000694	-2521620.439
4000	2	11	0.001183	0.000719	-2521775.810
4100	2	11	0.001144	0.000712	-2521675.302
4200	2	11	0.001095	0.000694	-2521536.759
4300	2	11	0.001152	0.000736	-2521669.978
4400	2	11	0.001208	0.000740	-2521908.369
4500	2	11	0.001180	0.000700	-2521886.466
4600	2	11	0.001178	0.000718	-2521952.016
4700	2	11	0.001161	0.000673	-2521748.375
4800	2	11	0.001181	0.000738	-2521884.185
4900	2	11	0.001155	0.000747	-2522038.391
5000	2	11	0.001146	0.000690	-2521862.218
5100	2	11	0.001156	0.000728	-2521877.190
5200	2	11	0.001134	0.000704	-2521637.565
5300	2	11	0.001172	0.000734	-2521778.624
5400	2	11	0.001163	0.000715	-2521706.073
5500	2	11	0.001190	0.000728	-2521808.203
5600	2	11	0.001172	0.000743	-2521752.697
5700	2	11	0.001159	0.000720	-2521675.772
5800	2	11	0.001168	0.000715	-2521782.791
5900	2	11	0.001215	0.000706	-2522077.813
6000	2	11	0.001164	0.000720	-2521818.262
6100	2	11	0.001145	0.000745	-2521766.034
6200	2	11	0.001148	0.000729	-2521774.238
6300	2	11	0.001161	0.000747	-2522047.619
6400	2	11	0.001176	0.000695	-2521872.026
6500	2	11	0.001152	0.000695	-2521721.526
6600	2	11	0.001162	0.000725	-2521849.025
6700	2	11	0.001159	0.000707	-2521655.472
6800	2	11	0.001153	0.000710	-2521825.345
6900	2	11	0.001195	0.000726	-2521790.005
7000	2	11	0.001141	0.000735	-2521874.724
7100	2	11	0.001184	0.000713	-2521802.996
7200	2	11	0.001128	0.000719	-2521706.887
7300	2	11	0.001165	0.000707	-2521695.151
7400	2	11	0.001143	0.000736	-2521796.589
7500	2	11	0.001138	0.000726	-2521774.198
7600	2	11	0.001163	0.000699	-2522026.608
7700	2	11	0.001176	0.000725	-2521793.123
7800	2	11	0.001133	0.000751	-2521879.210
7900	2	11	0.001196	0.000734	-2521817.929
8000	2	11	0.001160	0.000736	-2521605.312
8100	2	11	0.001184	0.000719	-2521685.677
8200	2	11	0.001186	0.000712	-2521724.559
8300	2	11	0.001147	0.000706	-2521676.259
8400	2	11	0.001172	0.000719	-2521644.024
8500	2	11	0.001135	0.000708	-2521625.480
8600	2	11	0.001164	0.000694	-2521663.715
8700	2	11	0.001168	0.000742	-2521582.890
8800	2	11	0.001149	0.000727	-2521645.404
8900	2	11	0.001161	0.000700	-2521836.657
9000	2	11	0.001197	0.000731	-2521689.424
9100	2	11	0.001186	0.000706	-2521819.985
9200	2	11	0.001157	0.000729	-2521879.254
9300	2	11	0.001145	0.000724	-2521816.257
9400	2	11	0.001167	0.000744	-2521791.784
9500	2	11	0.001142	0.000701	-2521768.827
9600	2	11	0.001163	0.000712	-2521530.064
9700	2	11	0.001159	0.000692	-2521704.145
9800	2	11	0.001183	0.000717	-2521778.845
9900	2	11	0.001203	0.000722	-2521830.100
10000	2	11	0.001143	0.000721	-2521683.076
10100	2	11	0.001148	0.000725	-2521688.548
10200	2	11	0.001138	0.000741	-2521754.417
10300	2	11	0.001137	0.000722	-2521759.314
10400	2	11	0.001160	0.000741	-2521702.631
10500	2	11	0.001145	0.000701	-2521795.432
10600	2	11	0.001194	0.000684	-2521708.845
10700	2	11	0.001149	0.000713	-2521591.376
10800	2	11	0.001165	0.000739	-2521874.336
10900	2	11	0.001146	0.000733	-2521724.585
11000	2	11	0.001174	0.000753	-2521746.391
11100	2	11	0.001138	0.000732	-2521708.138
11200	2	11	0.001146	0.000719	-2521743.213
11300	2	11	0.001164	0.000760	-2521924.266
11400	2	11	0.001144	0.000683	-2521569.638
11500	2	11	0.001159	0.000730	-2521862.048
11600	2	11	0.001156	0.000717	-2521646.254
11700	2	11	0.001193	0.000702	-2521691.103
11800	2	11	0.001164	0.000730	-2521725.236
11900	2	11	0.001147	0.000708	-2521696.774
12000	2	11	0.001150	0.000705	-2521828.831
12100	2	11	0.001154	0.000720	-2521792.144
12200	2	11	0.001155	0.000729	-2521741.015
12300	2	11	0.001155	0.000699	-2521736.001
12400	2	11	0.001163	0.000738	-2521871.616
12500	2	11	0.001154	0.000710	-2521739.016
12600	2	11	0.001186	0.000740	-2521867.732
12700	2	11	0.001160	0.000692	-2521743.739
12800	2	11	0.001137	0.000718	-2521524.692
12900	2	11	0.001139	0.000714	-2521761.258
13000	2	11	0.001166	0.000737	-2521691.949
13100	2	11	0.001145	0.000707	-2521815.544
13200	2	11	0.001160	0.000723	-2521604.476
13300	2	11	0.001146	0.000716	-2521747.355
13400	2	11	0.001160	0.000734	-2521686.745
13500	2	11	0.001180	0.000705	-2521686.009
13600	2	11	0.001170	0.000731	-2521909.368
13700	2	11	0.001131	0.000719	-2521593.807
13800	2	11	0.001150	0.000738	-2521573.240
13900	2	11	0.001163	0.000725	-2521710.191
14000	2	11	0.001170	0.000719	-2521893.721
14100	2	11	0.001149	0.000738	-2521761.655
14200	2	11	0.001149	0.000698	-2521777.201
14300	2	11	0.001193	0.000707	-2521801.693
14400	2	11	0.001181	0.000742	-2521875.628
14500	2	11	0.001151	0.000752	-2521708.338
14600	2	11	0.001144	0.000735	-2522046.298
14700	2	11	0.001127	0.000735	-2521692.982
14800	2	11	0.001124	0.000754	-2521550.160
14900	2	11	0.001138	0.000706	-2521580.482
15000	2	11	0.001132	0.000746	-2521705.460
15100	2	11	0.001141	0.000713	-2521708.476
15200	2	11	0.001143	0.000747	-2521818.453
15300	2	11	0.001119	0.000712	-2521747.430
15400	2	11	0.001131	0.000712	-2521802.860
15500	2	11	0.001138	0.000746	-2521720.135
15600	2	11	0.001176	0.000721	-2521802.320
15700	2	11	0.001154	0.000716	-2521730.613
15800	2	11	0.001161	0.000714	-2521863.086
15900	2	11	0.001126	0.000694	-2521564.962
16000	2	11	0.001136	0.000703	-2521800.176
16100	2	11	0.001125	0.000706	-2521622.512
16200	2	11	0.001149	0.000696	-2521565.318
16300	2	11	0.001127	0.000683	-2521583.851
16400	2	11	0.001125	0.000722	-2521603.175
16500	2	11	0.001151	0.000702	-2521705.621
16600	2	11	0.001154	0.000739	-2521850.829
16700	2	11	0.001143	0.000717	-2521829.251
16800	2	11	0.001163	0.000760	-2521890.491
16900	2	11	0.001178	0.000717	-2521829.036
17000	2	11	0.001166	0.000717	-2521675.591
17100	2	11	0.001146	0.000735	-2521630.022
17200	2	11	0.001112	0.000687	-2521519.393
17300	2	11	0.001149	0.000710	-2521643.858
17400	2	11	0.001170	0.000730	-2521647.873
17500	2	11	0.001144	0.000745	-2521753.108
17600	2	11	0.001147	0.000714	-2521662.410
17700	2	11	0.001156	0.000721	-2521773.100
17800	2	11	0.001166	0.000758	-2521765.968
17900	2	11	0.001170	0.000714	-2521781.161
18000	2	11	0.001156	0.000710	-2521767.962
18100	2	11	0.001187	0.000702	-2521722.077
18200	2	11	0.001163	0.000732	-2521897.815
18300	2	11	0.001141	0.000727	-2521548.006
18400	2	11	0.001114	0.000699	-2521697.081
18500	2	11	0.001198	0.000738	-2521665.708
