Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001137	0.000722	-2521826.324
200	2	11	0.001160	0.000698	-2521782.049
300	2	11	0.001141	0.000742	-2521879.251
400	2	11	0.001145	0.000732	-2522047.578
500	2	11	0.001139	0.000711	-2521799.437
600	2	11	0.001121	0.000736	-2521910.103
700	2	11	0.001172	0.000743	-2521770.118
800	2	11	0.001173	0.000751	-2522036.124
900	2	11	0.001162	0.000712	-2521981.547
1000	2	11	0.001141	0.000690	-2521611.036
1100	2	11	0.001165	0.000759	-2522001.458
1200	2	11	0.001167	0.000720	-2521946.165
1300	2	11	0.001172	0.000687	-2521900.085
1400	2	11	0.001169	0.000726	-2521819.662
1500	2	11	0.001162	0.000729	-2521894.510
1600	2	11	0.001203	0.000682	-2521875.583
1700	2	11	0.001206	0.000735	-2522100.750
1800	2	11	0.001169	0.000697	-2521810.772
1900	2	11	0.001186	0.000704	-2521958.302
2000	2	11	0.001217	0.000771	-2521971.408
2100	2	11	0.001160	0.000685	-2521797.286
2200	2	11	0.001145	0.000726	-2521824.114
2300	2	11	0.001141	0.000750	-2521827.359
2400	2	11	0.001134	0.000740	-2521769.241
2500	2	11	0.001164	0.000696	-2521742.684
2600	2	11	0.001186	0.000730	-2521834.514
2700	2	11	0.001187	0.000753	-2521976.926
2800	2	11	0.001177	0.000715	-2521825.376
2900	2	11	0.001180	0.000755	-2521934.894
3000	2	11	0.001161	0.000722	-2521844.195
3100	2	11	0.001180	0.000712	-2521977.446
3200	2	11	0.001147	0.000690	-2521811.193
3300	2	11	0.001136	0.000743	-2521851.554
3400	2	11	0.001144	0.000732	-2521829.679
3500	2	11	0.001141	0.000722	-2521798.574
3600	2	11	0.001148	0.000698	-2521952.315
3700	2	11	0.001147	0.000708	-2521806.809
3800	2	11	0.001167	0.000740	-2521971.620
3900	2	11	0.001152	0.000707	-2521800.299
4000	2	11	0.001175	0.000714	-2521940.542
4100	2	11	0.001154	0.000740	-2521951.743
4200	2	11	0.001155	0.000714	-2521808.062
4300	2	11	0.001173	0.000706	-2521911.222
4400	2	11	0.001135	0.000701	-2521860.499
4500	2	11	0.001147	0.000689	-2521846.591
4600	2	11	0.001101	0.000709	-2521712.156
4700	2	11	0.001122	0.000715	-2521782.704
4800	2	11	0.001136	0.000694	-2521769.420
4900	2	11	0.001145	0.000718	-2522005.577
5000	2	11	0.001126	0.000746	-2521970.305
5100	2	11	0.001130	0.000737	-2521817.731
5200	2	11	0.001160	0.000721	-2521975.925
5300	2	11	0.001143	0.000708	-2521750.560
5400	2	11	0.001108	0.000737	-2521669.547
5500	2	11	0.001121	0.000691	-2521678.440
5600	2	11	0.001134	0.000744	-2521816.956
5700	2	11	0.001124	0.000725	-2521991.183
5800	2	11	0.001134	0.000718	-2521854.481
5900	2	11	0.001137	0.000710	-2521795.688
6000	2	11	0.001174	0.000701	-2521817.816
6100	2	11	0.001134	0.000731	-2521670.734
6200	2	11	0.001159	0.000733	-2521961.167
6300	2	11	0.001128	0.000718	-2521813.522
6400	2	11	0.001142	0.000732	-2521799.272
6500	2	11	0.001136	0.000726	-2521821.180
6600	2	11	0.001099	0.000669	-2521796.110
6700	2	11	0.001146	0.000713	-2521927.383
6800	2	11	0.001175	0.000730	-2522021.307
6900	2	11	0.001146	0.000727	-2521618.102
7000	2	11	0.001158	0.000719	-2521707.867
7100	2	11	0.001135	0.000704	-2521767.275
7200	2	11	0.001146	0.000715	-2521817.280
7300	2	11	0.001151	0.000727	-2521756.349
7400	2	11	0.001115	0.000684	-2521616.984
7500	2	11	0.001148	0.000733	-2521797.243
7600	2	11	0.001161	0.000728	-2521922.498
7700	2	11	0.001174	0.000717	-2521909.331
7800	2	11	0.001160	0.000696	-2521791.673
7900	2	11	0.001161	0.000719	-2521777.470
8000	2	11	0.001122	0.000726	-2521809.873
8100	2	11	0.001131	0.000740	-2521780.050
8200	2	11	0.001127	0.000720	-2521767.344
8300	2	11	0.001122	0.000717	-2521953.805
8400	2	11	0.001162	0.000687	-2521940.571
8500	2	11	0.001185	0.000764	-2521943.834
8600	2	11	0.001160	0.000731	-2521769.789
8700	2	11	0.001167	0.000730	-2521806.022
8800	2	11	0.001145	0.000705	-2521819.739
8900	2	11	0.001146	0.000695	-2521828.189
9000	2	11	0.001153	0.000740	-2521796.477
9100	2	11	0.001192	0.000705	-2521894.860
9200	2	11	0.001171	0.000697	-2521828.001
9300	2	11	0.001155	0.000705	-2521972.120
9400	2	11	0.001148	0.000711	-2521937.124
9500	2	11	0.001151	0.000722	-2521807.870
9600	2	11	0.001144	0.000732	-2521840.009
9700	2	11	0.001149	0.000714	-2521824.986
9800	2	11	0.001127	0.000721	-2521901.439
9900	2	11	0.001160	0.000745	-2521877.925
10000	2	11	0.001167	0.000687	-2521889.257
10100	2	11	0.001170	0.000727	-2521773.355
10200	2	11	0.001177	0.000704	-2521761.403
10300	2	11	0.001167	0.000715	-2521618.874
10400	2	11	0.001156	0.000723	-2521623.940
10500	2	11	0.001123	0.000733	-2521824.974
10600	2	11	0.001150	0.000719	-2521870.991
10700	2	11	0.001211	0.000705	-2521890.805
10800	2	11	0.001197	0.000733	-2521805.335
10900	2	11	0.001155	0.000695	-2521669.499
11000	2	11	0.001146	0.000724	-2521807.269
11100	2	11	0.001190	0.000722	-2521943.489
11200	2	11	0.001198	0.000711	-2521755.062
11300	2	11	0.001156	0.000732	-2521660.477
11400	2	11	0.001127	0.000708	-2521660.290
11500	2	11	0.001153	0.000714	-2521748.172
11600	2	11	0.001191	0.000713	-2521921.327
11700	2	11	0.001138	0.000674	-2521572.323
11800	2	11	0.001166	0.000716	-2521812.735
11900	2	11	0.001150	0.000740	-2521692.574
12000	2	11	0.001141	0.000715	-2521782.450
12100	2	11	0.001172	0.000703	-2521760.784
12200	2	11	0.001197	0.000707	-2521757.845
12300	2	11	0.001144	0.000736	-2521803.306
12400	2	11	0.001161	0.000700	-2521714.169
12500	2	11	0.001150	0.000753	-2521837.344
12600	2	11	0.001133	0.000721	-2521608.988
12700	2	11	0.001169	0.000752	-2521728.569
12800	2	11	0.001154	0.000748	-2521883.473
12900	2	11	0.001150	0.000705	-2521881.384
13000	2	11	0.001143	0.000712	-2521796.497
13100	2	11	0.001129	0.000702	-2521838.762
13200	2	11	0.001101	0.000728	-2521613.580
13300	2	11	0.001139	0.000732	-2521891.038
13400	2	11	0.001155	0.000739	-2521774.397
13500	2	11	0.001125	0.000754	-2521807.643
13600	2	11	0.001140	0.000721	-2521734.843
13700	2	11	0.001147	0.000722	-2521795.067
13800	2	11	0.001157	0.000716	-2521732.514
13900	2	11	0.001168	0.000704	-2521795.965
14000	2	11	0.001171	0.000745	-2521855.029
14100	2	11	0.001174	0.000714	-2521787.558
14200	2	11	0.001135	0.000703	-2521806.963
14300	2	11	0.001152	0.000717	-2521573.117
14400	2	11	0.001128	0.000720	-2521752.318
14500	2	11	0.001180	0.000729	-2521730.579
14600	2	11	0.001129	0.000726	-2521869.628
14700	2	11	0.001131	0.000709	-2521598.442
14800	2	11	0.001134	0.000725	-2521732.468
14900	2	11	0.001175	0.000730	-2521763.965
15000	2	11	0.001155	0.000732	-2521667.712
15100	2	11	0.001144	0.000750	-2521808.468
15200	2	11	0.001154	0.000718	-2521850.710
15300	2	11	0.001152	0.000710	-2521777.914
