Gen	theta_1Emyox	theta_2Emin	theta_3Esp	theta_4EminEmyoxEsp	theta_5EmyoxEsp	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	0.000659	0.001207	0.000616	0.002277	0.004867	0.001147	0.000642	-2521605.197
200	0.000650	0.001238	0.000621	0.002341	0.004327	0.001153	0.000620	-2521596.723
300	0.000623	0.001257	0.000629	0.002456	0.004918	0.001126	0.000596	-2521318.529
400	0.000624	0.001224	0.000616	0.002412	0.005023	0.001142	0.000625	-2521619.533
500	0.000615	0.001284	0.000571	0.002364	0.005191	0.001138	0.000602	-2521514.370
600	0.000599	0.001208	0.000577	0.002307	0.005524	0.001141	0.000567	-2521512.241
700	0.000618	0.001231	0.000587	0.002253	0.005922	0.001156	0.000574	-2521537.174
800	0.000601	0.001254	0.000581	0.002233	0.006416	0.001154	0.000573	-2521567.814
900	0.000629	0.001263	0.000603	0.002279	0.005780	0.001149	0.000606	-2521508.637
1000	0.000629	0.001186	0.000605	0.002300	0.005596	0.001131	0.000612	-2521437.090
1100	0.000644	0.001241	0.000623	0.002339	0.005314	0.001154	0.000635	-2521624.282
1200	0.000608	0.001203	0.000610	0.002271	0.005806	0.001133	0.000614	-2521481.210
1300	0.000620	0.001201	0.000624	0.002276	0.006062	0.001163	0.000603	-2521582.465
1400	0.000616	0.001206	0.000600	0.002301	0.006337	0.001163	0.000596	-2521446.758
1500	0.000615	0.001255	0.000590	0.002348	0.006156	0.001151	0.000593	-2521487.481
1600	0.000625	0.001206	0.000596	0.002349	0.005831	0.001122	0.000611	-2521675.195
1700	0.000607	0.001194	0.000584	0.002373	0.005560	0.001108	0.000600	-2521435.481
1800	0.000596	0.001215	0.000587	0.002298	0.005755	0.001131	0.000572	-2521455.848
1900	0.000615	0.001251	0.000588	0.002377	0.004889	0.001107	0.000590	-2521573.610
2000	0.000636	0.001239	0.000624	0.002358	0.005645	0.001123	0.000622	-2521490.838
2100	0.000626	0.001244	0.000592	0.002376	0.005412	0.001118	0.000588	-2521463.548
2200	0.000628	0.001187	0.000612	0.002275	0.005327	0.001127	0.000600	-2521436.250
2300	0.000598	0.001214	0.000580	0.002274	0.005529	0.001125	0.000557	-2521346.894
2400	0.000617	0.001183	0.000585	0.002329	0.005188	0.001114	0.000568	-2521453.432
2500	0.000623	0.001223	0.000556	0.002330	0.004942	0.001121	0.000594	-2521527.455
