Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001131	0.000715	-2521740.195
200	2	11	0.001143	0.000699	-2521684.261
300	2	11	0.001196	0.000732	-2521880.623
400	2	11	0.001191	0.000738	-2521988.463
500	2	11	0.001142	0.000719	-2521694.974
600	2	11	0.001163	0.000745	-2521993.280
700	2	11	0.001152	0.000732	-2521721.257
800	2	11	0.001139	0.000740	-2521900.615
900	2	11	0.001168	0.000730	-2521613.434
1000	2	11	0.001160	0.000762	-2521732.470
1100	2	11	0.001154	0.000730	-2521665.374
1200	2	11	0.001185	0.000711	-2521815.763
1300	2	11	0.001162	0.000734	-2521879.883
1400	2	11	0.001163	0.000719	-2521800.231
1500	2	11	0.001167	0.000735	-2521913.194
1600	2	11	0.001182	0.000726	-2521892.733
1700	2	11	0.001186	0.000751	-2522086.814
1800	2	11	0.001153	0.000747	-2521891.753
1900	2	11	0.001153	0.000750	-2521983.192
2000	2	11	0.001191	0.000731	-2521878.441
2100	2	11	0.001159	0.000715	-2521590.842
2200	2	11	0.001160	0.000698	-2521861.889
2300	2	11	0.001131	0.000671	-2521621.065
2400	2	11	0.001152	0.000734	-2521862.931
2500	2	11	0.001146	0.000709	-2521764.673
2600	2	11	0.001136	0.000737	-2521797.608
2700	2	11	0.001137	0.000707	-2521960.494
2800	2	11	0.001149	0.000715	-2521804.522
2900	2	11	0.001183	0.000721	-2521880.064
3000	2	11	0.001148	0.000706	-2521635.762
3100	2	11	0.001173	0.000724	-2521940.012
3200	2	11	0.001151	0.000686	-2521769.810
3300	2	11	0.001146	0.000702	-2521696.294
3400	2	11	0.001162	0.000716	-2521734.984
3500	2	11	0.001186	0.000722	-2521959.172
3600	2	11	0.001146	0.000712	-2521794.442
3700	2	11	0.001205	0.000755	-2521948.424
3800	2	11	0.001180	0.000697	-2521755.252
3900	2	11	0.001200	0.000714	-2521862.895
4000	2	11	0.001168	0.000740	-2521849.324
4100	2	11	0.001163	0.000739	-2521767.592
4200	2	11	0.001116	0.000716	-2521556.750
4300	2	11	0.001180	0.000742	-2522015.348
4400	2	11	0.001187	0.000703	-2521719.507
4500	2	11	0.001200	0.000721	-2521848.747
4600	2	11	0.001172	0.000737	-2521892.909
4700	2	11	0.001125	0.000713	-2521723.657
4800	2	11	0.001156	0.000691	-2521493.803
4900	2	11	0.001139	0.000663	-2521711.398
5000	2	11	0.001120	0.000723	-2521788.830
5100	2	11	0.001144	0.000748	-2521766.232
5200	2	11	0.001182	0.000723	-2521842.781
5300	2	11	0.001166	0.000735	-2521819.900
5400	2	11	0.001142	0.000687	-2521516.061
5500	2	11	0.001146	0.000752	-2521792.187
5600	2	11	0.001150	0.000678	-2521618.486
5700	2	11	0.001131	0.000748	-2521720.938
5800	2	11	0.001160	0.000730	-2521823.749
5900	2	11	0.001192	0.000724	-2521731.168
6000	2	11	0.001217	0.000709	-2521546.656
6100	2	11	0.001177	0.000700	-2521848.609
6200	2	11	0.001149	0.000721	-2521706.907
6300	2	11	0.001180	0.000723	-2521838.619
6400	2	11	0.001137	0.000720	-2521696.191
6500	2	11	0.001095	0.000730	-2521721.280
6600	2	11	0.001145	0.000735	-2521736.410
6700	2	11	0.001163	0.000735	-2521852.847
6800	2	11	0.001156	0.000737	-2521820.855
6900	2	11	0.001198	0.000717	-2521750.004
7000	2	11	0.001140	0.000718	-2521752.359
7100	2	11	0.001139	0.000730	-2521677.863
7200	2	11	0.001196	0.000724	-2521898.288
7300	2	11	0.001152	0.000749	-2521767.338
7400	2	11	0.001154	0.000711	-2521651.499
7500	2	11	0.001154	0.000725	-2521585.140
7600	2	11	0.001138	0.000717	-2521739.783
7700	2	11	0.001108	0.000701	-2521545.229
7800	2	11	0.001137	0.000731	-2521744.459
