Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001138	0.000618	-2521467.100
200	2	11	0.001130	0.000613	-2521790.818
300	2	11	0.001122	0.000588	-2521485.244
400	2	11	0.001092	0.000600	-2521520.752
500	2	11	0.001105	0.000563	-2521454.151
600	2	11	0.001126	0.000615	-2521738.351
700	2	11	0.001145	0.000608	-2521725.963
800	2	11	0.001150	0.000589	-2521785.184
900	2	11	0.001162	0.000607	-2521710.834
1000	2	11	0.001137	0.000580	-2521709.645
1100	2	11	0.001133	0.000597	-2521531.335
1200	2	11	0.001155	0.000594	-2521447.904
1300	2	11	0.001140	0.000608	-2521500.110
1400	2	11	0.001150	0.000615	-2521692.088
1500	2	11	0.001112	0.000560	-2521553.068
1600	2	11	0.001114	0.000601	-2521743.268
1700	2	11	0.001144	0.000582	-2521557.781
1800	2	11	0.001155	0.000612	-2521562.875
1900	2	11	0.001148	0.000573	-2521654.262
2000	2	11	0.001156	0.000604	-2521791.491
2100	2	11	0.001132	0.000598	-2521684.170
2200	2	11	0.001126	0.000577	-2521584.537
2300	2	11	0.001132	0.000630	-2521600.419
2400	2	11	0.001136	0.000600	-2521491.826
2500	2	11	0.001128	0.000609	-2521531.291
2600	2	11	0.001138	0.000600	-2521508.966
2700	2	11	0.001124	0.000599	-2521542.911
2800	2	11	0.001118	0.000624	-2521645.145
2900	2	11	0.001144	0.000591	-2521447.754
3000	2	11	0.001109	0.000603	-2521562.348
3100	2	11	0.001124	0.000617	-2521618.376
3200	2	11	0.001124	0.000598	-2521555.342
3300	2	11	0.001118	0.000584	-2521457.164
3400	2	11	0.001149	0.000591	-2521574.595
3500	2	11	0.001124	0.000579	-2521563.959
3600	2	11	0.001131	0.000596	-2521472.254
3700	2	11	0.001132	0.000598	-2521403.249
3800	2	11	0.001161	0.000630	-2521654.441
3900	2	11	0.001186	0.000627	-2521635.265
4000	2	11	0.001131	0.000568	-2521430.176
4100	2	11	0.001142	0.000593	-2521470.359
4200	2	11	0.001172	0.000607	-2521638.078
4300	2	11	0.001132	0.000579	-2521527.204
4400	2	11	0.001141	0.000585	-2521547.626
4500	2	11	0.001166	0.000612	-2521664.772
4600	2	11	0.001156	0.000605	-2521584.696
4700	2	11	0.001142	0.000573	-2521596.857
4800	2	11	0.001138	0.000609	-2521740.837
4900	2	11	0.001130	0.000617	-2521763.499
5000	2	11	0.001110	0.000587	-2521499.469
5100	2	11	0.001137	0.000596	-2521666.532
5200	2	11	0.001118	0.000601	-2521466.917
5300	2	11	0.001132	0.000576	-2521477.252
5400	2	11	0.001109	0.000612	-2521612.260
5500	2	11	0.001110	0.000560	-2521452.238
5600	2	11	0.001120	0.000591	-2521348.600
5700	2	11	0.001124	0.000592	-2521478.300
5800	2	11	0.001114	0.000609	-2521454.161
5900	2	11	0.001114	0.000603	-2521591.348
6000	2	11	0.001142	0.000608	-2521431.777
6100	2	11	0.001142	0.000598	-2521472.263
6200	2	11	0.001163	0.000605	-2521517.790
6300	2	11	0.001092	0.000586	-2521182.353
6400	2	11	0.001139	0.000595	-2521493.611
6500	2	11	0.001124	0.000605	-2521740.681
6600	2	11	0.001115	0.000580	-2521325.624
6700	2	11	0.001150	0.000579	-2521554.837
6800	2	11	0.001118	0.000588	-2521514.461
6900	2	11	0.001146	0.000600	-2521542.959
7000	2	11	0.001157	0.000593	-2521644.061
7100	2	11	0.001148	0.000615	-2521629.894
7200	2	11	0.001125	0.000608	-2521623.899
7300	2	11	0.001139	0.000598	-2521544.990
7400	2	11	0.001162	0.000610	-2521479.174
7500	2	11	0.001164	0.000606	-2521607.027
7600	2	11	0.001156	0.000597	-2521606.234
7700	2	11	0.001190	0.000590	-2521671.220
7800	2	11	0.001142	0.000613	-2521574.861
7900	2	11	0.001112	0.000585	-2521259.148
8000	2	11	0.001151	0.000575	-2521422.139
8100	2	11	0.001145	0.000589	-2521560.401
8200	2	11	0.001147	0.000604	-2521636.692
8300	2	11	0.001140	0.000609	-2521419.371
8400	2	11	0.001149	0.000604	-2521609.308
8500	2	11	0.001160	0.000584	-2521599.326
8600	2	11	0.001118	0.000595	-2521531.019
8700	2	11	0.001112	0.000613	-2521638.150
8800	2	11	0.001101	0.000603	-2521443.517
8900	2	11	0.001110	0.000610	-2521419.454
9000	2	11	0.001143	0.000584	-2521714.846
9100	2	11	0.001112	0.000593	-2521571.291
9200	2	11	0.001090	0.000564	-2521283.590
9300	2	11	0.001095	0.000570	-2521241.223
9400	2	11	0.001116	0.000577	-2521265.054
9500	2	11	0.001128	0.000575	-2521350.501
9600	2	11	0.001121	0.000587	-2521366.090
9700	2	11	0.001106	0.000556	-2521495.484
9800	2	11	0.001122	0.000618	-2521470.217
9900	2	11	0.001149	0.000599	-2521400.824
10000	2	11	0.001135	0.000586	-2521566.080
10100	2	11	0.001125	0.000591	-2521728.214
10200	2	11	0.001125	0.000600	-2521509.793
10300	2	11	0.001145	0.000574	-2521537.954
10400	2	11	0.001149	0.000616	-2521644.373
10500	2	11	0.001127	0.000602	-2521547.289
10600	2	11	0.001134	0.000601	-2521397.650
10700	2	11	0.001123	0.000564	-2521351.025
10800	2	11	0.001124	0.000612	-2521546.881
10900	2	11	0.001142	0.000624	-2521557.899
11000	2	11	0.001083	0.000590	-2521528.164
11100	2	11	0.001131	0.000596	-2521562.255
