species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. carletoni,D31_2011,43.43,101,50,85,183,252,92,72,1355,310,183,127,265,239,265,233,1417,272,31,74,750,122,750,125,PL1_Pool1_D31_C_23
E. carletoni,D32_2011,45.18,98,101,105,183,252,92,72,1355,310,183,127,265,239,265,233,1417,272,31,74,750,122,750,125,PL1_Pool1_D32_A_22
E. carletoni,D34_2011,48.69,99,114,95,159,249,93,72,1387,307,178,129,262,236,262,229,1410,269,30,75,750,120,750,123,PL1_Pool3_32_D34_2011
E. carletoni,D36_2011,43.31,105,167,90,150,253,92,72,1347,310,183,127,266,240,266,233,1416,272,31,74,751,121,751,125,PL1_Pool2_7_D36_2011
E. carletoni,E22_2011,43.52,109,168,60,391,239,94,72,1453,298,169,129,253,225,253,218,1398,257,31,72,725,126,725,130,PL1_Pool1_E22_E_5
E. carletoni,E28_2011,42.46,110,50,99,360,233,96,72,1478,293,161,132,248,219,248,212,1389,253,30,73,725,122,725,127,PL1_PoolX_E28_2011
E. carletoni,E63_2011,38.59,85,149,50,121,254,91,72,1340,311,185,126,267,241,267,234,1403,267,31,75,747,120,747,124,PL1_Pool1_E63_D_15
E. carletoni,E64_2011,42.2,105,175,99.5,241,247,93,72,1344,305,177,128,260,234,260,228,1397,265,29,76,749,116,749,120,PL1_Pool1_E64_E_1
E. carletoni,F09_2011,43.46,100,170,105,132,256,100,71,1244,319,179,140,266,237,267,237,1530,339,20,94,918,76,673,84,PL1_Pool2_28_F09_2011
E. carletoni,F114_2012,40.62,115,146,100,62,266,97,70,1146,328,190,138,274,250,275,248,1677,432,14,109,1107,47,780,53,PL1_Pool1_F114_D_1
E. carletoni,F116_2012,41.11,110,103,90,37,266,97,69,1178,329,190,139,274,249,276,248,1688,434,15,108,1114,48,784,53,PL1_Pool1_F116_C_37
E. carletoni,F117_2012,41.38,110,168,100,130,260,99,70,1200,323,183,140,268,243,270,242,1668,426,14,108,1098,46,777,51,PL1_Pool2_8_F117_2012
E. carletoni,F126_2012,40.69,98,159,80,52,264,98,69,1202,327,186,141,272,247,274,245,1693,435,14,108,1118,46,790,51,PL1_Pool1_F126_B_14
E. carletoni,F127_2012,40.52,103,122,80,71,266,97,69,1159,329,190,139,273,250,276,249,1693,436,15,108,1118,48,787,53,PL1_PoolX_F127_2012
E. carletoni,F128_2012,39.41,100,153,80,71,266,97,69,1159,329,190,139,273,250,276,249,1693,436,15,108,1118,48,787,53,PL1_PoolX_F128_2012
E. carletoni,F131_2012,35.69,80,134,40,50,267,98,69,1188,331,189,142,273,250,277,249,1714,441,15,109,1132,47,389,52,PL1_Pool1_F131_A_4
E. carletoni,F149_2012,42.6,115,144,130,150,258,97,70,1216,319,182,137,267,240,267,239,1574,401,14,107,1028,50,729,55,PL1_Pool2_F149_D_5
E. carletoni,F150_2012,42.08,115,178,100,154,258,96,70,1223,319,182,137,267,240,268,239,1565,398,14,107,1021,51,724,56,PL1_Pool1_45_F150_2012
E. carletoni,F16_2012,39.58,80,143,60,110,261,99,70,1203,324,183,141,269,244,271,243,1641,417,14,108,1075,48,762,53,PL1_Pool2_F16_C_14
E. carletoni,F19_2012,43.13,112,75,110,110,261,99,70,1203,324,183,141,269,244,271,243,1641,417,14,108,1075,48,762,53,PL1_Pool1_11_F19_2012
E. carletoni,F20_2012,42.55,103,177,105,118,260,100,70,1195,324,182,142,268,243,270,242,1645,417,14,107,1076,48,764,53,PL1_Pool2_F20_A_29
E. carletoni,F24_2012,41.89,78,142,60,127,260,99,69,1202,324,182,142,268,242,270,242,1628,412,14,107,1063,49,755,54,PL1_Pool1_37_F24_2012
E. carletoni,F26_2012,39.72,98,176,85,127,260,99,69,1202,324,182,142,268,242,270,242,1628,412,14,107,1063,49,755,54,PL1_Pool1_8_F26_2012
E. carletoni,F31_2011,42.03,102,163,100,132,256,100,71,1244,319,179,140,266,237,267,237,1530,339,20,94,918,76,673,84,PL1_Pool1_F31_C_2
E. carletoni,F38_2012,40.25,99,160,110,115,261,99,70,1208,325,184,141,269,243,271,242,1631,414,14,108,1067,49,756,54,PL1_Pool2_F38_D_34
E. carletoni,F40_2012,41.23,104,180,125,108,262,100,70,1196,326,184,142,269,244,272,244,1664,423,14,108,1092,47,773,52,PL1_PoolX_F40_2012
E. carletoni,F48_2012,41.06,97,150,80,115,261,99,70,1208,325,184,141,269,243,271,242,1631,414,14,108,1067,49,756,54,PL1_Pool2_22_F48_2012
E. carletoni,F49_2012,44.44,93,155,90,115,261,99,70,1208,325,184,141,269,243,271,242,1631,414,14,108,1067,49,756,54,PL1_Pool1_41_F49_2012
E. carletoni,F52_2012,40.95,92,172,100,111,261,99,69,1195,325,183,142,268,243,271,243,1635,415,14,107,1070,48,759,53,PL1_Pool1_35_F52_2012
E. carletoni,F53_2011,39.7,95,163,60,139,257,100,71,1277,320,180,140,267,238,268,238,1535,340,20,94,920,77,674,86,PL1_Pool1_F53_C_20
E. carletoni,F54_2011,40.64,105,186,90,139,257,100,71,1277,320,180,140,267,238,268,238,1535,340,20,94,920,77,674,86,PL1_Pool1_F54_A_4
E. carletoni,F57_2011,40.01,109,178,90,132,256,100,71,1244,319,179,140,266,237,267,237,1530,339,20,94,918,76,673,84,PL1_Pool3_27_F57_2011
E. carletoni,F59_2012,36.73,77,145,55,126,260,98,70,1197,323,183,140,268,243,270,242,1619,412,14,108,1060,49,751,54,PL1_Pool1_F59_A_24
E. carletoni,F71_2011,43.92,102,163,99.5,135,256,98,71,1252,318,180,138,267,237,267,237,1510,329,21,92,895,82,657,82,PL1_PoolX_F71_2011
E. carletoni,F71_2012,41.45,110,180,100,82,266,97,69,1193,328,189,139,273,248,275,248,1669,429,14,108,1100,48,775,54,PL1_Pool1_F71_B_18
E. carletoni,F77_2012,41.63,96,174,80,138,264,97,69,1184,327,188,139,272,247,274,247,1657,426,14,108,1092,48,770,54,PL1_Pool1_20_F77_2012
E. carletoni,F81_2012,41.54,99,173,85,82,266,97,69,1193,328,189,139,273,248,275,248,1669,429,14,108,1100,48,775,54,PL1_Pool1_38_F81_2012
E. carletoni,F82_2012,42.34,105,166,80,82,266,97,69,1193,328,189,139,273,248,275,248,1669,429,14,108,1100,48,775,54,PL1_Pool2_F82_C_36
E. carletoni,F96_2012,39.98,100,152,80,71,266,97,69,1159,329,190,139,273,250,276,249,1693,436,15,108,1118,48,787,53,PL1_Pool2_36_F96_2012
E. carletoni,G20_2011,48.01,117,175,105,165,254,99,70,1291,317,177,140,264,235,265,235,1508,327,21,91,892,81,657,81,PL1_Pool2_24_G20_2011
E. carletoni,H02_2011,42.43,97,176,70,110,256,95,72,1287,315,184,131,267,237,267,237,1447,297,25,84,821,100,608,100,PL1_Pool2_24_H02_2011
E. carletoni,H07_2011,36.38,85,144,55,175,255,95,71,1300,314,182,132,266,236,266,236,1443,295,26,83,815,102,605,102,PL1_Pool1_H07_A_24
E. carletoni,H9_2012,43.98,110,189,100,195,254,97,71,1208,316,180,136,263,237,265,236,1554,392,14,106,1009,52,717,57,PL1_Pool1_1_H09_2012
E. carletoni,H10_2012,40.28,100,152,80,150,258,97,70,1216,319,182,137,267,240,267,239,1574,401,14,107,1028,50,729,55,PL1_Pool2_12_H10_2012
E. carletoni,H11_2012,40.77,115,154,100,156,258,97,70,1219,320,182,138,267,240,268,239,1570,399,14,107,1024,51,726,56,PL1_PoolX_H11_2012
E. carletoni,H18_2012,41.4,107,23,110,152,259,97,70,1211,321,184,137,268,242,269,241,1596,407,14,107,1045,49,740,54,PL1_Pool3_10_H18_2012
E. carletoni,H20_2012,41.83,110,183,110,152,259,97,70,1211,321,184,137,268,242,269,241,1596,407,14,107,1045,49,740,54,PL1_Pool1_14_H20_2012
E. carletoni,H23_2011,44.49,88,174,95,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_Pool1_H23_A_51
E. carletoni,H28_2012,43.6,110,185,100,248,251,97,71,1236,313,177,136,261,233,262,233,1531,385,14,106,990,53,706,58,PL1_Pool2_H28_B_5
E. carletoni,H30_2012,42.3,120,190,90,300,247,98,71,1231,309,172,137,258,229,258,229,1519,378,14,105,976,54,976,58,PL1_Pool1_H30_E_5
E. carletoni,H35_2012,42.44,110,180,90,206,252,98,71,1222,314,176,138,261,234,262,233,1554,390,14,106,1005,52,718,57,PL1_Pool2_46_H35_2012
E. carletoni,H37_2011,44.34,112,170,110,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H37_D_6
E. carletoni,H39_2011,43,94,123,80,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H39_C_13
E. carletoni,H39_2012,42.98,117,172,100,282,249,98,72,1226,310,174,136,258,231,259,230,1520,380,14,105,979,53,703,57,PL1_Pool1_45_H39_2012
E. carletoni,H41_2012,42.63,120,199,120,335,244,98,71,1275,306,169,137,254,225,255,225,1505,372,14,104,962,54,693,58,PL1_Pool1_H41_B_1
E. carletoni,H43_2012,44.09,120,190,130,210,252,97,71,1213,314,178,136,262,235,263,234,1541,389,14,106,999,52,712,57,PL1_Pool2_H43_C_28
E. carletoni,H48_2011,42.87,92,168,85,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_Pool1_H48_C_37
E. carletoni,H51_2011,44.6,102,181,105,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_Pool2_16_H51_2011
E. carletoni,H61_2011,41.4,107,144,100,571,230,102,72,1455,294,154,140,244,209,244,209,1425,283,22,84,803,93,778,93,PL1_Pool1_H61_D_33
E. carletoni,H7_2012,43.93,110,175,90,195,254,97,71,1208,316,180,136,263,237,265,236,1554,392,14,106,1009,52,717,57,PL1_PoolX_H7_2012
E. carletoni,I9_2015,40.67,84,142,70,856,213,116,71,1703,288,126,162,229,189,229,188,1482,299,18,90,854,67,838,78,PL1_Pool2_33_I09_2015
E. carletoni,I22_2011,47.73,103,179,95,111,256,95,72,1298,315,184,131,267,237,267,237,1453,300,25,85,827,99,612,99,PL1_Pool3_24_I22_2011
E. carletoni,I47_2011,40.76,82,149,80,110,256,95,72,1287,315,184,131,267,237,267,237,1447,297,25,84,821,100,608,100,PL1_Pool1_I47_E_13
E. carletoni,I49_2011,47.7,89,178,95,210,250,96,72,1349,310,177,133,263,230,263,230,1441,294,25,84,818,99,818,99,PL1_Pool2_45_I49_2011
E. carletoni,J11_2011,46.5,89,165,70,174,249,91,72,1415,306,180,126,262,235,262,228,1407,263,33,69,716,133,716,139,PL1_Pool1_J11_B_12
E. carletoni,J23_2011,40.17,94,158,60,174,249,91,72,1415,306,180,126,262,235,262,228,1407,263,33,69,716,133,716,139,PL1_Pool1_J23_D_40
E. carletoni,J24_2011,40.31,93,150,60,174,249,91,72,1415,306,180,126,262,235,262,228,1407,263,33,69,716,133,716,139,PL1_Pool1_J24_B_13
E. carletoni,J25_2011,40.82,90,164,60,294,240,94,72,1487,300,170,130,255,226,255,219,1394,256,31,71,719,127,719,132,PL1_Pool1_J25_B_14
E. carletoni,J28_2011,40.48,81,138,60,174,249,91,72,1415,306,180,126,262,235,262,228,1407,263,33,69,716,133,716,139,PL1_Pool1_J28_B_15
E. carletoni,J29_2011,43.71,97,153,75,174,249,91,72,1415,306,180,126,262,235,262,228,1407,263,33,69,716,133,716,139,PL1_PoolX_J29_2011
E. carletoni,J30_2011,46.69,102,178,100,294,240,94,72,1487,300,170,130,255,226,255,219,1394,256,31,71,719,127,719,132,PL1_PoolX_J30_2011
E. carletoni,J31_2011,49.9,89,104,85,294,240,94,72,1487,300,170,130,255,226,255,219,1394,256,31,71,719,127,719,132,PL1_PoolX_J31_2011
E. carletoni,J32_2011,46.61,102,180,100,294,240,94,72,1487,300,170,130,255,226,255,219,1394,256,31,71,719,127,719,132,PL1_Pool2_22_J32_2011
E. carletoni,J56_2011,44.46,120,70,140,472,235,100,72,1478,297,159,138,249,213,249,213,1427,277,25,81,789,103,789,103,PL1_Pool1_J56_B_18
E. carletoni,K06_2011,43.77,115,118,100,210,250,96,72,1349,310,177,133,263,230,263,230,1441,294,25,84,818,99,818,99,PL1_Pool1_30_K06_2011
E. carletoni,K27_2011,45.76,97,198,90,270,244,94,72,1396,303,173,130,258,231,258,224,1403,265,30,75,743,120,743,124,PL1_PoolX_K27_2011
E. carletoni,K28_2011,40.37,83,155,60,270,244,94,72,1396,303,173,130,258,231,258,224,1403,265,30,75,743,120,743,124,PL1_PoolX_K28_2011
E. carletoni,K35_2011,40.73,117,175,80,138,255,95,72,1305,314,183,131,267,236,267,236,1448,297,25,84,821,100,821,110,PL1_PoolX_K35_2011
E. carletoni,K42_2011,44.51,110,165,100,439,230,100,72,1503,292,154,138,244,216,244,208,1413,267,26,79,768,108,768,121,PL1_Pool2_K42_2011_A_10
E. carletoni,K43_2011,42.06,87,162,70,439,230,100,72,1503,292,154,138,244,216,244,208,1413,267,26,79,768,108,768,121,PL1_PoolX_K43_2011
E. carletoni,P20_2012,56.4,110,163,90,88,259,91,71,1250,316,189,127,270,247,270,240,1373,317,21,93,826,82,826,84,PL1_Pool3_7_P20_2012
E. carletoni,P22_2012,31.87,84,110,60,101,257,91,72,1222,315,189,126,268,246,268,239,1361,316,20,93,821,80,821,83,PL1_Pool1_P22_D_37
E. carletoni,P25_2012,45.4,89,145,105,88,259,91,71,1250,316,189,127,270,247,270,240,1373,317,21,93,826,82,826,84,PL1_Pool2_P25_B_4
E. carletoni,P27_2012,40.5,103,163,110,109,260,91,71,1232,318,191,127,272,249,272,242,1380,321,21,93,835,81,835,83,PL1_Pool2_6_P27_2012
E. carletoni,P36_2012,46.83,96,115,95,109,260,91,71,1232,318,191,127,272,249,272,242,1380,321,21,93,835,81,835,83,PL1_Pool1_P36_A_17
E. carletoni,P42_2012,50.98,96,65,140,109,260,91,71,1232,318,191,127,272,249,272,242,1380,321,21,93,835,81,835,83,PL1_Pool1_P42_D_3
E. carletoni,P66_2012,42.41,105,130,85,144,256,90,70,1237,314,187,127,267,244,267,238,1340,314,20,94,812,78,812,82,PL1_Pool3_39_P66_2012
E. carletoni,P70_2012,42.81,110,291,120,77,260,89,70,1270,318,192,126,272,248,272,242,1342,318,20,95,817,78,817,81,PL1_Pool1_P70_C_20
E. carletoni,P8_2012,42.38,85,173,95,109,260,91,71,1232,318,191,127,272,249,272,242,1380,321,21,93,835,81,835,83,PL1_PoolX_P8_2012
E. minor,F10_2015,35.29,70,140,40,1011,203,113,72,1756,275,120,155,221,178,221,178,1454,271,26,79,775,105,767,105,PL1_Pool2_F10_E_11
E. minor,F14_2015,33.5,80,130,36,997,203,113,72,1796,275,119,156,221,178,221,178,1455,273,25,80,779,102,771,102,PL1_Pool2_F14_C_19
E. minor,F23_2015,35.05,74,20,40,988,204,113,72,1758,277,121,156,222,180,222,180,1454,272,25,79,778,103,768,103,PL1_Pool2_F23_D_4
E. minor,F24_2015,40.93,80,35,50,988,204,113,72,1758,277,121,156,222,180,222,180,1454,272,25,79,778,103,768,103,PL1_Pool2_F24_D_19
E. minor,F13_2015,31.55,80,140,39,1018,200,114,72,1835,273,116,157,218,174,219,174,1452,272,25,79,775,102,770,102,PL1_PoolX_F13_2015
E. minor,B72_2014,35.44,63,110,40,1075,200,120,71,1960,279,111,168,220,173,220,173,1496,286,24,82,811,96,811,96,PL1_Pool1_B72_A_52
E. minor,B78_2014,35.14,84,136,50,1098,199,120,71,1948,278,110,168,220,172,220,172,1494,286,24,82,812,94,812,109,PL1_Pool2_B78_B_6
E. minor,B92_2014,33.89,79,140,50,1148,196,122,72,1928,275,107,168,217,169,217,169,1489,286,24,82,813,93,813,93,PL1_Pool2_B92_E_27
E. minor,B91_2014,35.02,75,139,50,1148,196,122,72,1928,275,107,168,217,169,217,169,1489,286,24,82,813,93,813,93,PL1_PoolX_B91_2014
E. minor,BK159_2018,33.23,61,127,38,1085,202,127,70,2046,286,107,179,222,173,222,173,1525,305,21,87,863,80,863,94,PL1_Pool2_10_BK159_2018
E. minor,BK155_2018,32.05,67,115,33,1085,202,127,70,2046,286,107,179,222,173,222,173,1525,305,21,87,863,80,863,94,PL1_Pool3_14_BK155_2018
E. minor,BK166_2018,34.49,87,111,40,938,208,125,71,2008,291,115,176,228,180,228,180,1550,309,22,86,869,85,869,85,PL1_Pool3_48_BK166_2018
E. minor,BK143_2018,33.18,76,128,34,990,206,126,70,2014,290,112,178,226,177,226,177,1545,309,22,87,870,83,870,83,PL1_Pool3_6_BK143_2018
E. minor,A36_2014,36.17,82,120,50,1298,187,117,72,1889,263,102,161,207,160,207,160,1462,275,26,80,781,103,781,103,PL1_Pool1_A36_D_17
E. minor,E30_2014,31.05,71,110,30,930,206,112,72,1821,278,123,155,224,189,225,180,1478,269,29,76,770,118,762,119,PL1_Pool1_E30_A_22
E. minor,E32_2014,34.53,75,135,45,1025,205,113,72,1823,278,122,156,224,179,224,179,1469,271,27,77,774,111,767,111,PL1_Pool1_30_E32_2014
E. minor,E17_2014,34.34,80,136,50,991,204,113,72,1807,277,121,156,223,179,223,179,1473,271,27,77,774,113,768,113,PL1_Pool2_41_E17_2014
E. minor,E25_2014,36.51,74,41,50,1025,205,113,72,1823,278,122,156,224,179,224,179,1469,271,27,77,774,111,767,111,PL1_Pool3_12_E25_2014
E. minor,A34_2014,33.05,58,140,50,1240,189,117,72,1898,265,104,161,209,163,209,163,1460,275,25,80,780,102,780,102,PL1_PoolX_A34_2014
E. minor,A46_2014,36.14,70,141,50,1222,192,118,72,1914,269,106,163,213,165,213,165,1468,276,26,80,784,103,784,103,PL1_PoolX_A46_2014
E. minor,E24_2014,35.99,68,130,40,1044,202,114,73,1811,275,119,156,220,176,221,176,1468,271,27,77,772,111,767,111,PL1_PoolX_E24_2014
E. minor,F42_2015,37.7,90,140,50,962,207,111,72,1701,278,125,153,223,182,224,182,1446,273,24,81,783,99,770,99,PL1_Pool1_F42_D_6
E. minor,F54_2015,34.53,87,78,38,1049,202,112,72,1731,274,120,154,219,177,220,177,1440,273,24,81,778,98,769,98,PL1_Pool1_F54_C_24
E. minor,F55_2015,34.35,70,127,44,1049,202,112,72,1731,274,120,154,219,177,220,177,1440,273,24,81,778,98,769,98,PL1_Pool1_F55_C_21
E. minor,F37_2015,34.06,67,129,40,1049,202,112,72,1731,274,120,154,219,177,220,177,1440,273,24,81,778,98,769,98,PL1_Pool2_F37_D_20
E. minor,F43_2015,32.41,80,125,60,962,207,111,72,1701,278,125,153,223,182,224,182,1446,273,24,81,783,99,770,99,PL1_Pool2_F43_D_7
E. minor,BK78_2018,30.21,61,95,20,1032,199,116,70,2058,277,113,164,221,178,221,169,1591,287,37,71,808,145,808,151,PL1_Pool2_9_BK78_2018
E. minor,BK111_2018,35.74,72,117,41,942,206,121,70,2068,286,115,171,228,177,228,177,1575,303,28,80,851,111,851,111,PL1_Pool3_35_BK111_2018
E. minor,B73_2014,33.35,65,124,40,1075,200,120,71,1960,279,111,168,220,173,220,173,1496,286,24,82,811,96,811,96,PL1_Pool1_24_B73_2014
E. minor,F63_2015,34.73,80,125,45,988,204,112,72,1756,276,122,154,222,180,222,180,1439,274,24,82,782,97,771,97,PL1_Pool1_45_F63_2015
E. minor,F62_2015,34.59,82,123,42,1023,203,112,72,1719,275,121,154,219,178,220,178,1439,274,24,82,781,97,771,97,PL1_Pool1_27_F62_2015
E. minor,B24_2014,33.67,76,134,40,918,208,118,72,1859,284,121,163,226,182,227,182,1507,286,25,81,812,100,808,100,PL1_Pool2_20_B24_2014
E. minor,E18_2014,30.79,68,119,50,991,204,113,72,1807,277,121,156,223,179,223,179,1473,271,27,77,774,113,768,113,PL1_Pool3_22_E18_2014
E. minor,BK99_2018,32,63,127,25,953,207,122,71,2043,286,116,170,227,177,227,177,1575,304,28,80,853,109,853,109,PL1_Pool3_24_BK99_2018
E. minor,BK133_2018,31.5,65,105,36,1344,182,129,71,2056,269,89,180,204,154,204,154,1478,297,21,87,841,77,841,77,PL1_Pool3_45_BK133_2018
E. minor,BK157_2018,38.99,61,122,38,1085,202,127,70,2046,286,107,179,222,173,222,173,1525,305,21,87,863,80,863,94,PL1_Pool3_25_BK157_2018
E. minor,BK114_2018,34.67,75,128,35,1127,197,125,71,2079,279,105,174,218,167,218,167,1536,297,26,81,840,101,840,101,PL1_Pool3_46_BK114_2018
E. minor,BK163_2018,35.98,70,128,40,1238,193,129,71,2065,279,98,181,214,164,214,163,1498,299,21,87,849,78,849,91,PL1_Pool3_48_BK163_2018
E. ellermani,F9_2015,43.08,105,172,90,1018,200,114,72,1835,273,116,157,218,174,219,174,1452,272,25,79,775,102,770,102,PL1_PoolX_F9_2015
E. ellermani,B25_2014,40.9,98,176,100,918,208,118,72,1859,284,121,163,226,182,227,182,1507,286,25,81,812,100,808,100,PL1_Pool3_24_B25_2014
E. ellermani,G52_2015,47.52,103,147,90,1084,200,111,73,1675,271,119,152,217,176,217,176,1421,281,21,85,793,85,783,85,PL1_Pool2_G52_2015_E_12
E. ellermani,G45_2015,46.07,110,167,80,933,208,109,72,1635,277,127,150,224,185,224,185,1428,284,20,86,806,82,791,93,PL1_Pool1_10_G45_2015
E. ellermani,H22_2011,45.95,102,177,100,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H22_D_37
E. ellermani,H38_2011,43.6,100,186,80,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H38_D_17
E. ellermani,H41_2011,37,68,143,40,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H41_D_10
E. ellermani,H79_2011,38.22,68,146,60,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_33_H79_2011
E. ellermani,H62_2011,45.08,102,112,90,571,230,102,72,1455,294,154,140,244,209,244,209,1425,283,22,84,803,93,778,93,PL1_Pool2_34_H62_2011
E. ellermani,H71_2011,41.05,102,186,93,571,230,102,72,1455,294,154,140,244,209,244,209,1425,283,22,84,803,93,778,93,PL1_Pool2_36_H71_2011
E. ellermani,H21_2011,41.71,92,175,90,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_PoolX_H21_2011
E. ellermani,H42_2011,42.03,96,176,90,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_PoolX_H42_2011
E. ellermani,C84_2013,47.87,103,172,75,605,231,95,70,1622,294,160,134,248,215,248,209,1443,236,39,60,685,164,657,172,PL1_Pool1_35_C84_2013
E. ellermani,K55_2011,35.24,72,123,35,767,217,104,72,1584,283,140,143,233,203,233,195,1410,270,24,81,774,99,751,100,PL1_Pool2_K55_2011_B_6
E. ellermani,K71_2011,44.27,98,168,73,767,217,104,72,1584,283,140,143,233,203,233,195,1410,270,24,81,774,99,751,100,PL1_Pool1_48_K71_2011
E. ellermani,BF61_2017,41.78,95,178,82,841,214,105,73,1565,281,138,143,230,199,230,192,1405,272,23,82,775,96,754,97,PL1_Pool1_24_BF61_2017
E. ellermani,BF41_2017,42.61,81,172,80,767,217,104,72,1584,283,140,143,233,203,233,195,1410,270,24,81,774,99,751,100,PL1_Pool1_46_BF41_2017
E. ellermani,BF73_2017,43.41,104,179,90,859,211,106,73,1597,278,134,144,228,189,228,189,1405,271,23,81,772,97,752,97,PL1_Pool2_6_BF73_2017
E. ellermani,G30_2015,45.38,101,150,110,812,214,108,73,1647,282,135,147,231,191,231,191,1436,271,24,80,781,101,760,101,PL1_Pool1_12_G30_2015
E. ellermani,BD44_2017,41.51,91,161,60,938,210,96,74,1383,270,141,129,224,197,224,190,1345,313,15,96,815,62,815,68,PL1_Pool2_29_BD44_2017
E. ellermani,BC74_2017,41.52,90,169,60,1118,200,97,74,1410,261,131,130,214,186,214,180,1352,307,16,95,807,65,807,70,PL1_Pool3_33_BC74_2017
E. ellermani,G9_2015,45.78,93,190,95,818,213,109,73,1647,282,133,149,229,190,230,190,1433,272,24,81,782,99,762,99,PL1_PoolX_G9_2015
E. ellermani,BF47_2017,42.06,95,147,77,913,209,106,74,1577,275,132,143,225,194,225,186,1399,271,23,82,769,96,751,97,PL1_Pool1_36_BF47_2017
E. ellermani,C64_2013,43.05,115,166,60,409,232,94,70,1611,294,161,133,249,216,249,209,1444,234,40,59,679,168,650,176,PL1_Pool2_25_C64_2013
E. ellermani,BK146_2018,46.59,91,154,86,926,209,125,71,2014,292,116,176,230,181,230,181,1558,311,23,86,873,86,873,86,PL1_Pool2_35_BK146_2018
Eliurus sp. nova,BD29_2017,35.94,75,142,40,923,210,95,74,1323,269,142,127,224,198,224,191,1344,314,15,97,817,61,817,68,PL1_Pool1_27_BD29_2017
Eliurus sp. nova,BC51_2017,34.16,85,141,35,1050,204,96,73,1375,264,134,130,218,190,218,184,1351,309,16,95,810,65,810,70,PL1_Pool3_32_BC51_2017
Eliurus sp. nova,BE35_2017,34.95,84,135,40,1002,205,99,73,1432,267,133,134,219,192,219,184,1383,313,16,95,828,65,828,75,PL1_Pool1_36_BE35_2017
Eliurus sp. nova,BG72_2017,34.92,76,143,41,946,209,99,72,1412,272,136,136,223,197,223,189,1392,319,15,96,842,62,842,72,PL1_Pool2_11_BG72_2017
Eliurus sp. nova,BD68_2017,35.84,73,134,32,1006,205,99,73,1420,267,133,134,218,191,218,184,1378,313,16,96,826,65,826,68,PL1_Pool2_46_BD68_2017
Eliurus sp. nova,BG77_2017,35.38,78,143,40,812,216,99,73,1403,278,144,134,230,203,230,196,1405,328,14,98,861,60,861,62,PL1_Pool3_34_BG77_2017
Eliurus sp. nova,BH10_2017,33.44,79,89,37,903,211,99,72,1403,274,138,136,225,198,225,191,1397,322,15,97,849,61,849,70,PL1_Pool3_45_BH10_2017
Eliurus sp. nova,BG61_2017,36.53,83,150,43,930,210,99,73,1404,273,138,135,224,196,224,190,1396,320,15,97,845,62,845,65,PL1_Pool3_8_BG61_2017
Eliurus sp. nova,BC53_2017,33.66,78,47,42,1019,205,96,74,1383,265,136,129,219,191,219,185,1347,310,15,96,811,63,811,69,PL1_Pool1_5_BC53_2017
Eliurus sp. nova,BD27_2017,40.4,65,109,60,991,206,96,74,1359,266,137,129,220,193,220,187,1347,311,15,96,813,62,813,68,PL1_Pool2_12_BD27_2017
Eliurus sp. nova,BE9_2017,34.17,75,126,30,968,208,98,73,1384,270,137,133,222,196,222,188,1375,315,15,96,830,63,830,74,PL1_Pool3_14_BE9_2017
Eliurus sp. nova,BD63_2017,35.23,82,147,42,1057,203,99,73,1436,265,131,134,217,189,217,182,1371,311,16,95,820,65,820,69,PL1_Pool3_38_BD63_2017
Eliurus sp. nova,BD65_2017,32.74,73,135,36,1006,205,99,73,1420,267,133,134,218,191,218,184,1378,313,16,96,826,65,826,68,PL1_Pool3_31_BD65_2017
