species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. myoxinus,C11_2013,37.13,75,120,50,376,235,93,70,1603,297,166,131,252,219,252,213,1445,234,41,57,672,173,644,181,PL1_Pool1_C11_D_1
E. myoxinus,C13_2013,36.34,90,104,55,579,224,98,71,1651,288,151,137,241,207,241,200,1435,234,38,62,687,157,662,166,PL1_Pool2_37_C13_2013
E. myoxinus,C28_2013,37.63,97,143,65,579,224,98,71,1651,288,151,137,241,207,241,200,1435,234,38,62,687,157,662,166,PL1_Pool1_33_C28_2013
E. myoxinus,C40_2013,37.72,86,113,50,409,232,94,70,1611,294,161,133,249,216,249,209,1444,234,40,59,679,168,650,176,PL1_Pool2_7_C40_2013
E. myoxinus,C58_2013,36.26,91,125,60,300,239,91,70,1566,300,171,129,256,223,256,217,1456,235,43,56,669,180,641,189,PL1_Pool2_C58_2013_C_14
E. myoxinus,C65_2013,39.36,97,140,75,292,237,92,70,1587,297,167,130,253,221,253,214,1451,237,41,58,677,173,648,181,PL1_Pool1_16_C65_2013
E. myoxinus,C71_2013,37.25,92,134,60,542,226,97,71,1640,289,154,135,243,210,243,203,1434,234,38,61,684,159,658,167,PL1_Pool2_C71_2013_C_36
E. myoxinus,C74_2013,38.39,91,168,75,512,227,97,71,1638,290,155,135,244,211,244,204,1442,236,38,61,689,160,663,167,PL1_Pool1_25_C74_2013
E. myoxinus,C81_2013,40.11,103,127,75,223,243,90,70,1592,302,175,127,260,227,260,221,1463,240,43,56,673,181,646,189,PL1_Pool2_C81_2013_D_8
E. myoxinus,C86_2013,40.18,87,144,60,533,229,96,71,1623,292,158,134,246,213,246,206,1442,236,39,61,687,162,660,170,PL1_Pool2_C86_2013_D_7
E. myoxinus,D25_2012,36.67,77,102,44,271,250,105,70,1256,318,169,149,259,232,261,231,1621,387,14,103,1028,51,750,57,PL1_Pool3_22_D25_2012
E. myoxinus,D37_2012,40.86,88,135,70,217,256,105,70,1234,324,174,150,264,238,267,238,1660,404,14,105,1062,49,767,55,PL1_Pool1_D37_D_15
E. myoxinus,D40_2012,37.7,84,133,75,247,251,105,70,1298,319,170,149,261,232,262,232,1628,389,14,103,1033,51,753,57,PL1_Pool1_16_D40_2012
E. myoxinus,D41_2012,35.64,74,140,65,451,238,105,71,1328,305,158,147,249,219,249,219,1549,356,15,99,963,56,714,62,PL1_Pool1_28_D41_2012
E. myoxinus,D56_2012,40.75,85,150,75,264,251,105,70,1258,319,170,149,261,233,262,232,1636,394,14,104,1042,49,759,55,PL1_Pool2_11_D56_2012
E. myoxinus,D57_2012,35.18,72,130,65,151,259,105,69,1237,328,176,152,266,241,270,240,1694,418,14,106,1095,46,786,52,PL1_Pool2_D57_A_28
E. myoxinus,D68_2012,43.93,98,152,75,448,239,105,71,1319,306,160,146,250,220,250,220,1544,355,15,100,960,56,711,62,PL1_Pool1_32_D68_2012
E. myoxinus,D70_2012,39.82,82,134,60,264,251,105,70,1258,319,170,149,261,233,262,232,1636,394,14,104,1042,49,759,55,PL1_PoolX_D70_2012
E. myoxinus,D74_2012,35.1,80,145,65,286,251,105,70,1271,318,169,149,260,232,262,232,1630,390,14,104,1035,50,755,56,PL1_Pool2_38_D74_2012
E. myoxinus,D75_2012,38.87,98,136,60,474,236,105,71,1351,304,157,147,247,217,248,216,1536,350,15,99,950,56,707,63,PL1_Pool1_D75_B_15
E. myoxinus,D79_2012,33.46,60,108,25,474,236,105,71,1351,304,157,147,247,217,248,216,1536,350,15,99,950,56,707,63,PL1_PoolX_D79_2012
E. myoxinus,E11_2014,40.53,70,132,50,937,206,112,72,1818,278,123,155,224,180,225,180,1473,270,28,77,773,114,764,114,PL1_Pool2_E11_D_8
E. myoxinus,F52_2015,41.81,99,100,80,976,204,111,72,1729,276,123,153,221,180,222,180,1437,271,24,81,776,99,764,99,PL1_Pool1_F52_B_13
E. myoxinus,F67_2015,46.67,105,140,70,988,204,112,72,1756,276,122,154,222,180,222,180,1439,274,24,82,782,97,771,97,PL1_Pool2_31_F67_2015
E. myoxinus,F70_2015,42.7,106,101,80,976,204,111,72,1729,276,123,153,221,180,222,180,1437,271,24,81,776,99,764,99,PL1_Pool1_F70_D_40
E. myoxinus,F78_2015,41.89,105,84,63,1026,202,112,72,1764,274,120,154,220,178,221,178,1440,272,24,80,777,99,767,99,PL1_Pool2_F78_B_9
E. myoxinus,F81_2015,40.43,82,142,67,1036,202,112,72,1756,274,120,154,220,178,220,178,1439,272,24,81,777,99,767,99,PL1_PoolX_F81_2015
E. myoxinus,F82_2015,40.99,84,135,65,1043,203,112,73,1713,274,121,153,219,178,220,178,1437,273,24,82,780,97,769,97,PL1_Pool2_38_F82_2015
