Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001138	0.000626	-2521599.222
200	2	11	0.001141	0.000581	-2521544.097
300	2	11	0.001142	0.000617	-2521603.279
400	2	11	0.001124	0.000589	-2521355.982
500	2	11	0.001141	0.000590	-2521493.829
600	2	11	0.001147	0.000614	-2521483.016
700	2	11	0.001131	0.000612	-2521387.796
800	2	11	0.001127	0.000626	-2521523.165
900	2	11	0.001096	0.000628	-2521524.408
1000	2	11	0.001121	0.000613	-2521491.579
1100	2	11	0.001134	0.000566	-2521392.929
1200	2	11	0.001170	0.000626	-2521553.982
1300	2	11	0.001173	0.000603	-2521725.190
1400	2	11	0.001162	0.000632	-2521863.449
1500	2	11	0.001164	0.000580	-2521546.043
1600	2	11	0.001147	0.000588	-2521502.826
1700	2	11	0.001140	0.000622	-2521685.656
1800	2	11	0.001118	0.000602	-2521562.870
1900	2	11	0.001173	0.000570	-2521479.456
2000	2	11	0.001160	0.000579	-2521576.517
2100	2	11	0.001169	0.000604	-2521610.354
2200	2	11	0.001158	0.000586	-2521616.913
2300	2	11	0.001168	0.000607	-2521622.304
2400	2	11	0.001158	0.000592	-2521678.055
2500	2	11	0.001141	0.000595	-2521490.853
2600	2	11	0.001137	0.000600	-2521381.658
2700	2	11	0.001170	0.000618	-2521763.454
2800	2	11	0.001156	0.000576	-2521467.258
2900	2	11	0.001127	0.000601	-2521484.106
3000	2	11	0.001158	0.000605	-2521477.442
3100	2	11	0.001118	0.000613	-2521460.246
3200	2	11	0.001141	0.000613	-2521518.220
3300	2	11	0.001151	0.000573	-2521626.105
3400	2	11	0.001176	0.000614	-2521593.017
3500	2	11	0.001163	0.000593	-2521457.322
3600	2	11	0.001102	0.000584	-2521419.747
3700	2	11	0.001122	0.000580	-2521354.265
3800	2	11	0.001121	0.000578	-2521367.581
3900	2	11	0.001113	0.000587	-2521284.674
4000	2	11	0.001113	0.000598	-2521439.166
4100	2	11	0.001137	0.000612	-2521507.695
4200	2	11	0.001146	0.000622	-2521669.055
4300	2	11	0.001105	0.000627	-2521609.085
4400	2	11	0.001127	0.000609	-2521491.075
4500	2	11	0.001143	0.000611	-2521532.717
4600	2	11	0.001148	0.000584	-2521474.961
4700	2	11	0.001120	0.000618	-2521540.788
4800	2	11	0.001135	0.000600	-2521435.382
4900	2	11	0.001142	0.000568	-2521625.102
5000	2	11	0.001129	0.000601	-2521341.618
5100	2	11	0.001143	0.000581	-2521607.788
5200	2	11	0.001135	0.000606	-2521464.601
5300	2	11	0.001128	0.000613	-2521390.749
5400	2	11	0.001119	0.000602	-2521389.622
5500	2	11	0.001101	0.000594	-2521517.510
5600	2	11	0.001121	0.000592	-2521483.316
5700	2	11	0.001119	0.000591	-2521500.792
5800	2	11	0.001116	0.000604	-2521439.123
5900	2	11	0.001088	0.000567	-2521284.696
6000	2	11	0.001107	0.000630	-2521396.891
6100	2	11	0.001113	0.000598	-2521390.906
6200	2	11	0.001093	0.000586	-2521408.252
6300	2	11	0.001106	0.000617	-2521358.769
6400	2	11	0.001142	0.000618	-2521649.342
6500	2	11	0.001111	0.000590	-2521421.915
6600	2	11	0.001118	0.000594	-2521264.969
6700	2	11	0.001146	0.000619	-2521464.297
6800	2	11	0.001153	0.000597	-2521464.276
6900	2	11	0.001133	0.000580	-2521376.445
7000	2	11	0.001135	0.000617	-2521267.400
7100	2	11	0.001104	0.000582	-2521540.216
7200	2	11	0.001120	0.000594	-2521495.492
7300	2	11	0.001127	0.000619	-2521608.999
7400	2	11	0.001094	0.000584	-2521240.320
7500	2	11	0.001136	0.000617	-2521540.668
7600	2	11	0.001112	0.000592	-2521449.922
7700	2	11	0.001135	0.000573	-2521428.430
7800	2	11	0.001122	0.000596	-2521377.312
7900	2	11	0.001100	0.000609	-2521396.046
8000	2	11	0.001091	0.000592	-2521377.489
8100	2	11	0.001099	0.000571	-2521207.687
8200	2	11	0.001095	0.000578	-2521395.240
8300	2	11	0.001130	0.000585	-2521350.465
8400	2	11	0.001146	0.000642	-2521426.811
8500	2	11	0.001162	0.000588	-2521429.628
8600	2	11	0.001158	0.000622	-2521567.370
8700	2	11	0.001134	0.000597	-2521412.089
8800	2	11	0.001122	0.000622	-2521519.047
8900	2	11	0.001133	0.000608	-2521392.283
9000	2	11	0.001116	0.000593	-2521355.782
9100	2	11	0.001110	0.000593	-2521432.225
9200	2	11	0.001127	0.000579	-2521214.742
9300	2	11	0.001154	0.000608	-2521514.671
9400	2	11	0.001129	0.000561	-2521243.430
9500	2	11	0.001139	0.000562	-2521304.090
9600	2	11	0.001124	0.000570	-2521577.559
9700	2	11	0.001162	0.000605	-2521498.859
9800	2	11	0.001158	0.000612	-2521439.232
9900	2	11	0.001119	0.000578	-2521158.655
10000	2	11	0.001113	0.000595	-2521267.516
10100	2	11	0.001106	0.000601	-2521260.217
