Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001164	0.000757	-2521888.496
200	2	11	0.001124	0.000715	-2521828.304
300	2	11	0.001134	0.000690	-2521721.085
400	2	11	0.001136	0.000714	-2521721.632
500	2	11	0.001144	0.000723	-2521662.155
600	2	11	0.001142	0.000734	-2521813.850
700	2	11	0.001140	0.000719	-2521790.302
800	2	11	0.001183	0.000725	-2521782.158
900	2	11	0.001197	0.000722	-2521852.433
1000	2	11	0.001174	0.000706	-2521721.528
1100	2	11	0.001162	0.000752	-2521950.189
1200	2	11	0.001131	0.000722	-2521861.217
1300	2	11	0.001166	0.000756	-2521971.138
1400	2	11	0.001174	0.000707	-2521703.947
1500	2	11	0.001187	0.000738	-2521871.939
1600	2	11	0.001168	0.000712	-2521562.809
1700	2	11	0.001177	0.000695	-2521939.265
1800	2	11	0.001184	0.000724	-2521736.416
1900	2	11	0.001136	0.000722	-2521766.083
2000	2	11	0.001176	0.000717	-2521680.749
2100	2	11	0.001113	0.000734	-2521660.832
2200	2	11	0.001153	0.000722	-2521582.809
2300	2	11	0.001176	0.000720	-2521821.040
2400	2	11	0.001169	0.000678	-2521511.942
2500	2	11	0.001160	0.000705	-2521725.984
2600	2	11	0.001170	0.000706	-2521882.589
2700	2	11	0.001128	0.000714	-2521783.470
2800	2	11	0.001148	0.000710	-2521564.461
2900	2	11	0.001139	0.000704	-2521725.487
3000	2	11	0.001155	0.000706	-2521651.245
3100	2	11	0.001187	0.000743	-2521918.922
3200	2	11	0.001179	0.000698	-2521888.064
3300	2	11	0.001146	0.000712	-2521706.161
3400	2	11	0.001152	0.000713	-2521918.756
3500	2	11	0.001099	0.000721	-2521744.154
3600	2	11	0.001154	0.000733	-2521924.434
3700	2	11	0.001171	0.000733	-2521800.225
3800	2	11	0.001184	0.000698	-2521656.026
3900	2	11	0.001176	0.000706	-2521656.442
4000	2	11	0.001139	0.000738	-2521831.779
4100	2	11	0.001161	0.000718	-2521777.214
4200	2	11	0.001172	0.000741	-2521774.695
4300	2	11	0.001176	0.000704	-2521793.157
4400	2	11	0.001189	0.000744	-2521876.535
4500	2	11	0.001210	0.000731	-2521889.863
4600	2	11	0.001220	0.000736	-2521923.718
4700	2	11	0.001184	0.000739	-2521853.544
4800	2	11	0.001181	0.000713	-2521728.265
4900	2	11	0.001170	0.000729	-2521764.378
5000	2	11	0.001149	0.000711	-2521754.273
5100	2	11	0.001159	0.000710	-2521923.571
5200	2	11	0.001182	0.000695	-2521853.231
5300	2	11	0.001181	0.000734	-2521619.414
5400	2	11	0.001176	0.000702	-2521752.121
5500	2	11	0.001165	0.000724	-2521720.925
5600	2	11	0.001139	0.000704	-2521803.735
5700	2	11	0.001155	0.000725	-2521584.762
5800	2	11	0.001149	0.000704	-2521705.156
5900	2	11	0.001134	0.000738	-2521697.505
6000	2	11	0.001180	0.000716	-2521903.712
6100	2	11	0.001183	0.000721	-2521820.705
6200	2	11	0.001158	0.000745	-2522047.855
6300	2	11	0.001180	0.000717	-2521851.738
6400	2	11	0.001164	0.000724	-2521652.354
6500	2	11	0.001142	0.000724	-2521759.154
6600	2	11	0.001163	0.000728	-2521682.635
6700	2	11	0.001139	0.000742	-2521659.056
6800	2	11	0.001138	0.000729	-2521752.442
6900	2	11	0.001128	0.000715	-2521808.629
7000	2	11	0.001179	0.000718	-2521728.728
7100	2	11	0.001165	0.000719	-2521741.355
7200	2	11	0.001153	0.000680	-2521617.537
7300	2	11	0.001136	0.000702	-2521712.533
7400	2	11	0.001141	0.000723	-2521838.766
7500	2	11	0.001163	0.000743	-2521708.200
7600	2	11	0.001187	0.000720	-2521773.218
7700	2	11	0.001140	0.000710	-2521691.944
7800	2	11	0.001155	0.000727	-2521750.104
7900	2	11	0.001178	0.000712	-2521781.833
8000	2	11	0.001182	0.000742	-2521755.051
8100	2	11	0.001145	0.000708	-2521745.410
8200	2	11	0.001133	0.000731	-2521595.677
8300	2	11	0.001153	0.000738	-2521824.103
8400	2	11	0.001165	0.000720	-2521811.892
8500	2	11	0.001172	0.000736	-2521555.438
8600	2	11	0.001173	0.000686	-2521618.384
8700	2	11	0.001186	0.000736	-2521721.854
8800	2	11	0.001184	0.000728	-2521825.937
8900	2	11	0.001159	0.000725	-2521586.807
9000	2	11	0.001169	0.000684	-2521734.558
9100	2	11	0.001170	0.000734	-2521756.032
9200	2	11	0.001182	0.000734	-2521717.461
9300	2	11	0.001138	0.000705	-2521680.179
9400	2	11	0.001191	0.000735	-2521829.449
9500	2	11	0.001175	0.000738	-2521789.659
9600	2	11	0.001167	0.000725	-2521889.268
9700	2	11	0.001159	0.000743	-2521703.837
9800	2	11	0.001176	0.000725	-2521681.924
9900	2	11	0.001118	0.000694	-2521659.479
10000	2	11	0.001122	0.000725	-2521801.296
10100	2	11	0.001149	0.000733	-2521718.956
10200	2	11	0.001164	0.000737	-2521834.889
10300	2	11	0.001183	0.000725	-2521798.473
10400	2	11	0.001191	0.000714	-2521645.483
10500	2	11	0.001142	0.000713	-2521730.332
10600	2	11	0.001186	0.000768	-2521799.946
10700	2	11	0.001160	0.000726	-2521730.521
10800	2	11	0.001164	0.000712	-2521625.551
10900	2	11	0.001205	0.000693	-2521875.460
11000	2	11	0.001140	0.000714	-2521588.378
11100	2	11	0.001135	0.000685	-2521489.971
11200	2	11	0.001160	0.000696	-2521714.094
11300	2	11	0.001191	0.000696	-2521812.993
11400	2	11	0.001173	0.000732	-2521799.901
11500	2	11	0.001190	0.000740	-2521740.620
11600	2	11	0.001185	0.000723	-2521993.879
11700	2	11	0.001150	0.000702	-2521677.291
11800	2	11	0.001145	0.000737	-2521783.112
11900	2	11	0.001142	0.000721	-2521548.370
12000	2	11	0.001154	0.000718	-2521722.720
12100	2	11	0.001140	0.000686	-2521626.437
12200	2	11	0.001136	0.000721	-2521618.975
12300	2	11	0.001177	0.000711	-2521577.838
12400	2	11	0.001206	0.000694	-2521680.883
12500	2	11	0.001189	0.000723	-2521702.352
12600	2	11	0.001146	0.000698	-2521515.504
12700	2	11	0.001196	0.000720	-2521810.228
12800	2	11	0.001186	0.000754	-2521818.873
12900	2	11	0.001146	0.000685	-2521709.105
13000	2	11	0.001159	0.000718	-2521722.770
13100	2	11	0.001195	0.000702	-2521949.483
13200	2	11	0.001143	0.000751	-2521837.200
13300	2	11	0.001143	0.000729	-2521837.403
13400	2	11	0.001159	0.000698	-2521855.652
13500	2	11	0.001155	0.000753	-2521694.354
13600	2	11	0.001132	0.000723	-2521685.044
13700	2	11	0.001139	0.000711	-2521598.114
13800	2	11	0.001166	0.000705	-2521852.184
13900	2	11	0.001191	0.000724	-2521692.764
14000	2	11	0.001192	0.000713	-2521711.166
14100	2	11	0.001199	0.000749	-2521815.958
14200	2	11	0.001204	0.000708	-2521837.004
14300	2	11	0.001175	0.000715	-2521709.413
14400	2	11	0.001155	0.000715	-2521669.012
14500	2	11	0.001182	0.000725	-2521606.377
14600	2	11	0.001141	0.000737	-2521724.909
14700	2	11	0.001163	0.000718	-2521624.436
14800	2	11	0.001163	0.000707	-2521742.799
14900	2	11	0.001165	0.000710	-2521841.875
15000	2	11	0.001171	0.000707	-2521606.470
15100	2	11	0.001153	0.000715	-2521676.597
15200	2	11	0.001168	0.000702	-2521841.189
15300	2	11	0.001136	0.000701	-2521614.089
15400	2	11	0.001146	0.000717	-2521735.174
15500	2	11	0.001181	0.000734	-2521806.419
15600	2	11	0.001182	0.000726	-2521636.415
15700	2	11	0.001173	0.000713	-2521702.006
15800	2	11	0.001157	0.000736	-2521764.815
15900	2	11	0.001159	0.000695	-2521522.169
16000	2	11	0.001127	0.000710	-2521581.995
16100	2	11	0.001142	0.000705	-2521786.070
16200	2	11	0.001137	0.000724	-2521680.894
16300	2	11	0.001163	0.000722	-2521695.761
16400	2	11	0.001134	0.000772	-2521751.277
16500	2	11	0.001172	0.000741	-2522000.409
16600	2	11	0.001175	0.000709	-2521830.235
16700	2	11	0.001144	0.000726	-2521836.159
16800	2	11	0.001141	0.000700	-2521741.370
16900	2	11	0.001154	0.000729	-2521693.893
17000	2	11	0.001132	0.000744	-2521748.755
17100	2	11	0.001157	0.000737	-2521823.610
17200	2	11	0.001165	0.000714	-2521773.584
17300	2	11	0.001119	0.000702	-2521677.098
17400	2	11	0.001178	0.000723	-2521801.541
17500	2	11	0.001129	0.000704	-2521584.084
17600	2	11	0.001170	0.000698	-2521695.149
17700	2	11	0.001177	0.000710	-2521720.719
17800	2	11	0.001165	0.000703	-2521598.713
17900	2	11	0.001157	0.000711	-2521712.083
18000	2	11	0.001150	0.000693	-2521700.671
18100	2	11	0.001151	0.000716	-2521549.763
18200	2	11	0.001158	0.000719	-2521724.661
18300	2	11	0.001147	0.000723	-2521653.452
18400	2	11	0.001146	0.000733	-2521613.188
18500	2	11	0.001136	0.000745	-2521586.332
18600	2	11	0.001170	0.000713	-2521779.332
18700	2	11	0.001165	0.000707	-2521708.996
18800	2	11	0.001153	0.000702	-2521719.560
18900	2	11	0.001126	0.000734	-2521891.129
19000	2	11	0.001140	0.000705	-2521504.381
19100	2	11	0.001194	0.000758	-2521859.278
19200	2	11	0.001159	0.000713	-2521774.632
19300	2	11	0.001132	0.000715	-2521563.884
19400	2	11	0.001175	0.000735	-2521806.286
19500	2	11	0.001141	0.000717	-2521553.136
19600	2	11	0.001166	0.000714	-2521802.567
19700	2	11	0.001160	0.000698	-2521829.297
19800	2	11	0.001171	0.000746	-2521742.110
19900	2	11	0.001170	0.000706	-2521479.144
20000	2	11	0.001198	0.000744	-2521627.885
20100	2	11	0.001190	0.000752	-2521738.374
20200	2	11	0.001134	0.000687	-2521541.807
20300	2	11	0.001151	0.000698	-2521653.654
20400	2	11	0.001179	0.000700	-2521784.748
20500	2	11	0.001124	0.000694	-2521460.371
20600	2	11	0.001135	0.000715	-2521759.235
20700	2	11	0.001144	0.000736	-2521457.820
20800	2	11	0.001166	0.000701	-2521704.487
20900	2	11	0.001202	0.000750	-2521751.828
21000	2	11	0.001158	0.000724	-2521612.432
21100	2	11	0.001174	0.000695	-2521683.144
21200	2	11	0.001198	0.000747	-2521747.229
21300	2	11	0.001167	0.000703	-2521555.735
21400	2	11	0.001125	0.000727	-2521724.702
21500	2	11	0.001187	0.000736	-2521877.199
21600	2	11	0.001186	0.000714	-2521833.219
21700	2	11	0.001164	0.000751	-2521723.136
21800	2	11	0.001189	0.000712	-2521687.726
21900	2	11	0.001188	0.000716	-2521759.533
22000	2	11	0.001161	0.000728	-2521740.327
22100	2	11	0.001159	0.000690	-2521648.765
22200	2	11	0.001159	0.000707	-2521612.865
22300	2	11	0.001135	0.000716	-2521695.875
22400	2	11	0.001162	0.000749	-2521717.770
22500	2	11	0.001141	0.000716	-2521838.780
22600	2	11	0.001156	0.000753	-2521582.904
22700	2	11	0.001151	0.000731	-2521741.226
22800	2	11	0.001158	0.000705	-2521662.173
22900	2	11	0.001171	0.000720	-2521739.648
23000	2	11	0.001156	0.000742	-2521614.093
23100	2	11	0.001169	0.000709	-2521712.379
23200	2	11	0.001176	0.000697	-2521848.013
23300	2	11	0.001167	0.000679	-2521639.983
23400	2	11	0.001152	0.000719	-2521704.680
23500	2	11	0.001171	0.000733	-2521800.072
23600	2	11	0.001129	0.000708	-2521654.478
23700	2	11	0.001157	0.000693	-2521610.978
23800	2	11	0.001127	0.000715	-2521768.926
23900	2	11	0.001162	0.000723	-2521780.851
24000	2	11	0.001171	0.000731	-2521837.097
24100	2	11	0.001175	0.000731	-2521626.453
24200	2	11	0.001178	0.000711	-2521804.728
24300	2	11	0.001191	0.000712	-2521863.103
24400	2	11	0.001167	0.000701	-2521713.368
24500	2	11	0.001177	0.000670	-2521733.382
24600	2	11	0.001194	0.000748	-2521761.197
24700	2	11	0.001175	0.000714	-2521770.273
24800	2	11	0.001161	0.000725	-2521605.096
24900	2	11	0.001165	0.000730	-2521631.250
25000	2	11	0.001126	0.000687	-2521649.333
25100	2	11	0.001159	0.000748	-2521732.979
25200	2	11	0.001158	0.000677	-2521554.335
25300	2	11	0.001173	0.000732	-2521800.234
25400	2	11	0.001140	0.000713	-2521676.301
25500	2	11	0.001143	0.000722	-2521656.934
25600	2	11	0.001173	0.000718	-2521523.370
25700	2	11	0.001155	0.000711	-2521595.448
25800	2	11	0.001153	0.000714	-2521604.821
25900	2	11	0.001179	0.000694	-2521536.488
26000	2	11	0.001172	0.000717	-2521611.129
26100	2	11	0.001135	0.000730	-2521696.417
26200	2	11	0.001136	0.000720	-2521680.152
26300	2	11	0.001152	0.000706	-2521490.402
26400	2	11	0.001133	0.000706	-2521588.312
26500	2	11	0.001169	0.000741	-2521740.970
26600	2	11	0.001141	0.000737	-2521731.572
26700	2	11	0.001157	0.000738	-2521778.263
26800	2	11	0.001113	0.000733	-2521600.918
26900	2	11	0.001120	0.000725	-2521502.015
27000	2	11	0.001127	0.000699	-2521345.687
27100	2	11	0.001158	0.000734	-2521780.951
27200	2	11	0.001168	0.000731	-2521651.068
27300	2	11	0.001152	0.000717	-2521715.870
27400	2	11	0.001146	0.000709	-2521653.501
27500	2	11	0.001167	0.000713	-2521493.215
27600	2	11	0.001177	0.000723	-2521676.811
27700	2	11	0.001171	0.000702	-2521681.556
27800	2	11	0.001177	0.000745	-2521841.925
27900	2	11	0.001190	0.000712	-2521678.022
28000	2	11	0.001161	0.000696	-2521717.601
28100	2	11	0.001192	0.000695	-2521599.998
28200	2	11	0.001163	0.000727	-2521668.205
28300	2	11	0.001133	0.000687	-2521502.154
28400	2	11	0.001109	0.000742	-2521630.236
28500	2	11	0.001138	0.000709	-2521665.321
28600	2	11	0.001182	0.000720	-2521673.551
28700	2	11	0.001157	0.000753	-2521732.881
28800	2	11	0.001128	0.000692	-2521573.478
28900	2	11	0.001105	0.000738	-2521638.478
29000	2	11	0.001162	0.000720	-2521540.507
29100	2	11	0.001130	0.000717	-2521453.692
29200	2	11	0.001159	0.000686	-2521612.800
29300	2	11	0.001147	0.000703	-2521632.297
29400	2	11	0.001167	0.000736	-2521521.818
29500	2	11	0.001187	0.000700	-2521522.473
29600	2	11	0.001160	0.000711	-2521551.349
29700	2	11	0.001152	0.000710	-2521611.738
29800	2	11	0.001160	0.000729	-2521608.368
29900	2	11	0.001186	0.000717	-2521734.710
30000	2	11	0.001197	0.000734	-2521712.559
30100	2	11	0.001181	0.000708	-2521523.000
30200	2	11	0.001158	0.000712	-2521631.271
30300	2	11	0.001127	0.000729	-2521644.817
30400	2	11	0.001135	0.000715	-2521496.868
30500	2	11	0.001146	0.000748	-2521483.713
30600	2	11	0.001144	0.000725	-2521594.800
30700	2	11	0.001162	0.000724	-2521703.234
30800	2	11	0.001168	0.000706	-2521564.393
30900	2	11	0.001159	0.000734	-2521633.216
31000	2	11	0.001141	0.000710	-2521777.059
31100	2	11	0.001152	0.000739	-2521717.189
31200	2	11	0.001186	0.000694	-2521724.089
31300	2	11	0.001153	0.000686	-2521407.356
31400	2	11	0.001134	0.000712	-2521493.161
31500	2	11	0.001167	0.000693	-2521683.150
31600	2	11	0.001157	0.000678	-2521510.181
31700	2	11	0.001178	0.000719	-2521683.814
31800	2	11	0.001167	0.000722	-2521664.002
31900	2	11	0.001142	0.000743	-2521525.891
32000	2	11	0.001146	0.000695	-2521594.359
32100	2	11	0.001154	0.000732	-2521451.547
32200	2	11	0.001147	0.000709	-2521766.259
32300	2	11	0.001145	0.000713	-2521635.640
32400	2	11	0.001121	0.000706	-2521539.857
32500	2	11	0.001116	0.000712	-2521455.384
32600	2	11	0.001145	0.000705	-2521677.433
32700	2	11	0.001144	0.000740	-2521809.152
32800	2	11	0.001176	0.000714	-2521738.330
32900	2	11	0.001151	0.000694	-2521689.774
33000	2	11	0.001137	0.000710	-2521667.234
33100	2	11	0.001180	0.000705	-2521530.082
33200	2	11	0.001164	0.000714	-2521736.258
33300	2	11	0.001171	0.000758	-2521788.354
33400	2	11	0.001156	0.000701	-2521656.984
33500	2	11	0.001156	0.000725	-2521646.805
33600	2	11	0.001162	0.000709	-2521671.039
33700	2	11	0.001167	0.000690	-2521483.102
33800	2	11	0.001192	0.000717	-2521860.978
33900	2	11	0.001158	0.000744	-2521782.770
34000	2	11	0.001162	0.000741	-2521546.107
34100	2	11	0.001126	0.000697	-2521662.457
34200	2	11	0.001100	0.000698	-2521350.501
34300	2	11	0.001154	0.000731	-2521762.421
34400	2	11	0.001152	0.000712	-2521587.057
34500	2	11	0.001137	0.000722	-2521642.880
34600	2	11	0.001165	0.000734	-2521616.617
34700	2	11	0.001162	0.000700	-2521520.828
34800	2	11	0.001144	0.000706	-2521599.306
34900	2	11	0.001151	0.000708	-2521634.909
35000	2	11	0.001181	0.000721	-2521686.666
35100	2	11	0.001154	0.000736	-2521541.181
35200	2	11	0.001132	0.000696	-2521599.669
35300	2	11	0.001162	0.000704	-2521698.145
35400	2	11	0.001132	0.000736	-2521817.637
35500	2	11	0.001166	0.000713	-2521800.131
35600	2	11	0.001174	0.000706	-2521649.485
35700	2	11	0.001169	0.000707	-2521760.258
35800	2	11	0.001178	0.000689	-2521768.542
35900	2	11	0.001191	0.000705	-2521801.526
36000	2	11	0.001151	0.000707	-2521529.787
36100	2	11	0.001143	0.000706	-2521717.511
36200	2	11	0.001137	0.000703	-2521612.695
36300	2	11	0.001137	0.000730	-2521711.337
36400	2	11	0.001168	0.000707	-2521659.848
36500	2	11	0.001182	0.000711	-2521619.667
36600	2	11	0.001158	0.000743	-2521705.481
