Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
13300	2	11	0.001119	0.000619	-2521476.905
13400	2	11	0.001163	0.000601	-2521416.203
13500	2	11	0.001163	0.000616	-2521404.393
13600	2	11	0.001139	0.000634	-2521445.425
13700	2	11	0.001128	0.000623	-2521470.406
13800	2	11	0.001150	0.000600	-2521393.788
13900	2	11	0.001144	0.000609	-2521576.531
14000	2	11	0.001163	0.000632	-2521589.056
14100	2	11	0.001134	0.000606	-2521444.345
14200	2	11	0.001126	0.000593	-2521516.365
14300	2	11	0.001132	0.000577	-2521381.717
14400	2	11	0.001110	0.000601	-2521214.065
14500	2	11	0.001141	0.000601	-2521375.774
14600	2	11	0.001147	0.000627	-2521359.964
14700	2	11	0.001114	0.000635	-2521357.294
14800	2	11	0.001125	0.000593	-2521408.644
14900	2	11	0.001102	0.000617	-2521348.639
15000	2	11	0.001088	0.000601	-2521348.364
15100	2	11	0.001124	0.000597	-2521404.379
15200	2	11	0.001138	0.000603	-2521537.745
15300	2	11	0.001155	0.000600	-2521380.138
15400	2	11	0.001111	0.000628	-2521593.068
15500	2	11	0.001156	0.000640	-2521394.249
15600	2	11	0.001170	0.000600	-2521763.070
15700	2	11	0.001149	0.000589	-2521489.644
15800	2	11	0.001140	0.000626	-2521501.536
15900	2	11	0.001165	0.000603	-2521512.606
16000	2	11	0.001199	0.000639	-2521561.038
16100	2	11	0.001178	0.000648	-2521451.656
16200	2	11	0.001154	0.000597	-2521428.948
16300	2	11	0.001134	0.000634	-2521466.101
16400	2	11	0.001123	0.000609	-2521349.771
16500	2	11	0.001102	0.000580	-2521282.686
16600	2	11	0.001115	0.000587	-2521563.084
16700	2	11	0.001136	0.000606	-2521549.358
16800	2	11	0.001158	0.000588	-2521389.987
16900	2	11	0.001164	0.000625	-2521611.860
17000	2	11	0.001152	0.000602	-2521628.621
17100	2	11	0.001147	0.000610	-2521398.086
17200	2	11	0.001138	0.000599	-2521291.152
17300	2	11	0.001112	0.000623	-2521402.533
17400	2	11	0.001140	0.000611	-2521440.391
17500	2	11	0.001118	0.000588	-2521282.539
17600	2	11	0.001102	0.000606	-2521457.431
17700	2	11	0.001137	0.000620	-2521314.891
17800	2	11	0.001130	0.000658	-2521373.622
17900	2	11	0.001134	0.000612	-2521429.393
18000	2	11	0.001149	0.000604	-2521262.647
18100	2	11	0.001134	0.000626	-2521520.299
18200	2	11	0.001147	0.000632	-2521492.003
18300	2	11	0.001118	0.000640	-2521407.378
18400	2	11	0.001129	0.000606	-2521415.454
18500	2	11	0.001143	0.000603	-2521420.957
18600	2	11	0.001149	0.000612	-2521635.502
18700	2	11	0.001142	0.000600	-2521429.662
18800	2	11	0.001145	0.000626	-2521430.985
18900	2	11	0.001111	0.000623	-2521409.042
19000	2	11	0.001131	0.000630	-2521406.125
