Gen	np	tree	tau_4EminEmyoxEsp	lnL
13300	2	11	0.001133	0.000629	-2521753.117
13400	2	11	0.001132	0.000614	-2521657.470
13500	2	11	0.001133	0.000615	-2521624.645
13600	2	11	0.001133	0.000598	-2521426.177
13700	2	11	0.001120	0.000634	-2521571.971
13800	2	11	0.001105	0.000610	-2521581.603
13900	2	11	0.001119	0.000617	-2521526.906
14000	2	11	0.001127	0.000586	-2521420.461
14100	2	11	0.001123	0.000599	-2521478.449
14200	2	11	0.001104	0.000621	-2521560.720
14300	2	11	0.001137	0.000608	-2521531.763
14400	2	11	0.001130	0.000602	-2521583.214
14500	2	11	0.001117	0.000643	-2521618.819
14600	2	11	0.001133	0.000644	-2521709.519
14700	2	11	0.001136	0.000608	-2521541.813
14800	2	11	0.001137	0.000620	-2521596.645
14900	2	11	0.001144	0.000608	-2521726.119
15000	2	11	0.001174	0.000624	-2521648.387
15100	2	11	0.001132	0.000616	-2521498.654
15200	2	11	0.001111	0.000621	-2521471.553
15300	2	11	0.001179	0.000603	-2521587.392
15400	2	11	0.001126	0.000609	-2521447.934
15500	2	11	0.001118	0.000593	-2521443.068
15600	2	11	0.001144	0.000596	-2521507.313
15700	2	11	0.001104	0.000661	-2521610.554
15800	2	11	0.001144	0.000582	-2521486.586
15900	2	11	0.001143	0.000629	-2521493.529
16000	2	11	0.001145	0.000614	-2521435.581
16100	2	11	0.001147	0.000656	-2521551.141
16200	2	11	0.001134	0.000609	-2521562.032
16300	2	11	0.001134	0.000623	-2521585.976
16400	2	11	0.001163	0.000577	-2521551.867
16500	2	11	0.001154	0.000631	-2521752.316
16600	2	11	0.001141	0.000613	-2521646.496
16700	2	11	0.001132	0.000637	-2521770.614
16800	2	11	0.001107	0.000600	-2521431.628
16900	2	11	0.001096	0.000603	-2521372.797
17000	2	11	0.001121	0.000604	-2521525.757
17100	2	11	0.001145	0.000586	-2521547.581
17200	2	11	0.001148	0.000591	-2521609.214
17300	2	11	0.001146	0.000615	-2521560.860
17400	2	11	0.001133	0.000610	-2521685.325
17500	2	11	0.001143	0.000614	-2521578.217
17600	2	11	0.001147	0.000586	-2521651.916
17700	2	11	0.001149	0.000601	-2521534.351
17800	2	11	0.001180	0.000642	-2521696.800
17900	2	11	0.001139	0.000629	-2521772.827
18000	2	11	0.001135	0.000613	-2521811.068
18100	2	11	0.001149	0.000627	-2521635.549
18200	2	11	0.001183	0.000605	-2521518.260
18300	2	11	0.001157	0.000619	-2521472.694
18400	2	11	0.001150	0.000612	-2521641.342
18500	2	11	0.001148	0.000595	-2521514.095
18600	2	11	0.001146	0.000623	-2521471.369
18700	2	11	0.001158	0.000578	-2521542.037
18800	2	11	0.001160	0.000607	-2521741.368
