Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001115	0.000596	-2521762.901
200	2	11	0.001121	0.000575	-2521955.479
300	2	11	0.001144	0.000583	-2521736.025
400	2	11	0.001127	0.000601	-2521832.791
500	2	11	0.001155	0.000596	-2521810.958
600	2	11	0.001171	0.000596	-2521836.882
700	2	11	0.001113	0.000615	-2521720.172
800	2	11	0.001093	0.000619	-2521933.549
900	2	11	0.001150	0.000619	-2521979.513
1000	2	11	0.001093	0.000598	-2521786.217
1100	2	11	0.001143	0.000585	-2521647.201
1200	2	11	0.001162	0.000626	-2521805.734
1300	2	11	0.001151	0.000592	-2521692.415
1400	2	11	0.001174	0.000575	-2521783.828
1500	2	11	0.001147	0.000590	-2521780.856
1600	2	11	0.001139	0.000570	-2521852.405
1700	2	11	0.001144	0.000600	-2521877.746
1800	2	11	0.001137	0.000602	-2521682.366
1900	2	11	0.001112	0.000598	-2521735.576
2000	2	11	0.001131	0.000579	-2521848.832
2100	2	11	0.001119	0.000591	-2521706.366
2200	2	11	0.001153	0.000597	-2521890.790
2300	2	11	0.001140	0.000593	-2521713.524
2400	2	11	0.001135	0.000585	-2521813.304
2500	2	11	0.001139	0.000613	-2521835.570
2600	2	11	0.001124	0.000574	-2521679.405
2700	2	11	0.001159	0.000601	-2521970.609
2800	2	11	0.001151	0.000608	-2521788.764
2900	2	11	0.001124	0.000610	-2521897.011
3000	2	11	0.001153	0.000629	-2521795.112
3100	2	11	0.001145	0.000590	-2521649.066
3200	2	11	0.001151	0.000633	-2521914.866
3300	2	11	0.001162	0.000611	-2521792.480
3400	2	11	0.001185	0.000567	-2521754.445
3500	2	11	0.001149	0.000605	-2521788.771
3600	2	11	0.001107	0.000601	-2521799.269
3700	2	11	0.001131	0.000611	-2521970.978
3800	2	11	0.001125	0.000612	-2521560.217
3900	2	11	0.001118	0.000594	-2521596.307
4000	2	11	0.001154	0.000589	-2521588.956
4100	2	11	0.001140	0.000618	-2521562.330
4200	2	11	0.001146	0.000617	-2521749.721
4300	2	11	0.001133	0.000592	-2521601.307
4400	2	11	0.001120	0.000575	-2521414.559
4500	2	11	0.001124	0.000598	-2521511.165
4600	2	11	0.001115	0.000587	-2521723.532
4700	2	11	0.001141	0.000623	-2521633.810
4800	2	11	0.001123	0.000610	-2521669.970
4900	2	11	0.001107	0.000606	-2521696.836
5000	2	11	0.001107	0.000607	-2521624.836
5100	2	11	0.001134	0.000595	-2521833.701
5200	2	11	0.001134	0.000589	-2521786.658
5300	2	11	0.001138	0.000614	-2521741.272
5400	2	11	0.001130	0.000611	-2521821.752
5500	2	11	0.001173	0.000610	-2521801.400
5600	2	11	0.001159	0.000587	-2521797.913
5700	2	11	0.001157	0.000605	-2521638.426
5800	2	11	0.001134	0.000594	-2521716.999
5900	2	11	0.001147	0.000603	-2521820.909
6000	2	11	0.001164	0.000598	-2521789.891
6100	2	11	0.001133	0.000605	-2521566.858
6200	2	11	0.001146	0.000579	-2521493.279
6300	2	11	0.001110	0.000610	-2521617.526
6400	2	11	0.001146	0.000579	-2521677.844
6500	2	11	0.001127	0.000593	-2521874.503
6600	2	11	0.001112	0.000554	-2521580.678
6700	2	11	0.001144	0.000552	-2521615.823
6800	2	11	0.001140	0.000589	-2521711.207
6900	2	11	0.001114	0.000602	-2521644.426
7000	2	11	0.001101	0.000616	-2521784.540
7100	2	11	0.001116	0.000644	-2521936.849
7200	2	11	0.001099	0.000591	-2521484.826
7300	2	11	0.001109	0.000605	-2521528.062
7400	2	11	0.001147	0.000586	-2521671.158
7500	2	11	0.001140	0.000573	-2521506.025
7600	2	11	0.001138	0.000568	-2521709.964
7700	2	11	0.001150	0.000565	-2521514.259
7800	2	11	0.001183	0.000595	-2521684.085
7900	2	11	0.001167	0.000579	-2521619.997
8000	2	11	0.001122	0.000581	-2521352.989
8100	2	11	0.001090	0.000618	-2521667.828
8200	2	11	0.001084	0.000596	-2521485.165
8300	2	11	0.001097	0.000635	-2521555.637
8400	2	11	0.001092	0.000591	-2521593.841
8500	2	11	0.001121	0.000627	-2521748.436
8600	2	11	0.001132	0.000573	-2521590.545
8700	2	11	0.001103	0.000596	-2521645.235
8800	2	11	0.001109	0.000615	-2521560.325
8900	2	11	0.001141	0.000583	-2521579.974
9000	2	11	0.001133	0.000600	-2521702.278
9100	2	11	0.001160	0.000602	-2521625.445
9200	2	11	0.001129	0.000615	-2521570.256
9300	2	11	0.001142	0.000590	-2521539.072
9400	2	11	0.001130	0.000629	-2521610.543
9500	2	11	0.001161	0.000580	-2521729.204
9600	2	11	0.001131	0.000609	-2521598.092
9700	2	11	0.001107	0.000608	-2521747.648
9800	2	11	0.001122	0.000626	-2521574.118
9900	2	11	0.001143	0.000588	-2521692.846
10000	2	11	0.001162	0.000552	-2521615.761
10100	2	11	0.001138	0.000616	-2521692.220
10200	2	11	0.001153	0.000608	-2521781.319
10300	2	11	0.001102	0.000578	-2521506.978
10400	2	11	0.001094	0.000610	-2521665.483
10500	2	11	0.001109	0.000592	-2521583.627
10600	2	11	0.001118	0.000581	-2521687.591
10700	2	11	0.001116	0.000570	-2521682.502
10800	2	11	0.001103	0.000560	-2521475.477
10900	2	11	0.001100	0.000590	-2521547.821
11000	2	11	0.001119	0.000636	-2521618.347
11100	2	11	0.001120	0.000595	-2521661.325
11200	2	11	0.001075	0.000615	-2521671.221
11300	2	11	0.001131	0.000640	-2521820.317
11400	2	11	0.001099	0.000598	-2521662.026
