Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001127	0.000609	-2521665.811
200	2	11	0.001115	0.000612	-2521764.534
300	2	11	0.001128	0.000619	-2521855.804
400	2	11	0.001122	0.000621	-2521926.698
500	2	11	0.001150	0.000564	-2521713.673
600	2	11	0.001113	0.000605	-2521877.985
700	2	11	0.001140	0.000620	-2521838.061
800	2	11	0.001152	0.000605	-2521793.175
900	2	11	0.001147	0.000612	-2521742.127
1000	2	11	0.001158	0.000587	-2521515.117
1100	2	11	0.001131	0.000597	-2521757.283
1200	2	11	0.001144	0.000609	-2521657.730
1300	2	11	0.001116	0.000585	-2521601.510
1400	2	11	0.001113	0.000566	-2521662.883
1500	2	11	0.001121	0.000585	-2521682.932
1600	2	11	0.001130	0.000602	-2521748.700
1700	2	11	0.001127	0.000611	-2521717.335
1800	2	11	0.001102	0.000602	-2521869.267
1900	2	11	0.001095	0.000628	-2521795.573
2000	2	11	0.001132	0.000635	-2521831.872
2100	2	11	0.001122	0.000629	-2521684.106
2200	2	11	0.001162	0.000598	-2521766.710
2300	2	11	0.001150	0.000624	-2521743.834
2400	2	11	0.001167	0.000614	-2521864.464
2500	2	11	0.001133	0.000595	-2521891.379
2600	2	11	0.001133	0.000619	-2522015.066
2700	2	11	0.001102	0.000587	-2521708.463
2800	2	11	0.001107	0.000620	-2521614.054
2900	2	11	0.001107	0.000622	-2521742.484
3000	2	11	0.001149	0.000580	-2521749.440
3100	2	11	0.001105	0.000597	-2521574.646
3200	2	11	0.001109	0.000593	-2521657.579
3300	2	11	0.001111	0.000595	-2521627.193
3400	2	11	0.001104	0.000610	-2521652.364
3500	2	11	0.001104	0.000601	-2521522.527
3600	2	11	0.001115	0.000612	-2521714.842
3700	2	11	0.001147	0.000610	-2522003.736
3800	2	11	0.001140	0.000628	-2521803.277
3900	2	11	0.001122	0.000610	-2521650.425
4000	2	11	0.001106	0.000604	-2521635.911
4100	2	11	0.001113	0.000611	-2521603.841
4200	2	11	0.001149	0.000597	-2521707.799
4300	2	11	0.001144	0.000621	-2521746.047
4400	2	11	0.001126	0.000614	-2521631.302
4500	2	11	0.001149	0.000583	-2521578.026
4600	2	11	0.001128	0.000579	-2521721.148
4700	2	11	0.001133	0.000597	-2521714.998
4800	2	11	0.001099	0.000590	-2521710.297
4900	2	11	0.001115	0.000591	-2521632.447
5000	2	11	0.001137	0.000616	-2521575.912
5100	2	11	0.001128	0.000588	-2521760.165
5200	2	11	0.001125	0.000590	-2521570.659
5300	2	11	0.001121	0.000608	-2521719.143
5400	2	11	0.001102	0.000604	-2521527.724
5500	2	11	0.001097	0.000633	-2521596.047
5600	2	11	0.001108	0.000565	-2521660.542
5700	2	11	0.001111	0.000577	-2521624.515
5800	2	11	0.001117	0.000615	-2521624.987
5900	2	11	0.001104	0.000569	-2521750.403
6000	2	11	0.001105	0.000597	-2521535.437
6100	2	11	0.001130	0.000570	-2521621.992
6200	2	11	0.001134	0.000591	-2521636.933
6300	2	11	0.001122	0.000621	-2521908.703
6400	2	11	0.001098	0.000626	-2521735.527
6500	2	11	0.001109	0.000580	-2521710.167
6600	2	11	0.001129	0.000596	-2521590.403
6700	2	11	0.001125	0.000593	-2521492.762
6800	2	11	0.001167	0.000602	-2521782.715
6900	2	11	0.001142	0.000598	-2521648.845
7000	2	11	0.001108	0.000616	-2521535.331
7100	2	11	0.001135	0.000611	-2521725.194
7200	2	11	0.001147	0.000603	-2521593.885
7300	2	11	0.001118	0.000576	-2521600.914
7400	2	11	0.001110	0.000604	-2521628.481
7500	2	11	0.001096	0.000591	-2521384.988
7600	2	11	0.001107	0.000583	-2521662.718
7700	2	11	0.001111	0.000626	-2521742.018
7800	2	11	0.001148	0.000597	-2521577.663
7900	2	11	0.001116	0.000602	-2521826.348
8000	2	11	0.001114	0.000593	-2521552.916
8100	2	11	0.001109	0.000637	-2521684.205
8200	2	11	0.001107	0.000597	-2521501.953
8300	2	11	0.001118	0.000628	-2521776.273
8400	2	11	0.001118	0.000618	-2521519.231
8500	2	11	0.001095	0.000604	-2521572.822
8600	2	11	0.001115	0.000602	-2521604.301
8700	2	11	0.001124	0.000586	-2521669.915
8800	2	11	0.001132	0.000628	-2521727.150
8900	2	11	0.001115	0.000620	-2521635.035
9000	2	11	0.001116	0.000605	-2521615.518
9100	2	11	0.001130	0.000579	-2521623.739
9200	2	11	0.001140	0.000597	-2521646.469
9300	2	11	0.001112	0.000607	-2521595.240
9400	2	11	0.001141	0.000615	-2521813.899
9500	2	11	0.001115	0.000630	-2521567.022
9600	2	11	0.001105	0.000588	-2521583.433
9700	2	11	0.001161	0.000604	-2521496.142
9800	2	11	0.001114	0.000572	-2521394.069
9900	2	11	0.001134	0.000617	-2521645.841
10000	2	11	0.001143	0.000595	-2521508.831
10100	2	11	0.001163	0.000607	-2521646.709
10200	2	11	0.001163	0.000613	-2521678.184
10300	2	11	0.001137	0.000615	-2521602.137
10400	2	11	0.001166	0.000575	-2521599.626
10500	2	11	0.001149	0.000549	-2521532.795
10600	2	11	0.001104	0.000593	-2521523.399
10700	2	11	0.001121	0.000599	-2521708.346
10800	2	11	0.001138	0.000587	-2521554.844
10900	2	11	0.001147	0.000595	-2521597.111
11000	2	11	0.001150	0.000579	-2521526.477
11100	2	11	0.001151	0.000585	-2521720.132
11200	2	11	0.001162	0.000587	-2521552.850
11300	2	11	0.001115	0.000576	-2521418.339
11400	2	11	0.001146	0.000568	-2521561.682
11500	2	11	0.001095	0.000576	-2521582.530
11600	2	11	0.001136	0.000621	-2521588.164
11700	2	11	0.001081	0.000592	-2521750.018
11800	2	11	0.001104	0.000560	-2521658.730
11900	2	11	0.001115	0.000613	-2521689.011
12000	2	11	0.001091	0.000597	-2521385.605
12100	2	11	0.001134	0.000593	-2521650.416
12200	2	11	0.001177	0.000605	-2521774.834
12300	2	11	0.001135	0.000567	-2521481.000
12400	2	11	0.001155	0.000568	-2521478.886
12500	2	11	0.001106	0.000560	-2521586.255
12600	2	11	0.001128	0.000578	-2521624.937
12700	2	11	0.001127	0.000634	-2521534.019
12800	2	11	0.001124	0.000596	-2521603.487
12900	2	11	0.001096	0.000621	-2521531.103
13000	2	11	0.001132	0.000570	-2521645.613
13100	2	11	0.001129	0.000587	-2521528.719
13200	2	11	0.001133	0.000572	-2521436.235
13300	2	11	0.001123	0.000588	-2521534.627
13400	2	11	0.001114	0.000619	-2521508.925
13500	2	11	0.001115	0.000617	-2521602.506
13600	2	11	0.001111	0.000602	-2521482.621
13700	2	11	0.001106	0.000586	-2521567.859
13800	2	11	0.001094	0.000600	-2521633.264
13900	2	11	0.001136	0.000586	-2521581.720
14000	2	11	0.001152	0.000585	-2521604.278
14100	2	11	0.001172	0.000600	-2521550.490
14200	2	11	0.001134	0.000618	-2521537.310
14300	2	11	0.001164	0.000600	-2521631.538
14400	2	11	0.001115	0.000621	-2521647.117
14500	2	11	0.001115	0.000604	-2521680.717
14600	2	11	0.001139	0.000588	-2521711.492
14700	2	11	0.001117	0.000608	-2521488.257
14800	2	11	0.001129	0.000601	-2521444.841
14900	2	11	0.001083	0.000587	-2521451.051
15000	2	11	0.001097	0.000582	-2521720.556
15100	2	11	0.001130	0.000597	-2521555.807
15200	2	11	0.001130	0.000614	-2521731.676
15300	2	11	0.001125	0.000615	-2521673.524
15400	2	11	0.001133	0.000605	-2521528.703
15500	2	11	0.001151	0.000601	-2521597.959
15600	2	11	0.001129	0.000591	-2521876.716
15700	2	11	0.001115	0.000610	-2521466.607
15800	2	11	0.001116	0.000603	-2521569.254
15900	2	11	0.001108	0.000605	-2521628.310
16000	2	11	0.001130	0.000576	-2521454.448
16100	2	11	0.001120	0.000624	-2521444.713
16200	2	11	0.001138	0.000643	-2521643.295
16300	2	11	0.001134	0.000594	-2521611.002
16400	2	11	0.001114	0.000600	-2521414.567
16500	2	11	0.001150	0.000601	-2521629.981
16600	2	11	0.001149	0.000599	-2521546.236
16700	2	11	0.001093	0.000614	-2521520.673
16800	2	11	0.001128	0.000602	-2521618.135
16900	2	11	0.001140	0.000584	-2521663.808
17000	2	11	0.001129	0.000605	-2521497.264
17100	2	11	0.001132	0.000597	-2521496.728
17200	2	11	0.001159	0.000592	-2521542.638
17300	2	11	0.001131	0.000604	-2521593.742
17400	2	11	0.001128	0.000616	-2521607.003
17500	2	11	0.001146	0.000588	-2521467.777
17600	2	11	0.001144	0.000604	-2521450.079
17700	2	11	0.001086	0.000617	-2521678.783
17800	2	11	0.001112	0.000567	-2521389.228
17900	2	11	0.001103	0.000587	-2521635.988
18000	2	11	0.001124	0.000596	-2521581.686
18100	2	11	0.001117	0.000617	-2521517.056
18200	2	11	0.001139	0.000563	-2521495.245
18300	2	11	0.001122	0.000650	-2521819.836
18400	2	11	0.001131	0.000595	-2521636.399
18500	2	11	0.001124	0.000582	-2521614.234
18600	2	11	0.001156	0.000589	-2521645.444
18700	2	11	0.001149	0.000582	-2521488.879
18800	2	11	0.001196	0.000606	-2521610.800
18900	2	11	0.001153	0.000570	-2521610.380
19000	2	11	0.001139	0.000575	-2521645.675
19100	2	11	0.001162	0.000602	-2521625.059
19200	2	11	0.001120	0.000587	-2521675.639
19300	2	11	0.001111	0.000586	-2521566.524
19400	2	11	0.001146	0.000607	-2521666.768
19500	2	11	0.001096	0.000614	-2521455.328
19600	2	11	0.001140	0.000611	-2521408.486
19700	2	11	0.001152	0.000642	-2521655.218
19800	2	11	0.001129	0.000619	-2521558.081
19900	2	11	0.001129	0.000580	-2521485.672
20000	2	11	0.001139	0.000586	-2521473.492
20100	2	11	0.001123	0.000578	-2521451.836
20200	2	11	0.001105	0.000628	-2521540.932
20300	2	11	0.001136	0.000581	-2521534.547
20400	2	11	0.001128	0.000646	-2521754.840
20500	2	11	0.001182	0.000620	-2521736.344
20600	2	11	0.001143	0.000606	-2521390.677
20700	2	11	0.001134	0.000596	-2521665.878
20800	2	11	0.001134	0.000617	-2521675.977
20900	2	11	0.001145	0.000592	-2521540.576
21000	2	11	0.001180	0.000595	-2521756.553
21100	2	11	0.001171	0.000597	-2521571.444
21200	2	11	0.001104	0.000578	-2521601.039
21300	2	11	0.001118	0.000615	-2521609.928
21400	2	11	0.001107	0.000620	-2521508.976
21500	2	11	0.001098	0.000582	-2521435.810
21600	2	11	0.001116	0.000592	-2521593.834
21700	2	11	0.001139	0.000584	-2521673.900
21800	2	11	0.001124	0.000572	-2521309.957
21900	2	11	0.001086	0.000578	-2521477.709
22000	2	11	0.001127	0.000597	-2521714.821
22100	2	11	0.001139	0.000606	-2521469.435
22200	2	11	0.001134	0.000634	-2521609.372
22300	2	11	0.001101	0.000584	-2521423.414
22400	2	11	0.001144	0.000580	-2521365.227
22500	2	11	0.001116	0.000610	-2521414.087
22600	2	11	0.001151	0.000620	-2521607.464
22700	2	11	0.001169	0.000581	-2521584.566
22800	2	11	0.001115	0.000577	-2521335.527
22900	2	11	0.001105	0.000608	-2521580.203
23000	2	11	0.001122	0.000565	-2521217.273
23100	2	11	0.001117	0.000603	-2521595.104
23200	2	11	0.001106	0.000595	-2521612.198
23300	2	11	0.001110	0.000609	-2521517.441
23400	2	11	0.001141	0.000627	-2521672.521
23500	2	11	0.001132	0.000595	-2521522.293
23600	2	11	0.001117	0.000604	-2521438.739
23700	2	11	0.001096	0.000597	-2521536.214
23800	2	11	0.001126	0.000608	-2521616.893
