Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001191	0.000736	-2521877.254
200	2	11	0.001123	0.000729	-2521858.041
300	2	11	0.001121	0.000744	-2521998.484
400	2	11	0.001122	0.000739	-2521753.387
500	2	11	0.001144	0.000753	-2521812.965
600	2	11	0.001180	0.000730	-2522104.895
700	2	11	0.001197	0.000732	-2522099.352
800	2	11	0.001188	0.000741	-2521951.780
900	2	11	0.001155	0.000740	-2521851.257
1000	2	11	0.001163	0.000750	-2522010.695
1100	2	11	0.001138	0.000749	-2521957.562
1200	2	11	0.001158	0.000709	-2521697.343
1300	2	11	0.001158	0.000679	-2521767.989
1400	2	11	0.001202	0.000719	-2521904.213
1500	2	11	0.001180	0.000750	-2521920.457
1600	2	11	0.001138	0.000718	-2521987.784
1700	2	11	0.001182	0.000719	-2521841.101
1800	2	11	0.001140	0.000725	-2521849.873
1900	2	11	0.001154	0.000710	-2521926.521
2000	2	11	0.001140	0.000716	-2521815.061
2100	2	11	0.001128	0.000724	-2521867.160
2200	2	11	0.001136	0.000732	-2521872.490
2300	2	11	0.001150	0.000732	-2521898.199
2400	2	11	0.001142	0.000719	-2521959.415
2500	2	11	0.001169	0.000715	-2521796.322
2600	2	11	0.001162	0.000750	-2521886.998
2700	2	11	0.001144	0.000715	-2521928.015
2800	2	11	0.001157	0.000702	-2521840.211
2900	2	11	0.001137	0.000744	-2521769.365
3000	2	11	0.001205	0.000743	-2521984.591
3100	2	11	0.001158	0.000697	-2521720.659
3200	2	11	0.001192	0.000720	-2521860.933
3300	2	11	0.001197	0.000731	-2521816.849
3400	2	11	0.001196	0.000706	-2521856.246
3500	2	11	0.001161	0.000742	-2521912.570
3600	2	11	0.001140	0.000744	-2521943.295
3700	2	11	0.001182	0.000717	-2521790.583
3800	2	11	0.001135	0.000753	-2521810.480
3900	2	11	0.001169	0.000737	-2521730.065
4000	2	11	0.001138	0.000718	-2521798.850
4100	2	11	0.001143	0.000754	-2521791.766
4200	2	11	0.001145	0.000735	-2521669.667
4300	2	11	0.001116	0.000755	-2521884.363
4400	2	11	0.001128	0.000751	-2521790.050
4500	2	11	0.001135	0.000722	-2521577.061
4600	2	11	0.001151	0.000712	-2521909.625
4700	2	11	0.001165	0.000758	-2521844.542
4800	2	11	0.001151	0.000720	-2521974.530
4900	2	11	0.001133	0.000704	-2521775.275
5000	2	11	0.001190	0.000728	-2521749.758
5100	2	11	0.001154	0.000706	-2521931.027
5200	2	11	0.001159	0.000710	-2521870.162
5300	2	11	0.001170	0.000711	-2521763.642
5400	2	11	0.001159	0.000716	-2521839.866
5500	2	11	0.001162	0.000707	-2521905.706
5600	2	11	0.001196	0.000714	-2521815.235
5700	2	11	0.001157	0.000740	-2521899.387
5800	2	11	0.001172	0.000697	-2521893.562
5900	2	11	0.001198	0.000723	-2521886.934
6000	2	11	0.001143	0.000727	-2521802.973
6100	2	11	0.001162	0.000724	-2521907.793
6200	2	11	0.001185	0.000723	-2521887.676
6300	2	11	0.001141	0.000728	-2521660.498
6400	2	11	0.001133	0.000727	-2521722.246
6500	2	11	0.001152	0.000721	-2521937.894
6600	2	11	0.001159	0.000723	-2521890.197
6700	2	11	0.001203	0.000721	-2521917.966
6800	2	11	0.001185	0.000729	-2521919.403
6900	2	11	0.001137	0.000717	-2521852.106
7000	2	11	0.001157	0.000733	-2521937.979
7100	2	11	0.001169	0.000728	-2521855.046
7200	2	11	0.001199	0.000732	-2522014.393
7300	2	11	0.001167	0.000719	-2521788.637
7400	2	11	0.001163	0.000732	-2521609.165
7500	2	11	0.001141	0.000740	-2521943.299
7600	2	11	0.001151	0.000734	-2521756.857
7700	2	11	0.001182	0.000720	-2521827.501
7800	2	11	0.001165	0.000710	-2521919.086
7900	2	11	0.001167	0.000706	-2521635.620
8000	2	11	0.001159	0.000717	-2521595.498
8100	2	11	0.001135	0.000735	-2521780.369
8200	2	11	0.001169	0.000732	-2521778.389
8300	2	11	0.001141	0.000718	-2521792.591
8400	2	11	0.001116	0.000726	-2521799.975
8500	2	11	0.001166	0.000691	-2521668.155
8600	2	11	0.001141	0.000729	-2521779.134
8700	2	11	0.001172	0.000735	-2521792.408
8800	2	11	0.001107	0.000719	-2521752.943
8900	2	11	0.001164	0.000749	-2522014.896
9000	2	11	0.001163	0.000748	-2521988.298
9100	2	11	0.001152	0.000724	-2521874.331
9200	2	11	0.001182	0.000748	-2521855.534
9300	2	11	0.001171	0.000720	-2521767.898
9400	2	11	0.001162	0.000735	-2521718.272
9500	2	11	0.001142	0.000734	-2521744.264
9600	2	11	0.001169	0.000740	-2521748.313
9700	2	11	0.001178	0.000742	-2521811.872
9800	2	11	0.001170	0.000715	-2521979.469
9900	2	11	0.001162	0.000712	-2521718.895
10000	2	11	0.001161	0.000719	-2521781.447
10100	2	11	0.001137	0.000719	-2521769.251
10200	2	11	0.001156	0.000740	-2521613.848
10300	2	11	0.001171	0.000737	-2521714.704
10400	2	11	0.001197	0.000738	-2521885.050
10500	2	11	0.001158	0.000670	-2521618.236
10600	2	11	0.001170	0.000736	-2521760.471
10700	2	11	0.001123	0.000739	-2521872.177
10800	2	11	0.001119	0.000716	-2521623.782
10900	2	11	0.001158	0.000699	-2521817.327
11000	2	11	0.001181	0.000727	-2521719.764
11100	2	11	0.001154	0.000719	-2521727.883
11200	2	11	0.001182	0.000714	-2521920.433
11300	2	11	0.001175	0.000738	-2521840.255
11400	2	11	0.001159	0.000719	-2521602.969
11500	2	11	0.001179	0.000738	-2521798.997
11600	2	11	0.001143	0.000726	-2521714.842
11700	2	11	0.001142	0.000752	-2521734.732
11800	2	11	0.001144	0.000761	-2521739.269
11900	2	11	0.001139	0.000741	-2521765.224
12000	2	11	0.001120	0.000732	-2521468.699
12100	2	11	0.001136	0.000738	-2521595.173
12200	2	11	0.001134	0.000702	-2521649.292
12300	2	11	0.001135	0.000717	-2521671.626
12400	2	11	0.001149	0.000716	-2521710.533
12500	2	11	0.001126	0.000700	-2521744.364
12600	2	11	0.001150	0.000727	-2521801.840
12700	2	11	0.001093	0.000710	-2521736.325
12800	2	11	0.001153	0.000691	-2521781.391
12900	2	11	0.001170	0.000739	-2521909.060
13000	2	11	0.001142	0.000719	-2521815.407
13100	2	11	0.001146	0.000703	-2521708.591
