Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	2	11	0.001106	0.000575	-2521656.150
200	2	11	0.001143	0.000592	-2521535.096
300	2	11	0.001129	0.000589	-2521651.062
400	2	11	0.001142	0.000608	-2522028.107
500	2	11	0.001130	0.000597	-2521724.422
600	2	11	0.001150	0.000632	-2521678.406
700	2	11	0.001151	0.000588	-2521675.315
800	2	11	0.001169	0.000594	-2521696.807
900	2	11	0.001124	0.000600	-2521679.743
1000	2	11	0.001127	0.000616	-2521859.812
1100	2	11	0.001104	0.000601	-2521726.425
1200	2	11	0.001097	0.000569	-2521706.996
1300	2	11	0.001128	0.000618	-2521733.580
1400	2	11	0.001126	0.000583	-2521590.097
1500	2	11	0.001144	0.000632	-2521773.162
1600	2	11	0.001132	0.000621	-2521665.907
1700	2	11	0.001139	0.000597	-2521609.503
1800	2	11	0.001146	0.000598	-2521618.501
1900	2	11	0.001147	0.000566	-2521626.909
2000	2	11	0.001150	0.000624	-2521660.172
2100	2	11	0.001148	0.000584	-2521783.794
2200	2	11	0.001135	0.000592	-2521652.324
2300	2	11	0.001112	0.000587	-2521610.986
2400	2	11	0.001140	0.000574	-2521738.214
2500	2	11	0.001136	0.000576	-2521744.579
2600	2	11	0.001085	0.000625	-2521781.948
2700	2	11	0.001105	0.000600	-2521691.687
2800	2	11	0.001136	0.000630	-2521628.400
2900	2	11	0.001132	0.000620	-2521978.700
3000	2	11	0.001134	0.000619	-2521799.472
3100	2	11	0.001143	0.000610	-2521651.030
3200	2	11	0.001116	0.000592	-2521770.216
3300	2	11	0.001144	0.000599	-2521639.545
3400	2	11	0.001137	0.000600	-2521503.734
3500	2	11	0.001122	0.000599	-2521720.411
3600	2	11	0.001122	0.000612	-2521580.351
3700	2	11	0.001121	0.000602	-2521834.946
3800	2	11	0.001114	0.000616	-2521778.353
3900	2	11	0.001107	0.000581	-2521849.087
4000	2	11	0.001118	0.000632	-2521695.318
4100	2	11	0.001153	0.000623	-2521736.615
4200	2	11	0.001135	0.000560	-2521658.954
4300	2	11	0.001152	0.000594	-2521532.167
4400	2	11	0.001144	0.000610	-2521476.816
4500	2	11	0.001165	0.000609	-2521772.497
4600	2	11	0.001158	0.000624	-2521699.408
4700	2	11	0.001134	0.000584	-2521618.611
4800	2	11	0.001083	0.000589	-2521489.069
4900	2	11	0.001101	0.000587	-2521575.584
5000	2	11	0.001125	0.000599	-2521614.725
5100	2	11	0.001143	0.000598	-2521589.431
5200	2	11	0.001129	0.000594	-2521627.206
5300	2	11	0.001132	0.000606	-2521792.525
5400	2	11	0.001094	0.000675	-2521833.213
5500	2	11	0.001106	0.000596	-2521700.274
5600	2	11	0.001136	0.000590	-2521772.687
5700	2	11	0.001160	0.000596	-2521714.072
5800	2	11	0.001134	0.000590	-2521599.344
5900	2	11	0.001143	0.000580	-2521712.906
6000	2	11	0.001121	0.000619	-2521986.653
6100	2	11	0.001127	0.000593	-2521723.240
6200	2	11	0.001130	0.000598	-2521665.172
6300	2	11	0.001115	0.000595	-2521458.040
6400	2	11	0.001153	0.000588	-2521760.239
6500	2	11	0.001126	0.000583	-2521448.500
6600	2	11	0.001151	0.000601	-2521666.542
6700	2	11	0.001149	0.000625	-2521738.052
6800	2	11	0.001143	0.000602	-2521730.902
6900	2	11	0.001124	0.000626	-2521687.868
7000	2	11	0.001117	0.000599	-2521718.115
7100	2	11	0.001130	0.000592	-2521680.185
7200	2	11	0.001154	0.000594	-2521547.511
7300	2	11	0.001172	0.000617	-2521642.540
7400	2	11	0.001156	0.000595	-2521655.620
7500	2	11	0.001123	0.000568	-2521673.285
7600	2	11	0.001101	0.000603	-2521575.206
7700	2	11	0.001113	0.000582	-2521476.176
7800	2	11	0.001121	0.000649	-2521836.575
7900	2	11	0.001109	0.000616	-2521517.869
8000	2	11	0.001119	0.000567	-2521559.486
8100	2	11	0.001129	0.000615	-2521576.553
8200	2	11	0.001107	0.000598	-2521584.447
8300	2	11	0.001089	0.000622	-2521533.982
8400	2	11	0.001096	0.000574	-2521645.396
8500	2	11	0.001119	0.000607	-2521607.661
8600	2	11	0.001100	0.000576	-2521605.877
8700	2	11	0.001148	0.000598	-2521638.690
8800	2	11	0.001139	0.000598	-2521625.609
8900	2	11	0.001174	0.000599	-2521750.259
9000	2	11	0.001176	0.000616	-2521987.414
9100	2	11	0.001165	0.000610	-2521616.884
9200	2	11	0.001172	0.000591	-2521530.577
9300	2	11	0.001154	0.000631	-2521685.964
9400	2	11	0.001175	0.000590	-2521617.828
9500	2	11	0.001202	0.000611	-2521688.519
9600	2	11	0.001134	0.000602	-2521559.274
9700	2	11	0.001152	0.000611	-2521674.809
9800	2	11	0.001138	0.000607	-2521614.132
9900	2	11	0.001131	0.000585	-2521552.387
10000	2	11	0.001098	0.000582	-2521603.583
10100	2	11	0.001137	0.000594	-2521612.504
10200	2	11	0.001159	0.000608	-2521648.824
10300	2	11	0.001102	0.000564	-2521635.865
10400	2	11	0.001138	0.000594	-2521526.997
10500	2	11	0.001157	0.000606	-2521643.963
10600	2	11	0.001177	0.000611	-2521805.792
10700	2	11	0.001155	0.000584	-2521649.606
10800	2	11	0.001160	0.000607	-2521482.943
10900	2	11	0.001124	0.000599	-2521664.716
11000	2	11	0.001166	0.000604	-2522006.308
11100	2	11	0.001119	0.000597	-2521501.257
11200	2	11	0.001148	0.000622	-2521900.345
11300	2	11	0.001137	0.000576	-2521566.395
11400	2	11	0.001110	0.000571	-2521598.954
11500	2	11	0.001150	0.000603	-2521775.604
11600	2	11	0.001141	0.000601	-2521669.467
11700	2	11	0.001157	0.000565	-2521591.797
11800	2	11	0.001143	0.000590	-2521659.086
11900	2	11	0.001150	0.000589	-2521625.653
12000	2	11	0.001176	0.000615	-2521686.645
12100	2	11	0.001167	0.000598	-2521721.198
12200	2	11	0.001167	0.000586	-2521758.831
12300	2	11	0.001173	0.000639	-2521664.697
12400	2	11	0.001132	0.000600	-2521500.160
12500	2	11	0.001146	0.000591	-2521771.041
12600	2	11	0.001122	0.000624	-2521741.858
12700	2	11	0.001100	0.000560	-2521557.641
12800	2	11	0.001085	0.000596	-2521519.006
12900	2	11	0.001125	0.000617	-2521508.683
13000	2	11	0.001132	0.000610	-2521555.949
13100	2	11	0.001105	0.000587	-2521585.040
13200	2	11	0.001088	0.000597	-2521637.916
13300	2	11	0.001149	0.000611	-2521640.888
13400	2	11	0.001125	0.000611	-2521563.362
13500	2	11	0.001105	0.000602	-2521560.267
13600	2	11	0.001101	0.000608	-2521575.569
13700	2	11	0.001131	0.000596	-2521500.531
13800	2	11	0.001125	0.000598	-2521700.919
13900	2	11	0.001136	0.000594	-2521812.731
14000	2	11	0.001120	0.000594	-2521813.563
14100	2	11	0.001172	0.000604	-2521669.344
14200	2	11	0.001143	0.000614	-2521625.180
14300	2	11	0.001139	0.000577	-2521588.749
14400	2	11	0.001125	0.000589	-2521546.675
14500	2	11	0.001128	0.000604	-2521574.800
14600	2	11	0.001092	0.000583	-2521673.492
14700	2	11	0.001095	0.000600	-2521482.833
14800	2	11	0.001094	0.000574	-2521365.694
14900	2	11	0.001095	0.000572	-2521589.567
15000	2	11	0.001107	0.000601	-2521789.710
15100	2	11	0.001123	0.000585	-2521506.619
15200	2	11	0.001142	0.000589	-2521581.000
15300	2	11	0.001134	0.000582	-2521608.887
15400	2	11	0.001131	0.000594	-2521662.227
15500	2	11	0.001127	0.000633	-2521623.509
15600	2	11	0.001108	0.000596	-2521494.380
15700	2	11	0.001099	0.000609	-2521612.548
15800	2	11	0.001107	0.000589	-2521403.174
15900	2	11	0.001106	0.000634	-2521662.618
16000	2	11	0.001105	0.000633	-2521646.808
16100	2	11	0.001133	0.000644	-2521561.942
16200	2	11	0.001106	0.000589	-2521500.407
16300	2	11	0.001123	0.000599	-2521620.840
16400	2	11	0.001135	0.000582	-2521632.358
16500	2	11	0.001134	0.000603	-2521604.802
16600	2	11	0.001098	0.000599	-2521533.407
