id_seq,id,latitude,longitude,species,site,,,,,
PL1_Pool1_I47_E_13,I47_2011,-13.08869,49.58095,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_J30_2011,J30_2011,-13.24994,49.76782,E. carletoni,BOB,,,Madagascar:BOB,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_J56_B_18,J56_2011,-13.25624,49.61579,E. carletoni,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_K35_2011,K35_2011,-13.09551,49.57943,E. carletoni,SOL,,,Madagascar:SOL,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_PoolX_K43_2011,K43_2011,-13.27239,49.65454,E. carletoni,ANKAMY,,,Madagascar:ANKAMY,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool2_P25_B_4,P25_2012,-12.77658,49.48513,E. carletoni,ANALM_2,,,Madagascar:ANALM_2,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool1_P36_A_17,P36_2012,-12.78281,49.4722,E. carletoni,ANALM_2,,,Madagascar:ANALM_2,,RAD-seq of Eliurus carletoni : adult ear biopsy
PL1_Pool3_24_B25_2014,B25_2014,-13.89701,49.44081,E. ellermani,AMBALA,,,Madagascar:AMBALA,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool3_33_BC74_2017,BC74_2017,-12.52726,49.17227,E. ellermani,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_29_BD44_2017,BD44_2017,-12.52175,49.19254,E. ellermani,M_AMBRE_NORTH,,,Madagascar:M_AMBRE_NORTH,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_24_BF61_2017,BF61_2017,-13.25011,49.59513,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_6_BF73_2017,BF73_2017,-13.28532,49.59879,E. ellermani,BIN,,,Madagascar:BIN,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_35_C84_2013,C84_2013,-13.55604,49.87817,E. ellermani,BEZ,,,Madagascar:BEZ,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_F9_2015,F9_2015,-13.65282,49.55326,E. ellermani,AMBA,,,Madagascar:AMBA,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_G9_2015,G09_2015,-13.45726,49.56654,E. ellermani,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_12_G30_2015,G30_2015,-13.45987,49.57375,E. ellermani,KABE,,,Madagascar:KABE,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_10_G45_2015,G45_2015,-13.34853,49.44703,E. ellermani,ANKI,,,Madagascar:ANKI,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool2_G52_2015_E_12,G52_2015,-13.34159,49.45042,E. ellermani,ANKI,,,Madagascar:ANKI,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_PoolX_H21_2011,H21_2011,-13.21329,49.5569,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
PL1_Pool1_H22_D_37,H22_2011,-13.21265,49.55706,E. ellermani,ANTSB,,,Madagascar:ANTSB,,RAD-seq of Eliurus ellermani : adult ear biopsy
