Gen	theta_1Emyox	theta_2Emin	theta_3Esp	theta_4EminEmyoxEsp	theta_5EmyoxEsp	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
100	0.000664	0.001206	0.000626	0.002456	0.004709	0.001108	0.000641	-2521628.688
200	0.000615	0.001208	0.000625	0.002419	0.005572	0.001108	0.000608	-2521531.708
300	0.000638	0.001217	0.000610	0.002395	0.005453	0.001112	0.000610	-2521744.923
400	0.000633	0.001218	0.000620	0.002373	0.004937	0.001123	0.000637	-2521711.618
500	0.000625	0.001237	0.000598	0.002374	0.004985	0.001115	0.000608	-2521676.656
600	0.000618	0.001257	0.000614	0.002324	0.005370	0.001103	0.000599	-2521591.378
700	0.000653	0.001185	0.000616	0.002456	0.004832	0.001099	0.000633	-2521661.410
800	0.000606	0.001218	0.000602	0.002357	0.005503	0.001122	0.000597	-2521619.149
900	0.000628	0.001208	0.000611	0.002283	0.005586	0.001147	0.000613	-2521649.107
1000	0.000625	0.001222	0.000600	0.002289	0.005466	0.001132	0.000591	-2521799.141
1100	0.000614	0.001215	0.000601	0.002399	0.005625	0.001125	0.000585	-2521704.400
1200	0.000640	0.001212	0.000621	0.002317	0.004784	0.001142	0.000634	-2521799.838
1300	0.000619	0.001236	0.000590	0.002449	0.004610	0.001126	0.000609	-2521610.789
1400	0.000629	0.001256	0.000598	0.002374	0.005396	0.001127	0.000594	-2521743.420
1500	0.000615	0.001210	0.000597	0.002272	0.005334	0.001098	0.000594	-2521712.413
1600	0.000632	0.001268	0.000577	0.002371	0.005196	0.001143	0.000589	-2521728.692
1700	0.000641	0.001225	0.000602	0.002376	0.004814	0.001110	0.000622	-2521563.540
1800	0.000617	0.001214	0.000602	0.002391	0.004760	0.001129	0.000609	-2521634.261
1900	0.000622	0.001198	0.000602	0.002316	0.005357	0.001139	0.000588	-2521759.406
2000	0.000625	0.001243	0.000594	0.002336	0.004771	0.001128	0.000614	-2521720.638
2100	0.000633	0.001231	0.000607	0.002363	0.005011	0.001139	0.000614	-2521800.799
2200	0.000612	0.001234	0.000591	0.002461	0.005359	0.001120	0.000589	-2521728.769
2300	0.000612	0.001237	0.000605	0.002357	0.005391	0.001112	0.000583	-2521587.012
2400	0.000617	0.001179	0.000611	0.002337	0.005483	0.001119	0.000597	-2521533.545
2500	0.000611	0.001235	0.000610	0.002362	0.005972	0.001151	0.000589	-2521726.988
2600	0.000642	0.001245	0.000621	0.002306	0.004948	0.001128	0.000605	-2521814.568
2700	0.000625	0.001206	0.000591	0.002393	0.005282	0.001128	0.000594	-2521639.063
2800	0.000636	0.001248	0.000596	0.002300	0.005188	0.001139	0.000609	-2521560.009
2900	0.000625	0.001226	0.000594	0.002305	0.005430	0.001151	0.000598	-2521756.689
3000	0.000619	0.001186	0.000613	0.002374	0.005447	0.001143	0.000619	-2521665.115
3100	0.000589	0.001228	0.000592	0.002337	0.005972	0.001124	0.000575	-2521636.354
3200	0.000612	0.001221	0.000571	0.002353	0.005491	0.001125	0.000581	-2521494.239
3300	0.000632	0.001222	0.000602	0.002310	0.005447	0.001147	0.000592	-2521598.665
3400	0.000623	0.001218	0.000597	0.002298	0.005455	0.001146	0.000577	-2521548.113
3500	0.000612	0.001277	0.000604	0.002370	0.005152	0.001142	0.000584	-2521483.322
3600	0.000644	0.001201	0.000577	0.002243	0.005460	0.001136	0.000586	-2521704.500
3700	0.000633	0.001200	0.000581	0.002307	0.005306	0.001137	0.000603	-2521567.995
3800	0.000622	0.001233	0.000564	0.002362	0.005472	0.001125	0.000579	-2521634.721
3900	0.000618	0.001258	0.000590	0.002329	0.005527	0.001126	0.000602	-2521475.756
4000	0.000638	0.001199	0.000603	0.002237	0.005704	0.001127	0.000627	-2521830.083
4100	0.000609	0.001215	0.000601	0.002341	0.005316	0.001111	0.000601	-2521608.341
4200	0.000628	0.001219	0.000602	0.002364	0.005212	0.001138	0.000610	-2521688.249
4300	0.000629	0.001240	0.000597	0.002273	0.005196	0.001116	0.000602	-2521767.806
4400	0.000621	0.001211	0.000600	0.002323	0.005628	0.001121	0.000586	-2521724.257
4500	0.000611	0.001265	0.000582	0.002242	0.005601	0.001138	0.000584	-2521676.227
4600	0.000609	0.001239	0.000604	0.002324	0.006026	0.001149	0.000596	-2521704.047
4700	0.000618	0.001189	0.000597	0.002333	0.006678	0.001128	0.000586	-2521520.113
4800	0.000609	0.001237	0.000591	0.002348	0.006313	0.001115	0.000580	-2521592.093
4900	0.000607	0.001194	0.000601	0.002314	0.006595	0.001131	0.000578	-2521464.614
5000	0.000642	0.001225	0.000608	0.002283	0.006039	0.001142	0.000603	-2521574.460
5100	0.000614	0.001174	0.000586	0.002225	0.006392	0.001140	0.000576	-2521695.516
5200	0.000618	0.001214	0.000568	0.002217	0.006282	0.001154	0.000587	-2521771.133
5300	0.000609	0.001224	0.000593	0.002314	0.006158	0.001146	0.000587	-2521589.041
5400	0.000606	0.001234	0.000607	0.002279	0.005630	0.001145	0.000595	-2521768.775
5500	0.000619	0.001238	0.000597	0.002332	0.004958	0.001122	0.000601	-2521628.067
5600	0.000620	0.001276	0.000598	0.002255	0.004770	0.001127	0.000606	-2521667.755
5700	0.000616	0.001221	0.000592	0.002319	0.005620	0.001137	0.000587	-2521528.073
5800	0.000609	0.001205	0.000571	0.002389	0.005083	0.001123	0.000556	-2521483.671
5900	0.000618	0.001239	0.000595	0.002311	0.005777	0.001156	0.000588	-2521798.780
6000	0.000592	0.001198	0.000590	0.002333	0.005470	0.001140	0.000583	-2521729.164
6100	0.000644	0.001182	0.000611	0.002198	0.005150	0.001152	0.000613	-2521674.200
6200	0.000605	0.001217	0.000585	0.002396	0.005363	0.001119	0.000585	-2521494.458
6300	0.000612	0.001218	0.000596	0.002460	0.005500	0.001097	0.000579	-2521577.481
6400	0.000588	0.001225	0.000582	0.002356	0.005408	0.001101	0.000589	-2521676.488
6500	0.000603	0.001228	0.000595	0.002374	0.004858	0.001123	0.000593	-2521541.892
6600	0.000602	0.001240	0.000603	0.002325	0.005375	0.001113	0.000595	-2521643.576
6700	0.000614	0.001223	0.000592	0.002344	0.005524	0.001093	0.000605	-2521568.445
6800	0.000618	0.001203	0.000602	0.002486	0.005379	0.001092	0.000609	-2521570.164
6900	0.000627	0.001234	0.000631	0.002430	0.005638	0.001102	0.000635	-2521650.460
7000	0.000613	0.001183	0.000606	0.002380	0.005752	0.001086	0.000612	-2521511.397
7100	0.000602	0.001196	0.000585	0.002403	0.005897	0.001080	0.000586	-2521454.612
7200	0.000614	0.001244	0.000589	0.002283	0.005947	0.001107	0.000595	-2521749.378
7300	0.000612	0.001200	0.000601	0.002330	0.005800	0.001132	0.000595	-2521677.739
7400	0.000626	0.001192	0.000598	0.002283	0.005404	0.001134	0.000603	-2521687.832
7500	0.000621	0.001239	0.000592	0.002332	0.004897	0.001122	0.000617	-2521719.510
7600	0.000625	0.001172	0.000590	0.002358	0.005288	0.001076	0.000593	-2521509.854
7700	0.000612	0.001222	0.000605	0.002433	0.005016	0.001118	0.000593	-2521445.166
7800	0.000632	0.001239	0.000603	0.002466	0.005293	0.001124	0.000603	-2521629.523
7900	0.000634	0.001249	0.000611	0.002387	0.004508	0.001131	0.000618	-2521792.054
8000	0.000641	0.001260	0.000611	0.002305	0.004654	0.001149	0.000601	-2521553.441
8100	0.000614	0.001264	0.000611	0.002300	0.005673	0.001178	0.000604	-2521687.322
8200	0.000606	0.001227	0.000586	0.002143	0.005587	0.001158	0.000579	-2521559.262
8300	0.000606	0.001207	0.000570	0.002165	0.005316	0.001197	0.000568	-2521640.702
8400	0.000612	0.001286	0.000574	0.002256	0.005138	0.001182	0.000585	-2521589.030
8500	0.000615	0.001270	0.000572	0.002253	0.005191	0.001177	0.000579	-2521547.740
8600	0.000595	0.001265	0.000597	0.002319	0.004949	0.001174	0.000577	-2521658.193
8700	0.000618	0.001199	0.000575	0.002310	0.005276	0.001139	0.000578	-2521576.681
8800	0.000612	0.001203	0.000583	0.002195	0.005812	0.001124	0.000590	-2521543.723
8900	0.000613	0.001209	0.000606	0.002321	0.006008	0.001134	0.000601	-2521639.716
9000	0.000624	0.001223	0.000587	0.002370	0.005543	0.001140	0.000597	-2521540.717
9100	0.000603	0.001261	0.000596	0.002395	0.005617	0.001154	0.000591	-2521669.823
9200	0.000607	0.001208	0.000613	0.002348	0.005066	0.001131	0.000577	-2521516.073
9300	0.000611	0.001243	0.000593	0.002345	0.004721	0.001118	0.000593	-2521584.113
9400	0.000627	0.001246	0.000637	0.002226	0.004628	0.001168	0.000617	-2521675.776
9500	0.000640	0.001210	0.000606	0.002234	0.005110	0.001169	0.000611	-2521502.100
9600	0.000652	0.001239	0.000619	0.002280	0.005144	0.001180	0.000615	-2521637.731
9700	0.000604	0.001190	0.000590	0.002220	0.005412	0.001130	0.000590	-2521648.351
9800	0.000659	0.001240	0.000602	0.002260	0.005019	0.001145	0.000636	-2521695.589
9900	0.000638	0.001235	0.000619	0.002332	0.005130	0.001150	0.000623	-2521479.295
10000	0.000629	0.001263	0.000610	0.002391	0.004461	0.001146	0.000618	-2521560.488
10100	0.000613	0.001264	0.000586	0.002412	0.005203	0.001137	0.000599	-2521501.714
10200	0.000638	0.001240	0.000617	0.002314	0.005620	0.001138	0.000619	-2521762.938
