id_seq,id,latitude,longitude,species,site
PL1_PoolX_D08_2011,D08_2011,-13.17274,49.7042,E. carletoni,BEK
PL1_PoolX_D09_2011,D09_2011,-13.16357,49.70565,E. carletoni,BEK
PL1_PoolX_D21_2011,D21_2011,-13.17053,49.70282,E. carletoni,BEK
PL1_PoolX_K27_2011,K27_2011,-13.18583,49.71805,E. carletoni,BEK
PL1_PoolX_K28_2011,K28_2011,-13.18599,49.71806,E. carletoni,BEK
PL1_Pool1_28_C35_2013,C35_2013,-13.55742,49.89869,E. carletoni,BEZ
PL1_Pool1_J56_B_18,J56_2011,-13.25624,49.61579,E. carletoni,BIN
PL1_Pool1_E22_E_5,E22_2011,-13.23756,49.7663,E. carletoni,BOB
PL1_Pool1_J11_B_12,J11_2011,-13.25062,49.77049,E. carletoni,BOB
PL1_Pool1_J23_D_40,J23_2011,-13.25062,49.77049,E. carletoni,BOB
PL1_Pool1_J24_B_13,J24_2011,-13.25084,49.77158,E. carletoni,BOB
PL1_Pool1_J25_B_14,J25_2011,-13.24999,49.76903,E. carletoni,BOB
PL1_Pool1_J28_B_15,J28_2011,-13.25018,49.76825,E. carletoni,BOB
PL1_Pool2_22_J32_2011,J32_2011,-13.2485,49.77053,E. carletoni,BOB
PL1_PoolX_E28_2011,E28_2011,-13.22633,49.76224,E. carletoni,BOB
PL1_PoolX_J29_2011,J29_2011,-13.25012,49.76864,E. carletoni,BOB
PL1_PoolX_J30_2011,J30_2011,-13.24994,49.76782,E. carletoni,BOB
PL1_PoolX_J31_2011,J31_2011,-13.24725,49.76844,E. carletoni,BOB
PL1_Pool3_30_BC50_2017,BC50_2017,-12.50323,49.17526,E. carletoni,M_AMBRE_NORTH
PL1_Pool3_39_BD54_2017,BD54_2017,-12.52271,49.17331,E. carletoni,M_AMBRE_NORTH
PL1_Pool1_F59_A_24,F59_2012,-12.91466,49.10711,E. carletoni,MAHAR
PL1_Pool2_F16_C_14,F16_2012,-12.95638,49.11711,E. carletoni,MAHAR
PL1_Pool2_F20_A_29,F20_2012,-12.96278,49.12083,E. carletoni,MAHAR
PL1_Pool2_F38_D_34,F38_2012,-12.93839,49.1202,E. carletoni,MAHAR
PL1_Pool1_11_F19_2012,F19_2012,-12.95819,49.11944,E. carletoni,MAHAR
PL1_Pool1_37_F24_2012,F24_2012,-12.94939,49.12629,E. carletoni,MAHAR
PL1_Pool1_41_F49_2012,F49_2012,-12.93531,49.11818,E. carletoni,MAHAR
PL1_Pool1_8_F26_2012,F26_2012,-12.94759,49.12521,E. carletoni,MAHAR
PL1_PoolX_F40_2012,F40_2012,-12.97592,49.11225,E. carletoni,MAHAR
PL1_Pool1_H30_E_5,H30_2012,-12.83465,49.15709,E. carletoni,MAROV
PL1_Pool1_H41_B_1,H41_2012,-12.82802,49.15881,E. carletoni,MAROV
PL1_Pool2_F149_D_5,F149_2012,-12.86621,49.12244,E. carletoni,MAROV
PL1_Pool2_H28_B_5,H28_2012,-12.82971,49.14958,E. carletoni,MAROV
PL1_Pool2_H31_A_10,H31_2012,-12.83321,49.15623,E. carletoni,MAROV
PL1_Pool2_H43_C_28,H43_2012,-12.83535,49.13788,E. carletoni,MAROV
