Gen	np	tree	tau_4EminEmyoxEsp	lnL
100	2	11	0.001110	0.000707	-2521731.449
200	2	11	0.001127	0.000711	-2521840.112
300	2	11	0.001139	0.000719	-2521805.873
400	2	11	0.001170	0.000712	-2522007.893
500	2	11	0.001156	0.000732	-2521879.441
600	2	11	0.001198	0.000737	-2522015.972
700	2	11	0.001158	0.000709	-2521691.558
800	2	11	0.001148	0.000724	-2521857.517
900	2	11	0.001143	0.000697	-2521775.507
1000	2	11	0.001156	0.000710	-2521812.475
1100	2	11	0.001157	0.000719	-2521920.770
1200	2	11	0.001138	0.000739	-2521822.312
1300	2	11	0.001133	0.000741	-2521868.192
1400	2	11	0.001122	0.000705	-2521673.862
1500	2	11	0.001185	0.000744	-2521785.161
1600	2	11	0.001140	0.000722	-2522007.635
1700	2	11	0.001153	0.000710	-2521769.964
1800	2	11	0.001157	0.000694	-2521709.156
1900	2	11	0.001134	0.000720	-2521921.750
2000	2	11	0.001143	0.000709	-2521878.655
2100	2	11	0.001174	0.000729	-2521900.713
2200	2	11	0.001156	0.000732	-2521764.967
2300	2	11	0.001149	0.000720	-2521857.620
2400	2	11	0.001213	0.000711	-2521831.860
2500	2	11	0.001199	0.000706	-2521943.813
2600	2	11	0.001192	0.000694	-2521832.858
2700	2	11	0.001206	0.000709	-2521857.199
2800	2	11	0.001120	0.000738	-2521704.010
2900	2	11	0.001155	0.000676	-2521709.593
3000	2	11	0.001200	0.000751	-2521642.259
3100	2	11	0.001177	0.000714	-2521870.182
3200	2	11	0.001185	0.000731	-2521841.239
3300	2	11	0.001196	0.000719	-2521765.468
3400	2	11	0.001215	0.000730	-2521722.044
3500	2	11	0.001202	0.000687	-2521921.855
3600	2	11	0.001173	0.000704	-2521765.665
3700	2	11	0.001161	0.000685	-2521805.022
3800	2	11	0.001184	0.000726	-2521786.056
3900	2	11	0.001167	0.000696	-2521789.080
4000	2	11	0.001178	0.000708	-2521643.296
4100	2	11	0.001177	0.000723	-2521799.242
4200	2	11	0.001137	0.000706	-2521763.278
4300	2	11	0.001158	0.000734	-2521855.962
4400	2	11	0.001163	0.000718	-2521702.589
4500	2	11	0.001132	0.000714	-2521868.166
4600	2	11	0.001160	0.000718	-2521666.021
4700	2	11	0.001158	0.000703	-2521619.809
4800	2	11	0.001142	0.000706	-2521638.933
4900	2	11	0.001176	0.000712	-2521771.648
5000	2	11	0.001151	0.000726	-2521702.226
5100	2	11	0.001125	0.000717	-2521717.688
5200	2	11	0.001143	0.000733	-2521900.076
5300	2	11	0.001161	0.000715	-2521845.388
5400	2	11	0.001204	0.000703	-2522014.033
5500	2	11	0.001182	0.000729	-2521846.492
5600	2	11	0.001158	0.000731	-2521815.978
5700	2	11	0.001152	0.000707	-2521707.564
5800	2	11	0.001183	0.000702	-2521671.721
5900	2	11	0.001136	0.000705	-2521749.604
6000	2	11	0.001159	0.000726	-2522009.150
6100	2	11	0.001170	0.000703	-2521715.562
6200	2	11	0.001131	0.000712	-2521753.536
6300	2	11	0.001176	0.000707	-2521779.200
6400	2	11	0.001183	0.000702	-2521872.080
6500	2	11	0.001187	0.000739	-2521915.243
6600	2	11	0.001158	0.000733	-2521773.590
6700	2	11	0.001137	0.000706	-2521748.488
6800	2	11	0.001129	0.000686	-2521661.193
6900	2	11	0.001151	0.000723	-2521646.360
7000	2	11	0.001114	0.000705	-2521706.136
7100	2	11	0.001117	0.000684	-2521786.603
7200	2	11	0.001177	0.000707	-2521700.901
7300	2	11	0.001147	0.000708	-2521794.166
7400	2	11	0.001145	0.000727	-2521790.054
7500	2	11	0.001143	0.000719	-2521665.683
7600	2	11	0.001169	0.000726	-2521763.635
7700	2	11	0.001154	0.000725	-2521758.663
7800	2	11	0.001149	0.000701	-2521607.792
7900	2	11	0.001129	0.000708	-2521718.114
8000	2	11	0.001145	0.000706	-2521704.608
8100	2	11	0.001144	0.000736	-2521884.828
8200	2	11	0.001163	0.000743	-2521723.335
8300	2	11	0.001146	0.000764	-2521868.624
8400	2	11	0.001158	0.000702	-2521677.124
8500	2	11	0.001139	0.000704	-2521625.307
8600	2	11	0.001158	0.000688	-2521667.670
8700	2	11	0.001192	0.000683	-2521788.214
8800	2	11	0.001154	0.000737	-2521749.536
8900	2	11	0.001138	0.000711	-2521786.051
9000	2	11	0.001120	0.000710	-2521778.241
9100	2	11	0.001168	0.000689	-2521755.429
9200	2	11	0.001173	0.000728	-2521888.687
9300	2	11	0.001178	0.000724	-2521938.985
9400	2	11	0.001186	0.000734	-2521893.030
9500	2	11	0.001155	0.000701	-2521746.820
9600	2	11	0.001148	0.000694	-2521763.235
9700	2	11	0.001155	0.000740	-2521947.123
9800	2	11	0.001182	0.000704	-2521776.582
9900	2	11	0.001180	0.000738	-2521756.585
10000	2	11	0.001146	0.000740	-2521827.795
10100	2	11	0.001165	0.000741	-2522042.582
10200	2	11	0.001158	0.000715	-2521758.184
10300	2	11	0.001125	0.000747	-2521816.734
10400	2	11	0.001167	0.000715	-2521759.231
10500	2	11	0.001182	0.000740	-2521915.292
10600	2	11	0.001147	0.000752	-2521742.868
10700	2	11	0.001108	0.000703	-2521525.048
10800	2	11	0.001118	0.000718	-2521700.090
10900	2	11	0.001126	0.000732	-2521749.626
11000	2	11	0.001131	0.000677	-2521752.503
11100	2	11	0.001145	0.000696	-2521763.219
11200	2	11	0.001150	0.000702	-2521671.335
11300	2	11	0.001147	0.000723	-2521786.776
11400	2	11	0.001174	0.000736	-2521565.515
11500	2	11	0.001147	0.000705	-2521696.556
11600	2	11	0.001162	0.000712	-2521711.934
11700	2	11	0.001140	0.000703	-2521662.286
11800	2	11	0.001153	0.000726	-2521830.574
11900	2	11	0.001155	0.000748	-2521698.036
12000	2	11	0.001157	0.000713	-2521693.170
12100	2	11	0.001143	0.000718	-2521671.842
12200	2	11	0.001145	0.000708	-2521706.206
12300	2	11	0.001200	0.000697	-2521788.536
12400	2	11	0.001201	0.000732	-2521980.041
12500	2	11	0.001194	0.000746	-2521928.747
12600	2	11	0.001145	0.000704	-2521744.399
12700	2	11	0.001133	0.000713	-2521686.079
12800	2	11	0.001155	0.000717	-2521814.330
12900	2	11	0.001197	0.000708	-2521775.406
13000	2	11	0.001177	0.000744	-2521843.360
13100	2	11	0.001200	0.000706	-2521921.772
13200	2	11	0.001168	0.000727	-2521879.639
13300	2	11	0.001142	0.000693	-2521716.641
13400	2	11	0.001161	0.000700	-2521706.634
13500	2	11	0.001147	0.000708	-2521626.348
13600	2	11	0.001204	0.000742	-2521805.643
13700	2	11	0.001150	0.000705	-2521713.254
13800	2	11	0.001195	0.000715	-2521739.274
13900	2	11	0.001148	0.000716	-2521704.545
14000	2	11	0.001179	0.000720	-2521832.524
14100	2	11	0.001160	0.000676	-2521876.010
14200	2	11	0.001158	0.000691	-2521684.263
14300	2	11	0.001197	0.000680	-2521615.817
14400	2	11	0.001183	0.000688	-2521839.593
14500	2	11	0.001186	0.000735	-2521820.028
14600	2	11	0.001156	0.000724	-2521710.630
14700	2	11	0.001183	0.000724	-2521619.096
14800	2	11	0.001174	0.000711	-2521857.442
14900	2	11	0.001118	0.000722	-2521806.802
15000	2	11	0.001131	0.000728	-2521604.052
15100	2	11	0.001135	0.000690	-2521614.141
15200	2	11	0.001128	0.000717	-2521824.205
15300	2	11	0.001140	0.000727	-2521714.784
15400	2	11	0.001140	0.000723	-2521688.203
15500	2	11	0.001121	0.000736	-2521753.120
15600	2	11	0.001169	0.000720	-2521787.594
15700	2	11	0.001176	0.000704	-2521897.469
15800	2	11	0.001160	0.000713	-2521758.493
15900	2	11	0.001162	0.000718	-2521632.856
16000	2	11	0.001163	0.000714	-2521842.825
16100	2	11	0.001177	0.000755	-2521727.995
16200	2	11	0.001143	0.000697	-2521660.575
16300	2	11	0.001151	0.000717	-2521671.710
16400	2	11	0.001166	0.000702	-2521754.896
16500	2	11	0.001115	0.000702	-2521697.647
16600	2	11	0.001141	0.000719	-2521563.215
16700	2	11	0.001104	0.000705	-2521722.577
16800	2	11	0.001109	0.000736	-2521637.746
16900	2	11	0.001128	0.000695	-2521551.365
17000	2	11	0.001137	0.000683	-2521538.394
17100	2	11	0.001137	0.000699	-2521793.176
17200	2	11	0.001146	0.000717	-2521835.933
17300	2	11	0.001175	0.000741	-2522049.442
17400	2	11	0.001166	0.000752	-2521866.436
17500	2	11	0.001194	0.000733	-2521801.279
17600	2	11	0.001158	0.000719	-2521761.256
17700	2	11	0.001165	0.000739	-2521877.973
17800	2	11	0.001152	0.000727	-2521728.457
